group,decade,n_party_years,n_elections,n_countries,n_parties,n_eff_election,n_eff_party,n_party_years_kept,Raw correlation,Election fixed effects,Country x party fixed effects
OECD,1970s,381,99,33,159,374,280,284,0.21544680544352968,0.2579735834395178,-0.01759425999466174
OECD,1980s,358,92,33,156,354,282,287,0.11127829229235922,0.15706704810573227,0.2451327461822953
OECD,1990s,564,112,38,275,564,355,355,0.402028325957519,0.45723349198509733,0.12473197169197282
OECD,2000s,523,104,38,247,523,391,391,0.4458213633916941,0.43942092817714656,0.2820055991174099
OECD,2010s,620,110,38,292,620,427,432,0.5261897074415784,0.5384779290792289,0.38033798749078573
Non-OECD,1970s,401,202,98,262,291,216,277,-0.38101044983113164,-0.5318232416541543,-0.14787817705483527
Non-OECD,1980s,454,202,98,258,352,300,339,-0.26861593049762833,-0.35850853222432477,0.0720480126388564
Non-OECD,1990s,960,281,121,566,917,504,546,-0.039732717244713424,-0.13438871438172179,-0.13980258750649371
Non-OECD,2000s,1018,288,128,604,976,587,621,0.0030550209175991276,-0.1540377189271119,-0.03884948570743466
Non-OECD,2010s,1025,264,126,663,1003,556,603,-0.015092698274280522,-0.028534764251448203,-0.08552631013124112
