v2paid,party,country,year,a,b
216,Party of the Democratic Revolution,MEX,1991,0.237,0.764
216,Party of the Democratic Revolution,MEX,1994,0.206,0.753
216,Party of the Democratic Revolution,MEX,1997,0.174,0.698
216,Party of the Democratic Revolution,MEX,2000,0.213,0.707
216,Party of the Democratic Revolution,MEX,2003,0.266,0.704
216,Party of the Democratic Revolution,MEX,2006,0.374,0.829
216,Party of the Democratic Revolution,MEX,2009,0.26,0.803
216,Party of the Democratic Revolution,MEX,2012,0.275,0.815
216,Party of the Democratic Revolution,MEX,2015,0.198,0.59
216,Party of the Democratic Revolution,MEX,2018,0.218,0.552
446,Ecologist Green Party of Mexico,MEX,2003,0.385,0.128
446,Ecologist Green Party of Mexico,MEX,2006,0.385,0.063
446,Ecologist Green Party of Mexico,MEX,2009,0.409,0.063
446,Ecologist Green Party of Mexico,MEX,2012,0.417,0.061
446,Ecologist Green Party of Mexico,MEX,2015,0.417,0.061
446,Ecologist Green Party of Mexico,MEX,2018,0.408,0.062
696,National Action Party,MEX,1970,0.093,0.182
696,National Action Party,MEX,1973,0.091,0.187
696,National Action Party,MEX,1976,0.119,0.187
696,National Action Party,MEX,1979,0.089,0.206
696,National Action Party,MEX,1982,0.095,0.187
696,National Action Party,MEX,1985,0.1,0.188
696,National Action Party,MEX,1988,0.12,0.231
696,National Action Party,MEX,1991,0.114,0.216
696,National Action Party,MEX,1994,0.12,0.168
696,National Action Party,MEX,1997,0.081,0.168
696,National Action Party,MEX,2000,0.126,0.169
696,National Action Party,MEX,2003,0.152,0.154
696,National Action Party,MEX,2006,0.28,0.109
696,National Action Party,MEX,2009,0.16,0.109
696,National Action Party,MEX,2012,0.182,0.142
696,National Action Party,MEX,2015,0.153,0.134
696,National Action Party,MEX,2018,0.139,0.159
1241,Labor Party,MEX,2006,0.62,0.725
1241,Labor Party,MEX,2018,0.609,0.655
1331,Convergence / Citizens' Movement,MEX,2006,0.262,0.494
1331,Convergence / Citizens' Movement,MEX,2015,0.199,0.434
1331,Convergence / Citizens' Movement,MEX,2018,0.184,0.434
1474,Institutional Revolutionary Party,MEX,1970,0.971,0.199
1474,Institutional Revolutionary Party,MEX,1973,0.961,0.196
1474,Institutional Revolutionary Party,MEX,1976,0.943,0.131
1474,Institutional Revolutionary Party,MEX,1979,0.88,0.13
1474,Institutional Revolutionary Party,MEX,1982,0.871,0.11
1474,Institutional Revolutionary Party,MEX,1985,0.874,0.109
1474,Institutional Revolutionary Party,MEX,1988,0.946,0.107
1474,Institutional Revolutionary Party,MEX,1991,0.775,0.132
1474,Institutional Revolutionary Party,MEX,1994,0.654,0.111
1474,Institutional Revolutionary Party,MEX,1997,0.517,0.111
1474,Institutional Revolutionary Party,MEX,2000,0.438,0.208
1474,Institutional Revolutionary Party,MEX,2003,0.419,0.205
1474,Institutional Revolutionary Party,MEX,2006,0.494,0.202
1474,Institutional Revolutionary Party,MEX,2009,0.452,0.174
1474,Institutional Revolutionary Party,MEX,2012,0.483,0.091
1474,Institutional Revolutionary Party,MEX,2015,0.483,0.091
1474,Institutional Revolutionary Party,MEX,2018,0.474,0.138
1981,Mexican Communist Party,MEX,1979,0.529,0.79
1983,National Democratic Front,MEX,1988,0.353,0.677
6110,National Regeneration Movement,MEX,2015,0.661,0.939
6110,National Regeneration Movement,MEX,2018,0.7,0.98
6113,Social Encounter Party,MEX,2018,0.29,0.275
199,Farmers' League / Centre Party,SWE,1970,0.03,0.095
199,Farmers' League / Centre Party,SWE,1973,0.03,0.095
199,Farmers' League / Centre Party,SWE,1976,0.03,0.115
199,Farmers' League / Centre Party,SWE,1979,0.03,0.116
199,Farmers' League / Centre Party,SWE,1982,0.03,0.116
199,Farmers' League / Centre Party,SWE,1985,0.03,0.116
199,Farmers' League / Centre Party,SWE,1988,0.03,0.116
199,Farmers' League / Centre Party,SWE,1991,0.03,0.116
199,Farmers' League / Centre Party,SWE,1994,0.03,0.116
199,Farmers' League / Centre Party,SWE,1998,0.03,0.116
199,Farmers' League / Centre Party,SWE,2002,0.03,0.116
199,Farmers' League / Centre Party,SWE,2006,0.03,0.116
199,Farmers' League / Centre Party,SWE,2010,0.028,0.116
199,Farmers' League / Centre Party,SWE,2014,0.028,0.116
199,Farmers' League / Centre Party,SWE,2018,0.028,0.116
343,New Democracy,SWE,1991,0.065,0.965
409,Sweden Democrats,SWE,2010,0.095,0.864
409,Sweden Democrats,SWE,2014,0.095,0.864
409,Sweden Democrats,SWE,2018,0.095,0.864
456,Greens,SWE,1988,0.03,0.353
456,Greens,SWE,1991,0.03,0.353
456,Greens,SWE,1994,0.03,0.353
456,Greens,SWE,1998,0.03,0.317
456,Greens,SWE,2002,0.03,0.317
456,Greens,SWE,2006,0.03,0.317
456,Greens,SWE,2010,0.03,0.317
456,Greens,SWE,2014,0.03,0.317
456,Greens,SWE,2018,0.03,0.317
487,Social Democrats,SWE,1970,0.03,0.391
487,Social Democrats,SWE,1973,0.03,0.391
487,Social Democrats,SWE,1976,0.03,0.391
487,Social Democrats,SWE,1979,0.03,0.391
487,Social Democrats,SWE,1982,0.03,0.391
487,Social Democrats,SWE,1985,0.03,0.391
487,Social Democrats,SWE,1988,0.03,0.391
487,Social Democrats,SWE,1991,0.03,0.391
487,Social Democrats,SWE,1994,0.03,0.347
487,Social Democrats,SWE,1998,0.03,0.347
487,Social Democrats,SWE,2002,0.03,0.347
487,Social Democrats,SWE,2006,0.03,0.347
487,Social Democrats,SWE,2010,0.029,0.347
487,Social Democrats,SWE,2014,0.029,0.347
487,Social Democrats,SWE,2018,0.029,0.343
651,Christian Democrats,SWE,1991,0.03,0.121
651,Christian Democrats,SWE,1998,0.031,0.121
651,Christian Democrats,SWE,2002,0.031,0.164
651,Christian Democrats,SWE,2006,0.031,0.163
651,Christian Democrats,SWE,2010,0.03,0.163
651,Christian Democrats,SWE,2018,0.05,0.166
690,Right Party / Moderate Party,SWE,1970,0.031,0.064
690,Right Party / Moderate Party,SWE,1973,0.031,0.064
690,Right Party / Moderate Party,SWE,1976,0.031,0.1
690,Right Party / Moderate Party,SWE,1979,0.031,0.1
690,Right Party / Moderate Party,SWE,1982,0.031,0.1
690,Right Party / Moderate Party,SWE,1985,0.031,0.1
690,Right Party / Moderate Party,SWE,1988,0.031,0.1
690,Right Party / Moderate Party,SWE,1991,0.031,0.1
690,Right Party / Moderate Party,SWE,1994,0.031,0.1
690,Right Party / Moderate Party,SWE,1998,0.031,0.1
