group,decade,index_var,index,n_party_years,n_elections,n_parties,parties_per_election,n_party_years_kept,years_per_party,total_var,Election FE (spread across parties),Country x party FE (spread across years)
OECD,1970s,v2xpa_antiplural,anti-pluralism,381,99,159,3.8484848484848486,284,2.9278350515463916,0.07935229533084685,0.018914421394799028,3.573930481283421e-4
OECD,1980s,v2xpa_antiplural,anti-pluralism,358,92,156,3.891304347826087,287,2.7596153846153846,0.066123669162637,0.018202177685284635,7.5304781420765e-4
OECD,1990s,v2xpa_antiplural,anti-pluralism,564,112,275,5.035714285714286,355,2.730769230769231,0.042679642905282034,0.026336944959790668,9.807303703703706e-4
OECD,2000s,v2xpa_antiplural,anti-pluralism,523,104,247,5.028846153846154,391,2.641891891891892,0.037019848391610426,0.02350343837936129,7.326457475994517e-4
OECD,2010s,v2xpa_antiplural,anti-pluralism,620,110,292,5.636363636363637,432,2.8051948051948052,0.04801234567721095,0.03384701334578274,0.002258243705035971
Non-OECD,1970s,v2xpa_antiplural,anti-pluralism,401,202,262,1.9851485148514851,277,1.7987012987012987,0.08048581912718211,0.05730579254008136,0.0023966066395663963
Non-OECD,1980s,v2xpa_antiplural,anti-pluralism,454,202,258,2.2475247524752477,339,2.029940119760479,0.09985560183699481,0.06132461964443186,0.003312952519379847
Non-OECD,1990s,v2xpa_antiplural,anti-pluralism,960,281,566,3.416370106761566,546,2.246913580246914,0.0860840459462982,0.05576487024840242,0.007165578052805278
Non-OECD,2000s,v2xpa_antiplural,anti-pluralism,1018,288,604,3.5347222222222223,621,2.202127659574468,0.08266168238279306,0.04710318693842685,0.003678213274336282
Non-OECD,2010s,v2xpa_antiplural,anti-pluralism,1025,264,663,3.882575757575758,603,2.01,0.0841450642568597,0.0447030723698407,0.0031100443894389444
OECD,1970s,v2xpa_popul,populism,381,99,159,3.8484848484848486,284,2.9278350515463916,0.048338176225998,0.04202247556568729,3.6220017825311964e-4
OECD,1980s,v2xpa_popul,populism,358,92,156,3.891304347826087,287,2.7596153846153846,0.04471190657715599,0.03899498677944861,9.94895719489982e-4
OECD,1990s,v2xpa_popul,populism,564,112,275,5.035714285714286,355,2.730769230769231,0.05447351183502764,0.05024862511237532,0.0014779329629629621
OECD,2000s,v2xpa_popul,populism,523,104,247,5.028846153846154,391,2.641891891891892,0.05975494380343289,0.055568326321172874,0.0010921591220850485
OECD,2010s,v2xpa_popul,populism,620,110,292,5.636363636363637,432,2.8051948051948052,0.07204083644535932,0.0695575909461562,0.002067194364508393
Non-OECD,1970s,v2xpa_popul,populism,401,202,262,1.9851485148514851,277,1.7987012987012987,0.06474748877805488,0.05313160519661797,0.0014607644986449864
Non-OECD,1980s,v2xpa_popul,populism,454,202,258,2.2475247524752477,339,2.029940119760479,0.06176969937081222,0.0602739091584782,0.0018639224806201548
Non-OECD,1990s,v2xpa_popul,populism,960,281,566,3.416370106761566,546,2.246913580246914,0.053961747730926164,0.04386491505067506,0.0026107669416941693
Non-OECD,2000s,v2xpa_popul,populism,1018,288,604,3.5347222222222223,621,2.202127659574468,0.05870408463971047,0.04704606255742726,0.0018245047689282204
Non-OECD,2010s,v2xpa_popul,populism,1025,264,663,3.882575757575758,603,2.01,0.053642456840701194,0.04148839795315651,0.004985107700770072
