country_name,ep_start,ep_end,outcome_short,ROW,ERT_regime,Polyarchy,LibDem,LibComp
Belarus,1994,2001,Breakdown,NA,NA,NA,NA,NA
Nicaragua,1996,2025,Breakdown,2007,2007,"2007,2008,2012,2013","1999,2006,2007","2002,2006,2007"
Madagascar,1997,2002,Breakdown,2000,2000,2002,2002,2003
Ukraine,1997,2000,Breakdown,NA,NA,2000,1999,NA
Moldova,1998,2006,Breakdown,2005,2005,2005,"2001,2005",NA
Solomon Islands,1998,2001,Breakdown,2000,2000,"2000,2001",2000,"2000,2001"
Venezuela,1998,2018,Breakdown,2002,2002,"2003,2006,2011,2013","2000,2001,2002",2000
Malawi,1999,2005,Breakdown,2000,2000,"2000,2005",2000,NA
Fiji,2000,2001,Breakdown,2000,2000,2000,2000,2000
Philippines,2001,2005,Breakdown,2004,2004,2005,2004,NA
Bangladesh,2002,2007,Breakdown,2002,2002,"2002,2006,2007",2002,NA
Thailand,2003,2007,Breakdown,2006,2006,2006,"2004,2006",2006
Bosnia and Herzegovina,2004,2007,Erosion only,NA,NA,NA,2007,2004
Sri Lanka,2004,2006,Breakdown,2005,2005,"2005,2006","2005,2006","2005,2007"
North Macedonia,2005,2012,Breakdown,2011,2011,"2011,2013","2009,2011,2012,2013",2013
Türkiye,2005,2017,Breakdown,2013,2013,"2013,2014,2015,2016","2010,2011,2013,2014,2015","2013,2014,2015,2016"
Bolivia,2006,2020,Breakdown,2019,2019,"2019,2020","2014,2018,2019","2006,2009,2010,2017,2019,2021"
Honduras,2006,2010,Breakdown,2009,2009,"2009,2010","2006,2009,2010",2010
Hungary,2006,2025,Breakdown,2018,2018,"2018,2021","2018,2020,2023",NA
Palestine/West Bank,2006,2008,Breakdown,2007,2007,2007,"2006,2007",2007
Ecuador,2007,2013,Erosion only,NA,NA,NA,"2008,2010,2013","2007,2008,2009"
Papua New Guinea,2007,2013,Breakdown,2008,2008,"2008,2012","2007,2010",NA
South Korea,2008,2014,Erosion only,NA,NA,NA,NA,NA
Mali,2008,2013,Breakdown,2012,2012,"2012,2013",2012,"2012,2013"
Indonesia,2009,2025,Breakdown,NA,NA,NA,"2022,2023",NA
India,2009,2025,Breakdown,2017,2017,"2017,2019,2020,2023","2017,2018,2019,2023",NA
Niger,2009,2010,Breakdown,2009,2009,"2009,2010","2009,2010","2009,2010"
Maldives,2010,2017,Breakdown,2013,2013,"2013,2014,2015","2010,2012,2013","2012,2013"
Serbia,2010,2025,Breakdown,2014,2014,"2014,2016,2017,2021","2014,2016,2018,2020,2023","2020,2021,2023"
Ukraine,2010,2014,Breakdown,2010,2010,"2011,2014","2010,2012",2010
Zambia,2011,2019,Breakdown,2013,2013,"2013,2016,2017","2013,2016,2017",NA
Slovenia,2012,2021,Erosion only,NA,NA,NA,NA,NA
Czechia,2013,2021,Erosion only,NA,NA,NA,NA,NA
Ghana,2013,2021,Erosion only,NA,NA,NA,NA,NA
Croatia,2013,2025,Ongoing,NA,NA,NA,NA,NA
Moldova,2013,2017,Erosion only,NA,NA,NA,2018,NA
Burkina Faso,2014,2015,Breakdown,2015,2015,2015,2015,NA
Mauritius,2014,2023,Breakdown,2023,2023,2023,"2022,2023",NA
Tunisia,2014,2022,Breakdown,2022,2022,2022,2022,2022
Brazil,2015,2019,Erosion only,NA,NA,NA,NA,NA
Botswana,2015,2022,Erosion only,NA,NA,NA,NA,NA
Lesotho,2015,2017,Erosion only,NA,NA,NA,2017,NA
Niger,2015,2025,Breakdown,2023,2023,2023,"2022,2023",NA
Mongolia,2016,2024,Breakdown,NA,NA,NA,NA,NA
Peru,2016,2025,Ongoing,NA,NA,NA,NA,NA
Philippines,2016,2025,Breakdown,2016,2016,"2018,2019","2016,2017,2018,2020",2018
Poland,2016,2021,Erosion only,NA,NA,NA,NA,NA
Georgia,2017,2025,Breakdown,NA,NA,NA,NA,NA
Benin,2018,2021,Breakdown,2019,2019,"2019,2020","2019,2020",2020
Burkina Faso,2018,2025,Breakdown,2022,2022,2022,2022,2023
Guatemala,2018,2022,Erosion only,NA,NA,NA,"2021,2022","2021,2022,2023"
El Salvador,2018,2025,Breakdown,2021,2021,"2021,2022","2019,2020,2021","2020,2021"
United Kingdom,2019,2025,Ongoing,NA,NA,NA,NA,NA
Guyana,2019,2025,Ongoing,2021,NA,NA,"2020,2021,2023",2023
Italy,2019,2025,Ongoing,NA,NA,NA,NA,NA
South Korea,2019,2023,Erosion only,NA,NA,NA,NA,NA
Armenia,2020,2025,Ongoing,NA,NA,NA,NA,NA
Ivory Coast,2020,2025,Breakdown,2020,2020,2021,"2020,2021","2019,2020"
Greece,2020,2025,Ongoing,NA,NA,NA,NA,NA
Mexico,2020,2025,Breakdown,NA,NA,NA,"2021,2022,2023","2019,2020,2021,2022"
Romania,2021,2025,Ongoing,NA,NA,NA,NA,NA
Senegal,2021,2025,Ongoing,NA,NA,NA,NA,NA
Ukraine,2021,2025,Ongoing,2022,NA,2022,2022,2022
Guinea-Bissau,2022,2022,Breakdown,2022,2022,2022,2022,2022
Moldova,2023,2025,Ongoing,NA,NA,NA,NA,NA
Slovakia,2023,2025,Ongoing,NA,NA,NA,NA,NA
Slovenia,2023,2025,Ongoing,NA,NA,NA,NA,NA
