country_name,ep_start,ep_end,outcome_label,prch_label,ddcg_event_years,matched,bermeo_category_primary,bermeo_category_secondary,precise_start_date,precipitating_event,precise_end_date,consequential_events,source_url,confidence
Türkiye,1954,1961,Autocracy deepening,No,NA,FALSE,Executive aggrandizement,Strategic harassment,1954,"Following the Democrat Party's 1954 re-election (57.6% of votes but 92.8% of seats), Adnan Menderes's government imposed press censorship, jailed journalists, and interfered with the judiciary and universities to entrench one-party dominance.",27 May 1960,"On 27 May 1960, 38 military officers led by Cemal Gürsel staged a coup, arresting the Menderes government; Menderes and two ministers were executed 16-17 September 1961, a new constitution passed by referendum on 9 July 1961, and elections on 15 October 1961 restored civilian multiparty rule.",https://en.wikipedia.org/wiki/Adnan_Menderes; https://en.wikipedia.org/wiki/1960_Turkish_coup_d'etat,Medium
Indonesia,1957,1966,Autocracy deepening,No,NA,FALSE,Executive coup,Promissory coup,5 July 1959,"President Sukarno issued Presidential Decree No. 150 of 1959, unilaterally dissolving the elected Constituent Assembly and reinstating the powerful-executive 1945 Constitution, formally ending parliamentary democracy and launching ""Guided Democracy.""",11 March 1966,"After the failed 30 September Movement coup attempt against army generals (1 October 1965) was crushed by General Suharto, Sukarno signed the ""Supersemar"" order on 11 March 1966 transferring emergency powers to Suharto, who immediately banned the PKI; Suharto became acting president in March 1967 and full president in March 1968.",https://en.wikipedia.org/wiki/Guided_Democracy_in_Indonesia; https://en.wikipedia.org/wiki/30_September_Movement,High
Ghana,1958,1966,Autocracy deepening,No,NA,FALSE,Executive aggrandizement,Strategic harassment,July 1958,"In July 1958, Nkrumah's government enacted the Preventive Detention Act, permitting detention without trial for up to five years, used to jail opposition politicians and consolidate CPP dominance.",24 February 1966,"A 1964 referendum made the CPP the sole legal party and Nkrumah president for life; worsening economic conditions and repression culminated in the 24 February 1966 ""Operation Cold Chop"" military coup while Nkrumah was abroad, with the new National Liberation Council dissolving the CPP and Parliament and suspending the constitution.",https://en.wikipedia.org/wiki/Convention_People's_Party; https://en.wikipedia.org/wiki/1966_Ghanaian_coup_d'etat,High
Iraq,1958,1968,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,14 July 1958,"On 14 July 1958, the Free Officers led by Brigadier Abd al-Karim Qasim overthrew and killed King Faisal II, Crown Prince Abd al-Ilah, and PM Nuri al-Said, ending the Hashemite monarchy and founding the Republic of Iraq.",17 July 1968,"After a further coup in November 1963 unseated Qasim's Ba'athist-Nasserist successors, a final coup on 17 July 1968 led by Ahmed Hassan al-Bakr seized key government and military installations, establishing the Revolutionary Command Council and inaugurating over three decades of Ba'ath Party rule.",https://en.wikipedia.org/wiki/14_July_Revolution; https://en.wikipedia.org/wiki/17_July_Revolution,High
Burma/Myanmar,1958,1963,Autocracy deepening,No,1962,TRUE,Promissory coup,Open-ended coup,28 October 1958,"Amid an AFPFL party split and political instability, Prime Minister U Nu invited army Chief of Staff Ne Win to form a ""caretaker government"" on 28 October 1958, promising to restore order and hold new elections.",4 July 1962,"Ne Win's caretaker government held elections in February 1960 and returned power to civilians, but on 2 March 1962 Ne Win staged a second, permanent coup, abolishing parliament and the constitution; by 4 July 1962 all other parties were banned in favor of the sole legal Burma Socialist Programme Party.",https://en.wikipedia.org/wiki/Ne_Win's_First_Cabinet; https://en.wikipedia.org/wiki/1962_Burmese_coup_d'etat,High
Cuba,1959,1961,Autocracy deepening,No,NA,FALSE,Other/unclear,NA,1 January 1959,"Facing defeat by Fidel Castro's 26th of July Movement guerrillas, dictator Fulgencio Batista fled Cuba on 1 January 1959; Castro's forces entered Havana on 7-8 January and Castro became Prime Minister by mid-February 1959.",2 December 1961,"Through 1959-61 the revolutionary government nationalized private industry and land, postponed promised elections, and merged rival factions into the Integrated Revolutionary Organizations; Castro declared Cuba a socialist state on 1 May 1961 and publicly proclaimed himself Marxist-Leninist in December 1961.",https://en.wikipedia.org/wiki/Timeline_of_the_Cuban_Revolution,Medium
Laos,1959,1965,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,December 1959,"On 25 December 1959, General Phoumi Nosavan staged a bloodless coup in Vientiane, deploying tanks and paratroopers to seize effective control of government days after PM Phoui Sananikone had dropped Phoumi and other CDNI-aligned ministers from the cabinet.",February 1965,"A cycle of coups and counter-coups followed (Kong Le 1960, Phoumi's CIA-backed counter-coup and the Battle of Vientiane December 1960); Phoumi's final coup attempt collapsed by early February 1965 when General Kouprasith Abhay crushed it and forced Phoumi into exile in Thailand.",https://en.wikipedia.org/wiki/Phoui_Sananikone; https://en.wikipedia.org/wiki/1965_Laotian_coups,Medium
Ecuador,1960,1964,Autocracy deepening,No,1961,TRUE,Open-ended coup,NA,November 1961,"On 7 November 1961, the military forced elected President Jose Maria Velasco Ibarra from office after he ordered arrest of his own vice president amid a tax-hike crisis, installing Vice President Carlos Julio Arosemena Monroy as constitutional successor.",1964,"Arosemena was overthrown on 11 July 1963 by a military junta led by Ramon Castro Jijon, which declared martial law and outlawed the Communist Party; the junta ruled by decree through 1964 amid harsh austerity measures.",https://en.wikipedia.org/wiki/Carlos_Julio_Arosemena_Monroy,Medium
South Korea,1961,1962,Autocracy deepening,No,1961,TRUE,Open-ended coup,Executive aggrandizement,May 1961,"In the early morning of 16 May 1961, Major General Park Chung-hee led military units to seize Seoul, dissolving the National Assembly, imposing martial law, and ousting the elected government of PM Chang Myon and President Yun Posun.",December 1962,"The junta's Supreme Council for National Reconstruction consolidated control and drafted a new constitution, approved in a referendum on 17 December 1962 with over 78% support, paving the way for Park to convert military rule into a tightly controlled presidency.",https://en.wikipedia.org/wiki/May_16_coup,High
Nepal,1961,1961,Autocracy deepening,No,NA,FALSE,Open-ended coup,Executive aggrandizement,December 1960,"On 15 December 1960, King Mahendra used the Royal Nepalese Army to seize power, dismissing and imprisoning PM B.P. Koirala and his cabinet, dissolving the elected Parliament, and abrogating Nepal's 1959 constitution.",December 1962,"Mahendra announced the partyless Panchayat system in 1961, then formalized the new order via the Constitution of Nepal, 1962, which outlawed political parties and vested ultimate authority in the king.",https://en.wikipedia.org/wiki/1960_Nepal_coup_d'etat,High
