country_name,ep_start,revevent_year,ep_end,outcome_label,prch_label,gap_years
Russia,1993,2004,2014,Autocracy deepening,No,11
"Venezuela, Rep. Bol.",1998,2009,2018,Breakdown,Yes,11
Uruguay,1963,1972,1974,Breakdown,Yes,9
Bangladesh,2002,2007,2007,Breakdown,Yes,5
Greece,1962,1967,1968,Autocracy deepening,No,5
Somalia,1964,1969,1970,Autocracy deepening,No,5
Myanmar,1958,1962,1963,Autocracy deepening,No,4
Panama,1964,1968,1969,Autocracy deepening,No,4
Armenia,1993,1996,1997,Breakdown,Yes,3
"Congo, Republic of",1994,1997,1998,Autocracy deepening,No,3
Thailand,2003,2006,2007,Breakdown,Yes,3
Nepal,2000,2002,2003,Autocracy deepening,No,2
Peru,1990,1992,1992,Breakdown,Yes,2
Solomon Islands,1998,2000,2001,Breakdown,Yes,2
Argentina,1975,1976,1977,Autocracy deepening,No,1
Belarus,1994,1995,2001,Breakdown,Yes,1
Chile,1972,1973,1974,Breakdown,Yes,1
"Congo, Republic of",1962,1963,1968,Autocracy deepening,No,1
Ecuador,1960,1961,1964,Autocracy deepening,No,1
"Gambia, The",1993,1994,1995,Autocracy deepening,No,1
Nigeria,1983,1984,1984,Autocracy deepening,No,1
Azerbaijan,1993,1993,1996,Autocracy deepening,No,0
Burkina Faso,1980,1980,1981,Autocracy deepening,No,0
Brazil,1964,1964,1965,Autocracy deepening,No,0
Central African Rep.,2003,2003,2004,Autocracy deepening,No,0
Comoros,1999,1999,2000,Autocracy deepening,No,0
Fiji,1987,1987,1988,Breakdown,Yes,0
Fiji,2006,2006,2007,Autocracy deepening,No,0
Ghana,1972,1972,1973,Autocracy deepening,No,0
Ghana,1981,1981,1982,Autocracy deepening,No,0
Korea,1961,1961,1962,Autocracy deepening,No,0
Madagascar,2009,2009,2010,Autocracy deepening,No,0
Niger,1996,1996,1996,Breakdown,Yes,0
Niger,2009,2009,2010,Breakdown,Yes,0
Pakistan,1977,1977,1978,Autocracy deepening,No,0
Pakistan,1999,1999,2000,Autocracy deepening,No,0
Peru,1968,1968,1969,Autocracy deepening,No,0
Sudan,1969,1969,1969,Autocracy deepening,No,0
Sudan,1989,1989,1990,Autocracy deepening,No,0
Sierra Leone,1967,1967,1968,Autocracy deepening,No,0
Suriname,1980,1980,1981,Breakdown,Yes,0
Thailand,1976,1976,1977,Autocracy deepening,No,0
Thailand,1991,1991,1991,Autocracy deepening,No,0
Turkey,1980,1980,1981,Breakdown,Yes,0
Bangladesh,1975,1974,1976,Autocracy deepening,No,-1
Haiti,1992,1991,1992,Autocracy deepening,No,-1
Haiti,2001,2000,2004,Autocracy deepening,No,-1
Philippines,1966,1965,1973,Autocracy deepening,No,-1
Suriname,1991,1990,1991,Autocracy deepening,No,-1
