country_name,ep_start,ep_end,outcome_label,prch_label,ddcg_event_years
Türkiye,1954,1961,Autocracy deepening,No,NA
Indonesia,1957,1966,Autocracy deepening,No,NA
Ghana,1958,1966,Autocracy deepening,No,NA
Iraq,1958,1968,Autocracy deepening,No,NA
Cuba,1959,1961,Autocracy deepening,No,NA
Laos,1959,1965,Autocracy deepening,No,NA
Nepal,1961,1961,Autocracy deepening,No,NA
Argentina,1962,1962,Autocracy deepening,No,NA
Central African Republic,1963,1966,Autocracy deepening,No,NA
Syria,1963,1970,Autocracy deepening,No,NA
Togo,1963,1968,Autocracy deepening,No,NA
Republic of Vietnam,1963,1964,Autocracy deepening,No,NA
Benin,1964,1966,Autocracy deepening,No,NA
Bolivia,1964,1965,Autocracy deepening,No,NA
Dominican Republic,1964,1964,Autocracy deepening,No,NA
Mali,1964,1969,Autocracy deepening,No,NA
Zanzibar,1964,1964,Autocracy deepening,No,NA
Burundi,1965,1967,Autocracy deepening,No,NA
Burkina Faso,1965,1967,Autocracy deepening,No,NA
Democratic Republic of the Congo,1965,1966,Autocracy deepening,No,NA
Algeria,1965,1966,Autocracy deepening,No,NA
Argentina,1966,1967,Democratic breakdown,Yes,NA
Uganda,1966,1972,Autocracy deepening,No,NA
Guyana,1968,1974,Autocracy deepening,No,NA
Lesotho,1969,1971,Autocracy deepening,No,NA
Malaysia,1969,1970,Autocracy deepening,No,NA
Zambia,1969,1974,Autocracy deepening,No,NA
Benin,1970,1973,Autocracy deepening,No,NA
Ecuador,1970,1973,Autocracy deepening,No,NA
Cambodia,1970,1975,Autocracy deepening,No,NA
Sri Lanka,1970,1989,Democratic breakdown,Yes,NA
Equatorial Guinea,1971,1973,Autocracy deepening,No,NA
India,1971,1975,Democratic breakdown,Yes,NA
Madagascar,1972,1973,Autocracy deepening,No,NA
Seychelles,1972,1978,Autocracy deepening,No,NA
Honduras,1973,1973,Autocracy deepening,No,NA
Rwanda,1973,1974,Autocracy deepening,No,NA
Eswatini,1973,1974,Autocracy deepening,No,NA
Bahrain,1974,1976,Autocracy deepening,No,NA
Laos,1975,1976,Autocracy deepening,No,NA
Suriname,1975,1975,Democratic erosion,Yes,NA
Kuwait,1976,1976,Autocracy deepening,No,NA
Mauritania,1978,1979,Autocracy deepening,No,NA
Zimbabwe,1978,1978,Autocracy deepening,No,NA
Liberia,1980,1981,Autocracy deepening,No,NA
Bangladesh,1982,1983,Autocracy deepening,No,NA
Kuwait,1986,1986,Autocracy deepening,No,NA
Burundi,1987,1988,Autocracy deepening,No,NA
Estonia,1991,1992,Democratic breakdown,Yes,NA
Algeria,1992,1993,Autocracy deepening,No,NA
Tajikistan,1992,1995,Autocracy deepening,No,NA
Rwanda,1993,1995,Autocracy deepening,No,NA
Lesotho,1994,1995,Democratic breakdown,Yes,NA
Nicaragua,1996,2025,Democratic breakdown,Yes,NA
Madagascar,1997,2002,Democratic breakdown,Yes,NA
Ukraine,1997,2000,Democratic breakdown,Yes,NA
Moldova,1998,2006,Democratic breakdown,Yes,NA
Malawi,1999,2005,Democratic breakdown,Yes,NA
Niger,1999,1999,Autocracy deepening,No,NA
Ivory Coast,2000,2000,Autocracy deepening,No,NA
Fiji,2000,2001,Democratic breakdown,Yes,NA
North Macedonia,2000,2001,Autocracy deepening,No,NA
Philippines,2001,2005,Democratic breakdown,Yes,NA
Liberia,2003,2004,Autocracy deepening,No,NA
Bosnia and Herzegovina,2004,2007,Democratic erosion,Yes,NA
Sri Lanka,2004,2006,Democratic breakdown,Yes,NA
North Macedonia,2005,2012,Democratic breakdown,Yes,NA
Türkiye,2005,2017,Democratic breakdown,Yes,NA
Bolivia,2006,2020,Democratic breakdown,Yes,NA
Honduras,2006,2010,Democratic breakdown,Yes,NA
Hungary,2006,2025,Democratic breakdown,Yes,NA
Palestine/West Bank,2006,2008,Democratic breakdown,Yes,NA
Ecuador,2007,2013,Democratic erosion,Yes,NA
Papua New Guinea,2007,2013,Democratic breakdown,Yes,NA
South Korea,2008,2014,Democratic erosion,Yes,NA
Mali,2008,2013,Democratic breakdown,Yes,NA
Indonesia,2009,2025,Democratic breakdown,Yes,NA
India,2009,2025,Democratic breakdown,Yes,NA
Burundi,2010,2016,Autocracy deepening,No,NA
Maldives,2010,2017,Democratic breakdown,Yes,NA
Serbia,2010,2025,Democratic breakdown,Yes,NA
Ukraine,2010,2014,Democratic breakdown,Yes,NA
