aut_ep_id,country_text_id,country_name,ep_start,ep_end,outcome_agg,prch,poly_start,poly_end,outcome_label,prch_label,bermeo_category_primary,bermeo_category_secondary,precise_start_date,precipitating_event,precise_end_date,consequential_events,description,source_url,source_quote,confidence,is_classified,bse_outcome_short,bse_ROW,bse_ERT_regime,bse_Polyarchy,bse_LibDem,bse_LibComp,funke_outcome_short,funke_spell_years,ddcg_outcome_label,ddcg_prch_label,ddcg_event_years
AFG_2021_2025,AFG,Afghanistan,2021,2025,3,0,0.144,0.069,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB_1937_1940,ALB,Albania,1937,1940,3,0,0.122,0.049,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG_1930_1931,ARG,Argentina,1930,1931,3,0,0.284,0.118,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,1928–1930,NA,NA,NA
ARG_1943_1945,ARG,Argentina,1943,1945,3,0,0.169,0.089,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG_1949_1956,ARG,Argentina,1949,1956,3,0,0.372,0.15,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,1946–1955,NA,NA,NA
ARG_1962_1962,ARG,Argentina,1962,1962,3,0,0.274,0.274,Autocracy deepening,No,Open-ended coup,NA,March 1962,"After the ruling Radicals lost heavily to Peronist-backed candidates in March 1962 provincial elections, army officers annulled the elections and forced elected President Arturo Frondizi from office and into detention on 29 March 1962.",1962,"Senate President Jose Maria Guido was installed as a provisional civilian president under military tutelage; his government kept the Peronist party proscribed from politics, continuing through the 1963 elections.","Army officers annulled provincial elections showing Peronist gains and ousted elected President Frondizi, installing a military-controlled civilian figurehead and continuing the proscription of Peronism.",https://en.wikipedia.org/wiki/Arturo_Frondizi,"""in March 1962 the army intervened to annul the elections when the Peronistas made extensive political gains""",High,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,NA
ARG_1966_1967,ARG,Argentina,1966,1967,1,1,0.228,0.102,Democratic breakdown,Yes,Open-ended coup,Executive aggrandizement,June 1966,"General Juan Carlos Ongania led the ""Argentine Revolution,"" a military coup on 28 June 1966 that overthrew democratically elected President Arturo Illia, dissolved Congress, and banned all political parties, explicitly rejecting the label of a ""provisional government.""",1970,"The regime consolidated authoritarian rule via repression such as the ""Night of the Long Batons"" crackdown on university autonomy; Ongania was forced to resign in 1970 after the 1969 Cordobazo uprising.","General Ongania's 1966 coup ended Argentina's civilian constitutional government and installed an explicitly permanent military dictatorship, banning parties and shutting Congress.",https://en.wikipedia.org/wiki/Argentine_Revolution,"""the dictatorship did not present itself as a 'provisional government' but rather sought to establish itself as a new permanent dictatorial system""",High,TRUE,NA,NA,NA,NA,NA,NA,Breakdown,NA,Democratic breakdown,Yes,NA
ARG_1975_1977,ARG,Argentina,1975,1977,3,0,0.509,0.071,Autocracy deepening,No,Open-ended coup,NA,November 1975,President Isabel Peron declared a state of siege on 6 November 1975 suspending constitutional guarantees amid escalating guerrilla violence and the assassination of the Buenos Aires police chief.,March 1976,"On 24 March 1976 (Operation Aries) the armed forces arrested President Isabel Peron and installed a military junta led by Videla, formally named president 29 March 1976, launching the ""Process of National Reorganization.""","Isabel Peron's presidency, marked by state-of-siege repression and economic collapse, was overthrown by an open military coup in March 1976 installing a hardline dictatorship under Videla.",https://en.wikipedia.org/wiki/1976_Argentine_coup_d'etat,"""On November 6, 1975, Peron declared a state of siege...The military executed Operation Aries on March 24, 1976, removing Peron from power.""",High,TRUE,NA,NA,NA,NA,NA,NA,NA,1973–1976,Autocracy deepening,No,1976
ARG_2024_2025,ARG,Argentina,2024,2025,4,1,0.721,0.69,Ongoing,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARM_1993_1997,ARM,Armenia,1993,1997,1,1,0.597,0.392,Democratic breakdown,Yes,Executive aggrandizement,Election-day fraud,"December 28, 1994","On December 28, 1994, President Levon Ter-Petrosyan banned the opposition Armenian Revolutionary Federation, alleging a coup plot, raided its offices, and had 31 members arrested and later convicted.",September 1996,"In the September 25, 1996 presidential election, official results gave Ter-Petrosyan just above 50% amid widespread fraud allegations; roughly 200,000 protesters stormed parliament and were crushed by tanks and troops, and a minister later admitted the vote had been rigged.","President Ter-Petrosyan banned Armenia's largest opposition party, then secured a disputed re-election marred by fraud allegations and a violent military crackdown on protesters.",https://en.wikipedia.org/wiki/Levon_Ter-Petrosyan,"""the government had resorted to vote-rigging to secure Ter-Petrosyan's victory without a runoff election.""",High,TRUE,NA,NA,NA,NA,NA,NA,Breakdown,NA,Democratic breakdown,Yes,1996
