country_name,ep_start,ep_end,outcome_short,funke_spell_years
Cuba,1904,1907,NA,NA
Ecuador,1906,1906,NA,NA
Dominican Republic,1908,1917,NA,NA
Belgium,1914,1915,Breakdown,NA
Greece,1915,1917,NA,NA
Costa Rica,1917,1917,NA,NA
Hungary,1919,1919,NA,NA
Peru,1919,1920,NA,NA
Italy,1921,1926,NA,1922–1943
Greece,1922,1923,NA,NA
Germany,1923,1939,Breakdown,1933–1945
Spain,1923,1924,NA,NA
Chile,1924,1925,NA,1920–1925
Greece,1925,1926,NA,NA
Lithuania,1926,1927,Breakdown,NA
Poland,1926,1931,Breakdown,NA
Portugal,1926,1927,NA,NA
Cuba,1929,1934,NA,NA
Argentina,1930,1931,NA,1928–1930
Austria,1930,1938,Breakdown,NA
Bolivia,1930,1935,NA,NA
Brazil,1930,1931,NA,1930–1945
Czechia,1930,1940,Breakdown,NA
Dominican Republic,1930,1931,NA,NA
Malta,1930,1931,NA,NA
El Salvador,1931,1932,NA,NA
Ecuador,1932,1936,NA,1934–1935
Estonia,1932,1935,Breakdown,NA
Uruguay,1933,1933,Breakdown,NA
Bulgaria,1934,1935,NA,NA
Latvia,1934,1939,Breakdown,NA
Malta,1934,1935,NA,NA
Greece,1935,1937,NA,NA
Spain,1936,1940,Breakdown,NA
Albania,1937,1940,NA,NA
Romania,1937,1940,NA,NA
Finland,1939,1940,Erosion only,NA
France,1939,1941,Breakdown,NA
Hungary,1939,1945,NA,NA
Belgium,1940,1941,Breakdown,NA
Denmark,1940,1944,Breakdown,NA
Luxembourg,1940,1941,Breakdown,NA
Netherlands,1940,1941,Breakdown,NA
Norway,1940,1943,Breakdown,NA
Philippines,1941,1942,NA,NA
Burma/Myanmar,1942,1943,NA,NA
Argentina,1943,1945,NA,NA
Colombia,1947,1950,NA,NA
Hungary,1947,1949,NA,NA
Costa Rica,1948,1948,NA,NA
Czechia,1948,1954,NA,NA
Peru,1948,1949,NA,NA
Argentina,1949,1956,NA,1946–1955
Syria,1949,1952,NA,NA
Venezuela,1949,1949,NA,NA
Cuba,1951,1953,NA,NA
Egypt,1952,1953,NA,NA
Iran,1953,1954,NA,NA
Guatemala,1954,1955,NA,NA
Türkiye,1954,1961,NA,NA
Honduras,1955,1955,NA,NA
