aut_ep_id,country_name,ep_start,ep_end,outcome_agg,outcome_label,poly_start,poly_end,n_populist_spells,any_populist,populist_variants,earliest_entry_year,years_populist_leads
ARG_1930_1931,Argentina,1930,1931,3,NA,0.284,0.118,1,TRUE,Left,1928,2
ARG_1943_1945,Argentina,1943,1945,3,NA,0.169,0.089,1,TRUE,Left,1946,-3
ARG_1949_1956,Argentina,1949,1956,3,NA,0.372,0.15,1,TRUE,Left,1946,3
ARG_1975_1977,Argentina,1975,1977,3,NA,0.509,0.071,1,TRUE,Left,1973,2
AUT_1930_1938,Austria,1930,1938,1,Breakdown,0.686,0.093,0,FALSE,,NA,NA
BEL_1914_1915,Belgium,1914,1915,1,Breakdown,0.303,0.156,0,FALSE,,NA,NA
BEL_1940_1941,Belgium,1940,1941,1,Breakdown,0.234,0.125,0,FALSE,,NA,NA
BOL_1964_1965,Bolivia,1964,1965,3,NA,0.227,0.123,1,TRUE,Left,1952,12
BOL_2006_2020,Bolivia,2006,2020,1,Breakdown,0.724,0.275,1,TRUE,Left,2006,0
BRA_1930_1931,Brazil,1930,1931,3,NA,0.178,0.079,1,TRUE,Left,1930,0
BRA_2015_2019,Brazil,2015,2019,2,Erosion only,0.861,0.691,1,TRUE,Right,2019,-4
CHL_1924_1925,Chile,1924,1925,3,NA,0.257,0.155,2,TRUE,Left,1920,4
COL_1947_1950,Colombia,1947,1950,3,NA,0.25,0.142,0,FALSE,,NA,NA
CZE_1930_1940,Czechia,1930,1940,1,Breakdown,0.782,0.068,0,FALSE,,NA,NA
CZE_1948_1954,Czechia,1948,1954,3,NA,0.185,0.127,0,FALSE,,NA,NA
CZE_2013_2021,Czechia,2013,2021,2,Erosion only,0.863,0.789,0,FALSE,,NA,NA
DEU_1923_1939,Germany,1923,1939,1,Breakdown,0.629,0.071,1,TRUE,Right,1933,-10
DNK_1940_1944,Denmark,1940,1944,1,Breakdown,0.68,0.204,0,FALSE,,NA,NA
ECU_1932_1936,Ecuador,1932,1936,3,NA,0.266,0.152,1,TRUE,Right,1934,-2
ECU_1960_1964,Ecuador,1960,1964,3,NA,0.359,0.133,1,TRUE,Right,1960,0
ECU_1970_1973,Ecuador,1970,1973,3,NA,0.294,0.146,1,TRUE,Right,1968,2
ECU_2007_2013,Ecuador,2007,2013,2,Erosion only,0.671,0.538,1,TRUE,Left,2007,0
EGY_1952_1953,Egypt,1952,1953,3,NA,0.148,0.066,0,FALSE,,NA,NA
EGY_2013_2014,Egypt,2013,2014,3,NA,0.187,0.137,0,FALSE,,NA,NA
ESP_1923_1924,Spain,1923,1924,3,NA,0.093,0.061,0,FALSE,,NA,NA
ESP_1936_1940,Spain,1936,1940,1,Breakdown,0.497,0.07,0,FALSE,,NA,NA
EST_1932_1935,Estonia,1932,1935,1,Breakdown,0.675,0.126,0,FALSE,,NA,NA
