country_text_id,country,entry_year,exit_year,variant,n_ert_matches,any_ert,any_outcome_1,any_outcome_2,any_outcome_4,matched_outcomes
ARG,Argentina,1928,1930,Left,1,TRUE,FALSE,FALSE,FALSE,
ARG,Argentina,1946,1955,Left,2,TRUE,FALSE,FALSE,FALSE,
ARG,Argentina,1973,1976,Left,1,TRUE,FALSE,FALSE,FALSE,
BOL,Bolivia,1952,1964,Left,1,TRUE,FALSE,FALSE,FALSE,
BOL,Bolivia,2006,2019,Left,1,TRUE,TRUE,FALSE,FALSE,Breakdown
BRA,Brazil,1930,1945,Left,1,TRUE,FALSE,FALSE,FALSE,
BRA,Brazil,2019,2020,Right,1,TRUE,FALSE,TRUE,FALSE,Erosion only
CHL,Chile,1920,1925,Left,1,TRUE,FALSE,FALSE,FALSE,
CHL,Chile,1927,1938,Left,1,TRUE,FALSE,FALSE,FALSE,
DEU,Germany,1933,1945,Right,1,TRUE,TRUE,FALSE,FALSE,Breakdown
ECU,Ecuador,1934,1935,Right,1,TRUE,FALSE,FALSE,FALSE,
ECU,Ecuador,1960,1961,Right,1,TRUE,FALSE,FALSE,FALSE,
ECU,Ecuador,1968,1972,Right,1,TRUE,FALSE,FALSE,FALSE,
ECU,Ecuador,2007,2017,Left,1,TRUE,FALSE,TRUE,FALSE,Erosion only
GBR,United Kingdom,2019,2020,Right,1,TRUE,FALSE,FALSE,TRUE,Uncertain / ongoing
GRC,Greece,2015,2019,Left,1,TRUE,FALSE,FALSE,TRUE,Uncertain / ongoing
HUN,Hungary,2010,2020,Right,1,TRUE,TRUE,FALSE,FALSE,Breakdown
IDN,Indonesia,1945,1966,Left,1,TRUE,FALSE,FALSE,FALSE,
IDN,Indonesia,2014,2020,Left,1,TRUE,TRUE,FALSE,FALSE,Breakdown
IND,India,1966,1977,Left,1,TRUE,TRUE,FALSE,FALSE,Breakdown
IND,India,2014,2020,Right,1,TRUE,TRUE,FALSE,FALSE,Breakdown
ISR,Israel,1996,1999,Right,0,FALSE,FALSE,FALSE,FALSE,
ISR,Israel,2009,2020,Right,0,FALSE,FALSE,FALSE,FALSE,
ITA,Italy,1922,1943,Right,1,TRUE,FALSE,FALSE,FALSE,
ITA,Italy,2018,2020,Right,1,TRUE,FALSE,FALSE,TRUE,Uncertain / ongoing
JPN,Japan,2001,2006,Right,0,FALSE,FALSE,FALSE,FALSE,
KOR,South Korea,2003,2008,Right,1,TRUE,FALSE,TRUE,FALSE,Erosion only
MEX,Mexico,2018,2020,Left,1,TRUE,TRUE,FALSE,FALSE,Breakdown
NZL,New Zealand,1975,1984,Right,0,FALSE,FALSE,FALSE,FALSE,
PER,Peru,1985,2000,Mixed,1,TRUE,TRUE,FALSE,FALSE,Breakdown
PHL,Philippines,1998,2001,Left,1,TRUE,TRUE,FALSE,FALSE,Breakdown
PHL,Philippines,2016,2020,Right,1,TRUE,TRUE,FALSE,FALSE,Breakdown
POL,Poland,2015,2020,Right,1,TRUE,FALSE,TRUE,FALSE,Erosion only
THA,Thailand,2001,2006,Right,1,TRUE,TRUE,FALSE,FALSE,Breakdown
TUR,Turkey,2003,2020,Right,1,TRUE,TRUE,FALSE,FALSE,Breakdown
TWN,Taiwan,2000,2008,Right,0,FALSE,FALSE,FALSE,FALSE,
VEN,Venezuela,1999,2020,Left,1,TRUE,TRUE,FALSE,FALSE,Breakdown
ZAF,South Africa,2009,2018,Left,0,FALSE,FALSE,FALSE,FALSE,
