aut_ep_id,country_name,ep_start,ep_end,outcome_agg,outcome_label,poly_start,poly_end,n_populist_spells,any_populist,populist_variants,earliest_entry_year,years_populist_leads
AUT_1930_1938,Austria,1930,1938,1,Breakdown,0.686,0.093,0,FALSE,,NA,NA
BEL_1914_1915,Belgium,1914,1915,1,Breakdown,0.303,0.156,0,FALSE,,NA,NA
BEL_1940_1941,Belgium,1940,1941,1,Breakdown,0.234,0.125,0,FALSE,,NA,NA
COL_1947_1950,Colombia,1947,1950,3,NA,0.25,0.142,0,FALSE,,NA,NA
CZE_1930_1940,Czechia,1930,1940,1,Breakdown,0.782,0.068,0,FALSE,,NA,NA
CZE_1948_1954,Czechia,1948,1954,3,NA,0.185,0.127,0,FALSE,,NA,NA
CZE_2013_2021,Czechia,2013,2021,2,Erosion only,0.863,0.789,0,FALSE,,NA,NA
DNK_1940_1944,Denmark,1940,1944,1,Breakdown,0.68,0.204,0,FALSE,,NA,NA
EGY_1952_1953,Egypt,1952,1953,3,NA,0.148,0.066,0,FALSE,,NA,NA
EGY_2013_2014,Egypt,2013,2014,3,NA,0.187,0.137,0,FALSE,,NA,NA
ESP_1923_1924,Spain,1923,1924,3,NA,0.093,0.061,0,FALSE,,NA,NA
ESP_1936_1940,Spain,1936,1940,1,Breakdown,0.497,0.07,0,FALSE,,NA,NA
EST_1932_1935,Estonia,1932,1935,1,Breakdown,0.675,0.126,0,FALSE,,NA,NA
EST_1991_1992,Estonia,1991,1992,1,Breakdown,0.608,0.45,0,FALSE,,NA,NA
FIN_1939_1940,Finland,1939,1940,2,Erosion only,0.527,0.502,0,FALSE,,NA,NA
FRA_1939_1941,France,1939,1941,1,Breakdown,0.534,0.082,0,FALSE,,NA,NA
HRV_2013_2025,Croatia,2013,2025,4,Uncertain / ongoing,0.828,0.686,0,FALSE,,NA,NA
LTU_1926_1927,Lithuania,1926,1927,1,Breakdown,0.527,0.143,0,FALSE,,NA,NA
LUX_1940_1941,Luxembourg,1940,1941,1,Breakdown,0.216,0.143,0,FALSE,,NA,NA
LVA_1934_1939,Latvia,1934,1939,1,Breakdown,0.329,0.136,0,FALSE,,NA,NA
MLT_1930_1931,Malta,1930,1931,3,NA,0.245,0.217,0,FALSE,,NA,NA
MLT_1934_1935,Malta,1934,1935,3,NA,0.217,0.202,0,FALSE,,NA,NA
MLT_1958_1959,Malta,1958,1959,1,Breakdown,0.36,0.257,0,FALSE,,NA,NA
MYS_1969_1970,Malaysia,1969,1970,3,NA,0.209,0.146,0,FALSE,,NA,NA
NLD_1940_1941,Netherlands,1940,1941,1,Breakdown,0.219,0.147,0,FALSE,,NA,NA
NOR_1940_1943,Norway,1940,1943,1,Breakdown,0.297,0.1,0,FALSE,,NA,NA
PRT_1926_1927,Portugal,1926,1927,3,NA,0.107,0.048,0,FALSE,,NA,NA
ROU_1937_1940,Romania,1937,1940,3,NA,0.208,0.113,0,FALSE,,NA,NA
ROU_2021_2025,Romania,2021,2025,4,Uncertain / ongoing,0.766,0.605,0,FALSE,,NA,NA
RUS_1993_2014,Russia,1993,2014,3,NA,0.48,0.264,0,FALSE,,NA,NA
SVN_2012_2021,Slovenia,2012,2021,2,Erosion only,0.847,0.715,0,FALSE,,NA,NA
SVN_2023_2025,Slovenia,2023,2025,4,Uncertain / ongoing,0.76,0.692,0,FALSE,,NA,NA
URY_1933_1933,Uruguay,1933,1933,1,Breakdown,0.35,0.35,0,FALSE,,NA,NA
URY_1963_1974,Uruguay,1963,1974,1,Breakdown,0.768,0.097,0,FALSE,,NA,NA
