country_name,aut_ep_id,ep_start,ep_end,start_year_used,outcome_label,prch_label,miss_reason
Cuba,CUB_1904_1907,1904,1907,1904,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Ecuador,ECU_1906_1906,1906,1906,1906,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Dominican Republic,DOM_1908_1917,1908,1917,1908,Autocracy deepening,No,No election in the pre-episode window
Belgium,BEL_1914_1915,1914,1915,1914,Democratic breakdown,Yes,No election in the pre-episode window
Greece,GRC_1915_1917,1915,1917,1915,Autocracy deepening,No,No election in the pre-episode window
Costa Rica,CRI_1917_1917,1917,1917,1917,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Hungary,HUN_1919_1919,1919,1919,1919,Autocracy deepening,No,No election in the pre-episode window
Peru,PER_1919_1920,1919,1920,1919,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Italy,ITA_1921_1926,1921,1926,1921,Autocracy deepening,No,No election in the pre-episode window
Greece,GRC_1922_1923,1922,1923,1922,Autocracy deepening,No,No election in the pre-episode window
Germany,DEU_1923_1939,1923,1939,1923,Democratic breakdown,Yes,No election in the pre-episode window
Spain,ESP_1923_1924,1923,1924,1923,Autocracy deepening,No,No election in the pre-episode window
Chile,CHL_1924_1925,1924,1925,1924,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Greece,GRC_1925_1926,1925,1926,1925,Autocracy deepening,No,No election in the pre-episode window
Lithuania,LTU_1926_1927,1926,1927,1926,Democratic breakdown,Yes,No election in the pre-episode window
Poland,POL_1926_1931,1926,1931,1926,Democratic breakdown,Yes,No election in the pre-episode window
Portugal,PRT_1926_1927,1926,1927,1926,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Cuba,CUB_1929_1934,1929,1934,1929,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Argentina,ARG_1930_1931,1930,1931,1930,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Austria,AUT_1930_1938,1930,1938,1930,Democratic breakdown,Yes,No election in the pre-episode window
Bolivia,BOL_1930_1935,1930,1935,1930,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Brazil,BRA_1930_1931,1930,1931,1930,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Czechia,CZE_1930_1940,1930,1940,1930,Democratic breakdown,Yes,No election in the pre-episode window
Dominican Republic,DOM_1930_1931,1930,1931,1930,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Malta,MLT_1930_1931,1930,1931,1930,Autocracy deepening,No,No election in the pre-episode window
El Salvador,SLV_1931_1932,1931,1932,1931,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Ecuador,ECU_1932_1936,1932,1936,1932,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Estonia,EST_1932_1935,1932,1935,1932,Democratic breakdown,Yes,No election in the pre-episode window
