spec,n_first_stage,first_stage_coef,first_stage_se,first_stage_pval,first_stage_bandwidth
baseline,1347,-0.02524478175740104,0.05761594902663189,0.6612731013716799,21.07844457946703
high_illiberal_score,673,0.04682796299678024,0.09532064430623567,0.6232370527057097,30.59092517988414
excl_indirect_election,1320,-0.013259141513772096,0.05628388545852424,0.8137615756928469,21.22651024671094
bermeo_Executive aggrandizement,1230,0.022923789007262475,0.030335028434380556,0.4498368332154226,18.511212167571305
bermeo_Other/unclear,1209,0.019615981326169346,0.01277432855430607,0.1246418473471176,17.058570149299715
bermeo_Open-ended coup,1223,0.007015250194317678,0.01025031850820272,0.4937267911866431,14.718630947376951
bermeo_Promissory coup,1216,-7.181308523848962e-4,0.011059315777895708,0.9482261722541038,25.15389450613082
bermeo_Strategic harassment,NA,NA,NA,NA,NA
bermeo_Executive coup,NA,NA,NA,NA,NA
bermeo_Election-day fraud,1208,0.01696241484074774,0.017328404865732863,0.3276396778162888,14.72411389959986
