spec,n_first_stage,first_stage_coef,first_stage_se,first_stage_pval,first_stage_bandwidth
baseline_scoregap_ge_0,1345,-0.02495492430127172,0.05774992738617232,0.6656538762129112,20.99180945618961
high_illiberal_score,671,0.04691676394195107,0.09540185553299695,0.6228745844066244,30.512086193466544
excl_indirect_election,1318,-0.013172582405164196,0.05633367397212409,0.8151158639380698,21.194963149100307
bermeo_Executive aggrandizement,1228,0.02299719929398549,0.030361512949561995,0.4487828489415616,18.455677427674406
bermeo_Other/unclear,1207,0.019558089571343792,0.01278163890839845,0.12597447765219502,16.99433856923053
bermeo_Open-ended coup,1221,0.007166879200580244,0.010155329587843669,0.480358605689921,14.503134766786308
bermeo_Promissory coup,1214,-0.0010193113217102107,0.011027390841787851,0.9263528323847299,24.901994720679948
bermeo_Strategic harassment,NA,NA,NA,NA,NA
bermeo_Executive coup,NA,NA,NA,NA,NA
bermeo_Election-day fraud,1206,0.0170712175187801,0.01744079809563643,0.3276741529574898,14.565212615372898
