outcome,spec,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,baseline,1347,-0.02524478175740104,0.6612731013716799,1207,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738,22.6811423953316
Y_inflation,baseline,1347,-0.02524478175740104,0.6612731013716799,1135,0.005166308579058421,0.19132709077498933,0.9784577450071451,0.642986730447782,5.577454027058821,0.9082206565397166,23.07745397570269
Y_unemployment,baseline,1347,-0.02524478175740104,0.6612731013716799,883,0.20468888343285188,0.5774732542058002,0.7229971424633412,-7.715584791136926,27.91842436441028,0.7822702273052698,22.152586955473097
Y_trade_pct_gdp,baseline,1347,-0.02524478175740104,0.6612731013716799,1115,-1.6257413711850437,2.833930403617654,0.5661910095826326,20.561042094041774,72.17251503986743,0.7757303889903086,20.83289634186772
Y_top10_share,baseline,1347,-0.02524478175740104,0.6612731013716799,1152,-0.6468223258562389,0.5650823746041492,0.2523535950368164,15.25387249519051,44.919336402501486,0.7341700878441687,25.51318510379134
Y_gini_disp,baseline,1347,-0.02524478175740104,0.6612731013716799,975,0.6633816331578543,0.31353680745612755,0.03436169738288882,-8.420484639662558,10.53661998949486,0.424195474029947,25.09114393036068
Y_gini_mkt,baseline,1347,-0.02524478175740104,0.6612731013716799,975,0.6576071037766402,0.3417892045925868,0.05435286932396127,-9.5496228218508,13.358062547186956,0.4746734319581825,22.007664810375296
Y_gdp_growth,high_illiberal_score,673,0.04682796299678024,0.6232370527057097,611,-0.1473850208869807,0.06567782922148639,0.02482851034794665,-1.3150275651054075,1.4753549255987988,0.3727523554637928,17.736728442939757
Y_inflation,high_illiberal_score,673,0.04682796299678024,0.6232370527057097,551,0.15772604007583513,0.42727356334494254,0.7120194035768455,1.076165852610581,4.940328057840512,0.8275593308662805,17.37081300017904
Y_unemployment,high_illiberal_score,673,0.04682796299678024,0.6232370527057097,472,0.290039126302425,0.7127844190543922,0.6840740721587464,68.51723392906287,175.67465159113675,0.6965192057774099,28.502678736338744
Y_trade_pct_gdp,high_illiberal_score,673,0.04682796299678024,0.6232370527057097,555,-2.769716058109025,5.552251771619935,0.6178881994462027,-69.316034986713845,151.67205980428477,0.6476620241692135,14.354003666293945
Y_top10_share,high_illiberal_score,673,0.04682796299678024,0.6232370527057097,567,-0.8936927635374118,0.7096373198608129,0.20789834201017962,-10.005070425453361,12.902040277942318,0.4380654080833924,20.370803190655238
Y_gini_disp,high_illiberal_score,673,0.04682796299678024,0.6232370527057097,471,0.7337134428815995,0.4966175581478617,0.13956269442779895,11.950639421825272,34.73289104620124,0.7307916169978699,26.329403231980766
