instrument,treatment_def,spec,treatment,n_first_stage,first_stage_coef,first_stage_se,first_stage_pval,first_stage_bandwidth
v2xpa_antiplural,backsliding_Nyr,instr-antiplural_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.050462944442171,0.06120521876648104,0.40966255385284633,20.759459614834142
v2xpa_antiplural,backsliding_union_Nyr,instr-antiplural_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02115984586534428,0.06264142846235504,0.7355190671918237,21.09194692598656
v2xpa_antiplural,polyarchy_decline,instr-antiplural_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1289,0.01745794410575638,0.01811206963972612,0.3351038102958821,23.202699767878123
v2xpa_popul,backsliding_Nyr,instr-popul_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,0.01845915545163454,0.062113700893307,0.7663265605259844,19.426815392795337
v2xpa_popul,backsliding_union_Nyr,instr-popul_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.04316676247509601,0.06912825792110412,0.5323356890109897,17.42874381068684
v2xpa_popul,polyarchy_decline,instr-popul_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1289,-0.00954912129200897,0.01777413880913975,0.5910962894823764,26.00273663105049
v2pariglef_neg,backsliding_Nyr,instr-econleft_w5_trt-ert_gapany_illibany,backsliding_Nyr,1343,0.1419302515240805,0.06320563215332045,0.02473401863882598,14.422766328838714
v2pariglef_neg,backsliding_union_Nyr,instr-econleft_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1343,0.11463039883242268,0.06895177860021819,0.09641818006843514,14.874556094634796
v2pariglef_neg,polyarchy_decline,instr-econleft_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1285,-0.0140523141998678,0.01774783431655469,0.4284911365249324,26.119562138498868
v2paanteli,backsliding_Nyr,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.02013635195641494,0.06077010907761383,0.7403779365248088,21.008880652196613
v2paanteli,backsliding_union_Nyr,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.01654598399604284,0.06927795900840272,0.8112337235186857,18.230028131257953
v2paanteli,polyarchy_decline,instr-anteli_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,1289,-0.0115488314167164,0.01838930444864771,0.5299915351756376,24.357066579257317
ep_galtan,backsliding_Nyr,instr-galtan_w5_trt-ert_gapany_illibany,backsliding_Nyr,53,-0.19572218331376232,0.16787396299283444,0.2436598653866248,11.03340968951204
ep_galtan,backsliding_union_Nyr,instr-galtan_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,53,-0.19572218331376232,0.16787396299283444,0.2436598653866248,11.03340968951204
ep_galtan,polyarchy_decline,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.04295520424004009,0.25755745315101236,10.5093860995656
