instrument,treatment_def,spec,treatment,n_first_stage,first_stage_coef,first_stage_se,first_stage_pval,first_stage_bandwidth
v2xpa_antiplural,backsliding_Nyr,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.10658873108954774,0.8570648951436914,31.7875975246481
v2xpa_antiplural,backsliding_union_Nyr,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.11471318990371752,0.7421826134079482,28.9700012454161
v2xpa_antiplural,polyarchy_decline,instr-antiplural_w5_trt-polyarchy_gapany_illib0p57,polyarchy_decline,648,0.02289305561308152,0.04021602392186258,0.569185076061112,18.822699358217697
v2xpa_popul,backsliding_Nyr,instr-popul_w5_trt-ert_gapany_illib0p508,backsliding_Nyr,672,-0.10613928097052427,0.09075394873826366,0.24219098102738648,23.022299304982894
v2xpa_popul,backsliding_union_Nyr,instr-popul_w5_trt-ertOrDdcg_gapany_illib0p508,backsliding_union_Nyr,672,-0.13771266467258955,0.09733112358512094,0.15710125893047364,22.79713501297964
v2xpa_popul,polyarchy_decline,instr-popul_w5_trt-polyarchy_gapany_illib0p508,polyarchy_decline,641,-0.03811821119116947,0.02414641735378629,0.11442140210856055,23.076702953276673
v2pariglef_neg,backsliding_Nyr,instr-econleft_w5_trt-ert_gapany_illib0p818,backsliding_Nyr,665,0.17925144772008086,0.08750494946365552,0.04051376300311912,18.467192368133997
v2pariglef_neg,backsliding_union_Nyr,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.09735085000592504,0.01367671755574246,15.334778506956177
v2pariglef_neg,polyarchy_decline,instr-econleft_w5_trt-polyarchy_gapany_illib0p818,polyarchy_decline,640,0.00160618201296835,0.01879205489328422,0.9318866836768293,21.98333948459281
v2paanteli,backsliding_Nyr,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.08923320479053035,0.13213343620811385,23.860392138337694
v2paanteli,backsliding_union_Nyr,instr-anteli_w5_trt-ertOrDdcg_gapany_illib0p33,backsliding_union_Nyr,673,-0.16577251193857642,0.09751813886534502,0.08914698271005063,23.1843425280556
v2paanteli,polyarchy_decline,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.02526058026156749,0.08437006311443432,22.496865762583106
ep_galtan,backsliding_Nyr,instr-galtan_w5_trt-ert_gapany_illib7,backsliding_Nyr,NA,NA,NA,NA,NA
ep_galtan,backsliding_union_Nyr,instr-galtan_w5_trt-ertOrDdcg_gapany_illib7,backsliding_union_Nyr,NA,NA,NA,NA,NA
ep_galtan,polyarchy_decline,instr-galtan_w5_trt-polyarchy_gapany_illib7,polyarchy_decline,NA,NA,NA,NA,NA
