instrument,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
v2xpa_antiplural,backsliding_Nyr,Y_gdp_growth,PWT,growth,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,611,-0.1473850208869807,0.06567782922148639,0.02482851034794665,-2.508921089880383,4.7807104977162185,0.5997216177454594,17.966660120169408
v2xpa_antiplural,backsliding_Nyr,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,620,-0.0921539925079106,0.05070930893188827,0.06917129444093321,-1.6696061703700065,2.9440945387507016,0.5706438990149609,20.461043900436746
v2xpa_antiplural,backsliding_Nyr,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,469,-0.11907699760322649,0.04788158147607938,0.01288594015064291,-2.3931702437938274,8.309764319162971,0.7733505965459158,18.931176194215304
v2xpa_antiplural,backsliding_Nyr,Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,551,0.15772604007583513,0.42727356334494254,0.7120194035768455,2.7163527980047064,6.898061769556252,0.6937398285724695,23.531162130672335
v2xpa_antiplural,backsliding_Nyr,Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,472,0.290039126302425,0.7127844190543922,0.6840740721587464,-59.58757522344697,985.881742204898,0.9518044883835584,27.821514325085328
v2xpa_antiplural,backsliding_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,555,-2.769716058109025,5.552251771619935,0.6178881994462027,-202.47112468255716,1121.2405722942194,0.8566990042256033,16.026664893705927
v2xpa_antiplural,backsliding_Nyr,Y_top10_share,Top-10% income share,top10,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,567,-0.8936927635374118,0.7096373198608129,0.2078983420101796,-27.90858767842014,66.33749239582053,0.6739697066159429,22.33598074994917
v2xpa_antiplural,backsliding_Nyr,Y_gini_disp,Disposable,gini,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,471,0.7337134428815995,0.4966175581478617,0.13956269442779895,-11.836621612763048,73.79318829533254,0.8725639165732206,26.140572705185654
v2xpa_antiplural,backsliding_Nyr,Y_gini_mkt,Market,gini,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,471,-0.08601686722587315,0.5682667031350007,0.879686162520596,5.4902511022395055,29.00351195043856,0.8498607679298511,23.105254862097784
v2xpa_antiplural,backsliding_Nyr,Y_debt,Debt / GDP,fiscal,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,595,11.96047142721124,33.85294990464383,0.7238585804706182,67.06237135301917,409.9385771411035,0.8700529197664817,32.02638478780121
v2xpa_antiplural,backsliding_Nyr,Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,497,-0.07735382386846856,1.8938626291541787,0.96741988339628,-10.561625404804309,133.64349239486234,0.937010069297346,21.797765665721112
v2xpa_antiplural,backsliding_Nyr,Y_checks_balances,Checks & balances,institutions,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,628,0.01558579042244312,0.04259881648951005,0.7144592552020362,81305.78502432338,475896.79287883104,0.8643436657834405,24.489512089774237
v2xpa_antiplural,backsliding_Nyr,Y_jucon,Judicial constraints,institutions,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,648,0.02091590214293705,0.03688924189715537,0.5707196702679527,1.361321445230243,4.449523262280037,0.7596444604635157,25.311369974746643
v2xpa_antiplural,backsliding_Nyr,Y_legcon,Legislative constraints,institutions,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,628,-3.4668464842495944e-4,0.05772045819468169,0.9952077188236236,103.21976183358493,652.2083566313632,0.8742503951540754,23.720916754460006
v2xpa_antiplural,backsliding_Nyr,Y_hos_power,HOS,exec_power,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,648,7.776697107069151e-4,0.03021882452952488,0.979469016969018,-0.4517780824570886,1.3694042034099985,0.7414691029946858,23.04022356176803
v2xpa_antiplural,backsliding_Nyr,Y_hog_power,HOG,exec_power,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,271,0.00546962676366273,0.04118479546658062,0.894346063674276,0.04929538388532114,0.21129441965605916,0.8155270041979356,32.73121387882113
v2xpa_antiplural,backsliding_Nyr,Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,648,0.0290593705287427,0.04871728852373523,0.550847999558624,2.5160446953548137,8.455049208413358,0.766024539887282,27.292423495182607
v2xpa_antiplural,backsliding_Nyr,Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w5_trt-ert_gapany_illib0p57,backsliding_Nyr,673,0.01919787516816093,0.8570648951436914,648,-0.00332975019547682,0.05403844969261475,0.9508669095845552,-2.9809468791203697,10.119165403888386,0.7683114855528327,27.38879422512324
v2xpa_antiplural,backsliding_union_Nyr,Y_gdp_growth,PWT,growth,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,611,-0.1473850208869807,0.06567782922148639,0.02482851034794665,-1.5473205499775626,1.6164382923133176,0.33844576997296943,20.172346376139696
v2xpa_antiplural,backsliding_union_Nyr,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,620,-0.0921539925079106,0.05070930893188827,0.06917129444093321,-1.1570929508086565,1.063631902691926,0.27665262085993697,25.957641015130474
v2xpa_antiplural,backsliding_union_Nyr,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,469,-0.11907699760322649,0.04788158147607938,0.01288594015064291,-1.2976060500668674,2.0395855860253693,0.5246391393782235,20.04132915820808
v2xpa_antiplural,backsliding_union_Nyr,Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,551,0.15772604007583513,0.42727356334494254,0.7120194035768455,1.1525522802190742,4.505376256663138,0.7980920706698866,18.052091555623573
v2xpa_antiplural,backsliding_union_Nyr,Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,472,0.290039126302425,0.7127844190543922,0.6840740721587464,88.3713083337434,278.43415365388074,0.7509501674546057,28.662657524465494
v2xpa_antiplural,backsliding_union_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,555,-2.769716058109025,5.552251771619935,0.6178881994462027,-38.66496832176597,85.69506907054168,0.651850849373744,14.387782168658946
v2xpa_antiplural,backsliding_union_Nyr,Y_top10_share,Top-10% income share,top10,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,567,-0.8936927635374118,0.7096373198608129,0.2078983420101796,-13.446089662044074,18.919587437174656,0.4772721622966579,23.377870106690644
v2xpa_antiplural,backsliding_union_Nyr,Y_gini_disp,Disposable,gini,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,471,0.7337134428815995,0.4966175581478617,0.13956269442779895,27.04267111106708,99.69900309361282,0.7862040317280603,25.788284757536303
v2xpa_antiplural,backsliding_union_Nyr,Y_gini_mkt,Market,gini,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,471,-0.08601686722587315,0.5682667031350007,0.879686162520596,-2.035768325949838,14.655147716470754,0.8895200955810596,23.678936835163647
v2xpa_antiplural,backsliding_union_Nyr,Y_debt,Debt / GDP,fiscal,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,595,11.96047142721124,33.85294990464383,0.7238585804706182,39.083109808891855,238.01633815664024,0.8695709656625417,32.20822076680727
v2xpa_antiplural,backsliding_union_Nyr,Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,497,-0.07735382386846856,1.8938626291541787,0.96741988339628,-1.7268754382821798,22.100680144235465,0.9377192699873358,20.92167696137454
v2xpa_antiplural,backsliding_union_Nyr,Y_checks_balances,Checks & balances,institutions,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,628,0.01558579042244312,0.04259881648951005,0.7144592552020362,1.0651851842252813,3.213902588055996,0.7403193668440821,25.82332142575821
v2xpa_antiplural,backsliding_union_Nyr,Y_jucon,Judicial constraints,institutions,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,648,0.02091590214293705,0.03688924189715537,0.5707196702679527,0.6285935269405667,1.3664987697349835,0.6455140706449836,29.680523725824433
v2xpa_antiplural,backsliding_union_Nyr,Y_legcon,Legislative constraints,institutions,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,628,-3.4668464842495944e-4,0.05772045819468169,0.9952077188236236,0.11100129707470845,2.0003729464436892,0.9557478566614124,24.251945258575788
v2xpa_antiplural,backsliding_union_Nyr,Y_hos_power,HOS,exec_power,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,648,7.776697107069151e-4,0.03021882452952488,0.979469016969018,0.17546256168834792,0.6517561241812067,0.7877641945757303,28.25243795965652
v2xpa_antiplural,backsliding_union_Nyr,Y_hog_power,HOG,exec_power,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,271,0.00546962676366273,0.04118479546658062,0.894346063674276,0.03469150522971219,0.1449695634636503,0.8108714213469139,33.48548984309385
v2xpa_antiplural,backsliding_union_Nyr,Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,648,0.0290593705287427,0.04871728852373523,0.550847999558624,1.0558066778082165,1.722033553790323,0.5397995057771037,29.42691275403383
v2xpa_antiplural,backsliding_union_Nyr,Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p57,backsliding_union_Nyr,673,0.03773655311730309,0.7421826134079482,648,-0.00332975019547682,0.05403844969261475,0.9508669095845552,-1.2905767844304057,2.0292252352696725,0.5247797834512502,29.236265762803846
v2xpa_antiplural,polyarchy_decline,Y_gdp_growth,PWT,growth,instr-antiplural_w5_trt-polyarchy_gapany_illib0p57,polyarchy_decline,648,0.02289305561308152,0.569185076061112,611,-0.1473850208869807,0.06567782922148639,0.02482851034794665,-5.05368298320426,12.871796680009725,0.6946025660820656,19.37484810601816
v2xpa_antiplural,polyarchy_decline,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w5_trt-polyarchy_gapany_illib0p57,polyarchy_decline,648,0.02289305561308152,0.569185076061112,620,-0.0921539925079106,0.05070930893188827,0.06917129444093321,-2.96133840287704,7.3613839467049855,0.6874778850793698,21.782415191011925
v2xpa_antiplural,polyarchy_decline,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w5_trt-polyarchy_gapany_illib0p57,polyarchy_decline,648,0.02289305561308152,0.569185076061112,469,-0.11907699760322649,0.04788158147607938,0.01288594015064291,-4.5121511945292605,22.057360895235945,0.8379124577669816,19.55366798163871
