sample,window,group,decade,n_cell,n_treated_ert,n_treated_union
full,1,OECD,1970s,81,0,0
full,1,OECD,1980s,74,0,0
full,1,OECD,1990s,93,1,1
full,1,OECD,2000s,76,1,1
full,1,OECD,2010s,94,3,3
full,1,Non-OECD,1970s,66,2,4
full,1,Non-OECD,1980s,105,1,3
full,1,Non-OECD,1990s,202,6,9
full,1,Non-OECD,2000s,233,9,12
full,1,Non-OECD,2010s,236,7,7
full,2,OECD,1970s,81,0,0
full,2,OECD,1980s,74,0,0
full,2,OECD,1990s,93,1,1
full,2,OECD,2000s,76,1,1
full,2,OECD,2010s,94,6,6
full,2,Non-OECD,1970s,66,5,7
full,2,Non-OECD,1980s,105,1,4
full,2,Non-OECD,1990s,202,8,12
full,2,Non-OECD,2000s,233,14,18
full,2,Non-OECD,2010s,236,16,16
full,3,OECD,1970s,81,1,1
full,3,OECD,1980s,74,0,0
full,3,OECD,1990s,93,1,1
full,3,OECD,2000s,76,2,2
full,3,OECD,2010s,94,8,8
full,3,Non-OECD,1970s,66,6,8
full,3,Non-OECD,1980s,105,3,6
full,3,Non-OECD,1990s,202,12,16
full,3,Non-OECD,2000s,233,18,23
full,3,Non-OECD,2010s,236,30,30
full,4,OECD,1970s,81,1,1
full,4,OECD,1980s,74,0,0
full,4,OECD,1990s,93,1,1
full,4,OECD,2000s,76,3,3
full,4,OECD,2010s,94,9,9
full,4,Non-OECD,1970s,66,8,10
full,4,Non-OECD,1980s,105,3,6
full,4,Non-OECD,1990s,202,14,22
full,4,Non-OECD,2000s,233,25,32
full,4,Non-OECD,2010s,236,38,38
full,5,OECD,1970s,81,1,1
full,5,OECD,1980s,74,0,0
full,5,OECD,1990s,93,1,1
full,5,OECD,2000s,76,3,3
full,5,OECD,2010s,94,13,13
full,5,Non-OECD,1970s,66,8,10
full,5,Non-OECD,1980s,105,6,10
full,5,Non-OECD,1990s,202,19,28
full,5,Non-OECD,2000s,233,38,46
full,5,Non-OECD,2010s,236,46,46
full,6,OECD,1970s,81,1,1
full,6,OECD,1980s,74,0,0
full,6,OECD,1990s,93,2,2
full,6,OECD,2000s,76,3,3
full,6,OECD,2010s,94,15,15
full,6,Non-OECD,1970s,66,8,10
full,6,Non-OECD,1980s,105,8,12
full,6,Non-OECD,1990s,202,28,36
full,6,Non-OECD,2000s,233,43,51
full,6,Non-OECD,2010s,236,49,49
full,7,OECD,1970s,81,2,2
full,7,OECD,1980s,74,0,0
full,7,OECD,1990s,93,2,2
full,7,OECD,2000s,76,4,4
full,7,OECD,2010s,94,16,16
full,7,Non-OECD,1970s,66,8,10
full,7,Non-OECD,1980s,105,8,13
full,7,Non-OECD,1990s,202,29,37
full,7,Non-OECD,2000s,233,45,54
full,7,Non-OECD,2010s,236,56,56
full,8,OECD,1970s,81,2,2
full,8,OECD,1980s,74,0,0
full,8,OECD,1990s,93,3,3
full,8,OECD,2000s,76,5,5
full,8,OECD,2010s,94,21,21
full,8,Non-OECD,1970s,66,8,11
full,8,Non-OECD,1980s,105,11,16
full,8,Non-OECD,1990s,202,31,39
full,8,Non-OECD,2000s,233,54,62
full,8,Non-OECD,2010s,236,60,60
full,9,OECD,1970s,81,2,2
full,9,OECD,1980s,74,0,0
full,9,OECD,1990s,93,3,3
full,9,OECD,2000s,76,6,6
full,9,OECD,2010s,94,23,23
full,9,Non-OECD,1970s,66,8,11
full,9,Non-OECD,1980s,105,11,16
full,9,Non-OECD,1990s,202,37,45
full,9,Non-OECD,2000s,233,59,68
full,9,Non-OECD,2010s,236,65,65
full,10,OECD,1970s,81,2,2
full,10,OECD,1980s,74,0,0
full,10,OECD,1990s,93,4,4
full,10,OECD,2000s,76,6,6
full,10,OECD,2010s,94,24,24
full,10,Non-OECD,1970s,66,10,13
full,10,Non-OECD,1980s,105,15,20
full,10,Non-OECD,1990s,202,45,53
full,10,Non-OECD,2000s,233,68,77
full,10,Non-OECD,2010s,236,67,67
popucut,1,OECD,1970s,11,0,0
popucut,1,OECD,1980s,11,0,0
popucut,1,OECD,1990s,13,0,0
popucut,1,OECD,2000s,3,0,0
popucut,1,OECD,2010s,14,1,1
popucut,1,Non-OECD,1970s,31,2,2
popucut,1,Non-OECD,1980s,45,0,0
popucut,1,Non-OECD,1990s,86,2,3
popucut,1,Non-OECD,2000s,86,2,4
popucut,1,Non-OECD,2010s,89,0,0
popucut,2,OECD,1970s,11,0,0
popucut,2,OECD,1980s,11,0,0
popucut,2,OECD,1990s,13,0,0
popucut,2,OECD,2000s,3,0,0
popucut,2,OECD,2010s,14,2,2
