sample,sample_label,window,group,decade,outcome,outcome_label,panel,n_cell,n_usable,fitted,score_gap_min,illiberal_cutoff,other_cutoff_max,n,est,se,pval,ci_lo,ci_hi,bw
full,All scored elections,1,OECD,1970s,Y_gdp_growth,GDP per capita growth: PWT,growth,81,81,TRUE,-Inf,-Inf,Inf,81,-0.11875182579548643,0.044978658799253994,0.008286162143968647,-0.2069083771149398,-0.030595274476033038,8.541119387935291
full,All scored elections,1,OECD,1970s,Y_gdp_growth_wb,GDP per capita growth: World Bank,growth,81,81,TRUE,-Inf,-Inf,Inf,81,-0.11774902501405031,0.04599318739046408,0.010462983207276106,-0.20789401583356165,-0.02760403419453898,8.791023498838118
full,All scored elections,1,OECD,1970s,Y_gdp_growth_imf,GDP per capita growth: IMF WEO,growth,81,0,FALSE,-Inf,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
full,All scored elections,1,OECD,1970s,Y_inflation,Inflation,inflation,81,81,TRUE,-Inf,-Inf,Inf,81,0.09332627659438757,0.11780397667313243,0.428234337897578,-0.1375652749205486,0.3242178281093237,9.893206821464274
full,All scored elections,1,OECD,1970s,Y_unemployment,Unemployment,unemployment,81,0,FALSE,-Inf,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
full,All scored elections,1,OECD,1970s,Y_trade_pct_gdp,Trade openness,trade,81,77,TRUE,-Inf,-Inf,Inf,77,-0.9541919152417768,6.652270094431105,0.885943846518935,-13.992401715759604,12.08401788527605,12.084918054506515
full,All scored elections,1,OECD,1970s,Y_top10_share,Top-10% income share,top10,81,44,TRUE,-Inf,-Inf,Inf,44,-0.5879060055599279,0.3770915836347512,0.11898368532009218,-1.3269919283572138,0.1511799172373579,7.946597599787085
full,All scored elections,1,OECD,1970s,Y_gini_disp,Income inequality (Gini): Disposable,gini,81,56,TRUE,-Inf,-Inf,Inf,56,-0.11533524144986618,1.0670480256361294,0.9139257721755174,-2.2067109414712514,1.9760404585715188,12.648650385802942
full,All scored elections,1,OECD,1970s,Y_gini_mkt,Income inequality (Gini): Market,gini,81,56,TRUE,-Inf,-Inf,Inf,56,1.2470565563691336,1.2850505000978951,0.3318302625909992,-1.2715961421379252,3.7657092548761923,11.021091001999132
full,All scored elections,1,OECD,1970s,Y_debt,Public debt and deficit: Debt / GDP,fiscal,81,81,TRUE,-Inf,-Inf,Inf,81,-7.279123351101527,6.9403135115616745,0.2942620496003837,-20.881887875179117,6.323641172976062,9.435073301540877
full,All scored elections,1,OECD,1970s,Y_deficit,Public debt and deficit: Deficit / GDP,fiscal,81,79,TRUE,-Inf,-Inf,Inf,79,1.7758986827899137,1.5344658442978207,0.24713348182447448,-1.23159910754066,4.783396473120487,13.129520732386366
full,All scored elections,1,OECD,1970s,Y_checks_balances,Executive constraints: Checks & balances,institutions,81,81,TRUE,-Inf,-Inf,Inf,81,0.008592119289094785,0.016907798909922687,0.6113306806129043,-0.024546557632199255,0.041730796210388825,8.321534600912697
full,All scored elections,1,OECD,1970s,Y_jucon,Executive constraints: Judicial constraints,institutions,81,81,TRUE,-Inf,-Inf,Inf,81,0.012836505669018153,0.012206530231411411,0.29297865279861635,-0.011087853960747575,0.03676086529878388,7.665873811409561
full,All scored elections,1,OECD,1970s,Y_legcon,Executive constraints: Legislative constraints,institutions,81,81,TRUE,-Inf,-Inf,Inf,81,-0.003961245064014603,0.02259720342535115,0.8608454658937192,-0.04825094992902798,0.04032845980099878,11.294777926375877
full,All scored elections,1,OECD,1970s,Y_hos_power,Executive power (ET): HOS,exec_power,81,81,TRUE,-Inf,-Inf,Inf,81,-0.01706200220870965,0.011987306841049233,0.15463788525322741,-0.04055669188879675,0.006432687471377447,7.55699042456927
full,All scored elections,1,OECD,1970s,Y_hog_power,Executive power (ET): HOG,exec_power,81,54,TRUE,-Inf,-Inf,Inf,54,-0.004408306766226356,0.005722880751804654,0.44112488667923533,-0.015624946927580981,0.00680833339512827,8.105106836127733
full,All scored elections,1,OECD,1970s,Y_hos_power_vdem,Executive power (V-Dem): HOS (v2ex_hosw),exec_power_alt,81,81,TRUE,-Inf,-Inf,Inf,81,0.01830181615081918,0.01783618558506896,0.30484164608643155,-0.016656465217488443,0.0532600975191268,14.90245714394898
full,All scored elections,1,OECD,1970s,Y_hog_power_vdem,Executive power (V-Dem): HOG (v2ex_hogw),exec_power_alt,81,81,TRUE,-Inf,-Inf,Inf,81,-0.009150908075409792,0.008918092792534667,0.304841646086431,-0.02663004875956397,0.008328232608744386,14.902457143949059
full,All scored elections,1,OECD,1970s,Y_polyarchy,V-Dem high-level democracy indices: Electoral (polyarchy),vdem_high,81,81,TRUE,-Inf,-Inf,Inf,81,0.04821184919457866,0.07691089372380261,0.5307553874074551,-0.10253073252286207,0.1989544309120194,9.88697410122897
full,All scored elections,1,OECD,1970s,Y_libdem,V-Dem high-level democracy indices: Liberal,vdem_high,81,81,TRUE,-Inf,-Inf,Inf,81,0.04633764759788028,0.07126431518142845,0.5155486323791758,-0.09333784354063043,0.186013138736391,10.105528525730907
full,All scored elections,1,OECD,1970s,Y_partipdem,V-Dem high-level democracy indices: Participatory,vdem_high,81,81,TRUE,-Inf,-Inf,Inf,81,0.058342261885320726,0.06473481820637257,0.3674553544935557,-0.06853565034491725,0.1852201741155587,10.117529977644642
full,All scored elections,1,OECD,1970s,Y_delibdem,V-Dem high-level democracy indices: Deliberative,vdem_high,81,81,TRUE,-Inf,-Inf,Inf,81,0.06838969893149544,0.07233344140317154,0.3444147461908382,-0.07338124109655911,0.21016063895954998,9.613559368401836
full,All scored elections,1,OECD,1970s,Y_egaldem,V-Dem high-level democracy indices: Egalitarian,vdem_high,81,81,TRUE,-Inf,-Inf,Inf,81,0.03806092041523201,0.07344149753730041,0.6042851422620222,-0.10588176972856381,0.18200361055902783,9.904173062976064
full,All scored elections,1,OECD,1970s,Y_elecoff,V-Dem mid-level: electoral component: Elected officials,vdem_electoral,81,81,TRUE,-Inf,-Inf,Inf,81,0.01951215942194184,0.03706024232446506,0.5985419421365097,-0.05312458079233662,0.0921488996362203,14.581819224528477
full,All scored elections,1,OECD,1970s,Y_frefair,V-Dem mid-level: electoral component: Clean elections,vdem_electoral,81,81,TRUE,-Inf,-Inf,Inf,81,-0.011319445786651589,0.017511835729153397,0.5180279134392318,-0.04564201311897395,0.023003121545670774,14.3292643752989
full,All scored elections,1,OECD,1970s,Y_frassoc,V-Dem mid-level: electoral component: Association,vdem_electoral,81,81,TRUE,-Inf,-Inf,Inf,81,-0.004758625214225459,0.01949813277359246,0.8071878891778447,-0.042974263216246734,0.033457012787795816,12.4260249142986
full,All scored elections,1,OECD,1970s,Y_suffr,V-Dem mid-level: electoral component: Suffrage,vdem_electoral,81,81,TRUE,-Inf,-Inf,Inf,81,0.1310786105171992,0.1394265594965324,0.3471526510673846,-0.14219242458433523,0.40434964561873366,12.016846384660894
full,All scored elections,1,OECD,1970s,Y_freexp,V-Dem mid-level: electoral component: Expression & alt. info,vdem_electoral,81,81,TRUE,-Inf,-Inf,Inf,81,0.010482266175728158,0.01421515686893079,0.46087872915865213,-0.017378929321963343,0.03834346167341966,7.8980245558299425
full,All scored elections,1,OECD,1970s,Y_cl_rol,V-Dem mid-level: liberal component (see also Executive constraints),vdem_liberal,81,81,TRUE,-Inf,-Inf,Inf,81,0.0034601682219881427,0.011365461814610598,0.7607882051054359,-0.01881572760231387,0.025736064046290155,8.365120549421588
full,All scored elections,1,OECD,1970s,Y_cspart,V-Dem mid-level: participatory component: Civil society,vdem_particip,81,81,TRUE,-Inf,-Inf,Inf,81,0.004050571524866626,0.018817687981774894,0.8295697508222503,-0.03283141919172437,0.040932562241457623,8.998204831726976
full,All scored elections,1,OECD,1970s,Y_dd,V-Dem mid-level: participatory component: Direct democracy,vdem_particip,81,81,TRUE,-Inf,-Inf,Inf,81,0.03209523019864553,0.03652902968207794,0.3796059502084602,-0.03950035236842182,0.10369081276571289,10.74760721065482
full,All scored elections,1,OECD,1970s,Y_locelec,V-Dem mid-level: participatory component: Local elections,vdem_particip,81,81,TRUE,-Inf,-Inf,Inf,81,0.02614923088507229,0.03510833842357298,0.4563833279639996,-0.042661847982174456,0.09496030975231903,15.869164267077343
full,All scored elections,1,OECD,1970s,Y_regelec,V-Dem mid-level: participatory component: Regional elections,vdem_particip,81,81,TRUE,-Inf,-Inf,Inf,81,-0.029560597034970913,0.02501091827457545,0.23724232412495694,-0.07858109607341345,0.019459902003471623,18.060835196183866
full,All scored elections,1,OECD,1970s,Y_delib,V-Dem mid-level: deliberative and egalitarian components: Deliberation,vdem_egal_delib,81,81,TRUE,-Inf,-Inf,Inf,81,0.018985615365700963,0.021942627224330043,0.3869076605476844,-0.024021143720174002,0.06199237445157593,10.108726357365285
full,All scored elections,1,OECD,1970s,Y_eqprotec,V-Dem mid-level: deliberative and egalitarian components: Equal protection,vdem_egal_delib,81,81,TRUE,-Inf,-Inf,Inf,81,-0.029043708389804183,0.03338172348173995,0.3842740646248572,-0.09447068415588947,0.03638326737628111,9.348791403445688
full,All scored elections,1,OECD,1970s,Y_eqaccess,V-Dem mid-level: deliberative and egalitarian components: Equal access,vdem_egal_delib,81,81,TRUE,-Inf,-Inf,Inf,81,0.029931085018237276,0.032952529457468474,0.3637148936198345,-0.03465468591789612,0.09451685595437068,9.481808538988663
full,All scored elections,1,OECD,1970s,Y_eqdr,V-Dem mid-level: deliberative and egalitarian components: Equal distribution,vdem_egal_delib,81,81,TRUE,-Inf,-Inf,Inf,81,0.0031298800443709048,0.009782080547936852,0.7489982229129184,-0.01604264552345516,0.022302405612196968,8.228159275827371
full,All scored elections,1,OECD,1980s,Y_gdp_growth,GDP per capita growth: PWT,growth,74,74,TRUE,-Inf,-Inf,Inf,74,-0.03081017382576133,0.040696365461677354,0.4490053290242004,-0.11057358443232869,0.04895323678080603,8.2828079317262
full,All scored elections,1,OECD,1980s,Y_gdp_growth_wb,GDP per capita growth: World Bank,growth,74,74,TRUE,-Inf,-Inf,Inf,74,-0.03382394203728714,0.04066896418268509,0.40558434619055717,-0.11353364712389932,0.04588576304932504,8.304296778098642
full,All scored elections,1,OECD,1980s,Y_gdp_growth_imf,GDP per capita growth: IMF WEO,growth,74,70,TRUE,-Inf,-Inf,Inf,70,-0.0382522191980277,0.04359184354765898,0.3802104298891601,-0.123690662571144,0.0471862241750886,8.031527620177341
full,All scored elections,1,OECD,1980s,Y_inflation,Inflation,inflation,74,74,TRUE,-Inf,-Inf,Inf,74,-0.032032397919624686,0.17677461850103543,0.8562068780493561,-0.37850428356246196,0.31443948772321256,6.875967549304657
full,All scored elections,1,OECD,1980s,Y_unemployment,Unemployment,unemployment,74,0,FALSE,-Inf,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
full,All scored elections,1,OECD,1980s,Y_trade_pct_gdp,Trade openness,trade,74,74,TRUE,-Inf,-Inf,Inf,74,-23.60381114858598,26.730931925202942,0.3772282217877275,-75.99547499517566,28.7878526980037,6.190439667192064
full,All scored elections,1,OECD,1980s,Y_top10_share,Top-10% income share,top10,74,74,TRUE,-Inf,-Inf,Inf,74,-1.0277740281534231,0.9333729386512474,0.27083584666745214,-2.857151372054181,0.8016033157473346,8.281247432702108
full,All scored elections,1,OECD,1980s,Y_gini_disp,Income inequality (Gini): Disposable,gini,74,67,TRUE,-Inf,-Inf,Inf,67,-1.3506054482805148,1.7534270344375278,0.44114204596578294,-4.787259285296941,2.086048388735912,6.376331331535523
full,All scored elections,1,OECD,1980s,Y_gini_mkt,Income inequality (Gini): Market,gini,74,67,TRUE,-Inf,-Inf,Inf,67,-0.2041077670565067,0.3584547101880577,0.5690777985598399,-0.9066660891138423,0.4984505550008289,15.243142109868007
full,All scored elections,1,OECD,1980s,Y_debt,Public debt and deficit: Debt / GDP,fiscal,74,74,TRUE,-Inf,-Inf,Inf,74,-5.5289167561838815,7.794436241816771,0.4781126080216784,-20.805731069938478,9.747897557570717,10.430475509967277
full,All scored elections,1,OECD,1980s,Y_deficit,Public debt and deficit: Deficit / GDP,fiscal,74,72,TRUE,-Inf,-Inf,Inf,72,2.6262832382777015,2.633548154641461,0.3186473520294783,-2.5353762963714814,7.787942772926884,7.663138318714399
full,All scored elections,1,OECD,1980s,Y_checks_balances,Executive constraints: Checks & balances,institutions,74,74,TRUE,-Inf,-Inf,Inf,74,-0.006578082541777944,0.015111988137128529,0.6633526520773267,-0.036197035025346394,0.023040869941790505,10.325406499371192
full,All scored elections,1,OECD,1980s,Y_jucon,Executive constraints: Judicial constraints,institutions,74,74,TRUE,-Inf,-Inf,Inf,74,0.0074427197936232465,0.009284702040299391,0.42277798104350683,-0.010754961812549112,0.025640401399795607,13.939081778463615
