subset,subset_label,window,treatment,outcome,outcome_label,panel,n_elections,first_stage_coef,first_stage_se,first_stage_pval,n_first_stage,n_outcome,rd_estimate,rd_se,rd_pval,rd_ci_lo,rd_ci_hi,bandwidth,late_estimate,late_se,late_pval,late_ci_lo,late_ci_hi
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_gdp_growth,GDP per capita growth: PWT,growth,822,-0.018454812487414717,0.024771007122180475,0.45626166076516816,822,800,-0.01736576265200117,0.013039969135495875,0.18294780424302834,-0.04292363251708699,0.00819210721308464,16.702808422378098,0.7677890338288185,1.0008760613349619,0.4430119598637358,-1.1938919993760082,2.7294700670336454
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_gdp_growth_wb,GDP per capita growth: World Bank,growth,822,-0.018454812487414717,0.024771007122180475,0.45626166076516816,822,809,-0.020185007282502533,0.012592510330267866,0.10894844896278924,-0.044865874004776124,0.004495859439771058,14.704665771227324,0.9533030882466856,1.1907429363402042,0.42336602608455326,-1.3805101818255845,3.2871163583189555
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_gdp_growth_imf,GDP per capita growth: IMF WEO,growth,822,-0.018454812487414717,0.024771007122180475,0.45626166076516816,822,637,-0.01052890156094425,0.012181726931642699,0.38741251678710914,-0.034404647616465556,0.013346844494577053,19.638541796321697,1.3233480370615844,2.7485727909869944,0.6301843848526654,-4.063755642159661,6.710451716282829
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_inflation,Inflation,inflation,822,-0.018454812487414717,0.024771007122180475,0.45626166076516816,822,770,0.005302586399047099,0.17825917244097617,0.9762692270072661,-0.344078971499181,0.35468414429727524,17.925604486044353,0.6936622602177673,7.962891103725596,0.9305825977893399,-14.913317515898795,16.30064203633433
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_unemployment,Unemployment,unemployment,822,-0.018454812487414717,0.024771007122180475,0.45626166076516816,822,555,0.07315632548470449,0.41188348154008786,0.8590260282869622,-0.7341204641608357,0.8804331151302447,15.503225624037077,2.719316165968533,14.14036496839432,0.8475003507242196,-24.995289900336182,30.433922232273247
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_trade_pct_gdp,Trade openness,trade,822,-0.018454812487414717,0.024771007122180475,0.45626166076516816,822,715,1.7354445527964517,1.8327419801475278,0.34368385092869913,-1.856663721247324,5.327552826840227,19.806171782069573,-224.18465634753517,639.1274010290932,0.7257633261678524,-1476.8513438972452,1028.482031202175
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_top10_share,Top-10% income share,top10,822,-0.018454812487414717,0.024771007122180475,0.45626166076516816,822,750,0.039413723107944235,0.3563477189786798,0.9119298413165179,-0.6590149720632682,0.7378424182791566,26.964894688252514,-0.4121143461880492,21.22827684822946,0.9845112712996006,-42.018772422563224,41.19454373018713
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_gini_disp,Income inequality (Gini): Disposable,gini,822,-0.018454812487414717,0.024771007122180475,0.45626166076516816,822,660,-0.016008746169858756,0.18331332472193332,0.9304092366456441,-0.37529626051114384,0.34327876817142633,18.51390141408989,0.0771181020018814,7.779316802909013,0.9920905219933556,-15.170062656027056,15.324298860030819
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_gini_mkt,Income inequality (Gini): Market,gini,822,-0.018454812487414717,0.024771007122180475,0.45626166076516816,822,660,-0.08070669846134426,0.1851255977329891,0.6628683268562658,-0.44354620263445266,0.28213280571176413,19.838560192114898,3.90552965215908,10.010609572064174,0.6964337325989602,-15.714904572378616,23.52596387669678
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_debt,Public debt and deficit: Debt / GDP,fiscal,822,-0.018454812487414717,0.024771007122180475,0.45626166076516816,822,791,0.2905644452763997,4.459012456700977,0.9480438958511175,-8.448939376472978,9.03006826702578,15.248539625672745,-20.82463979494588,327.30364947749274,0.9492689585168891,-662.3280047793535,620.6787251894618
