election_id,country_name,country_text_id,election_year,election_type,running_var,illiberal_score,other_score,backsliding_Nyr,Y_gdp_growth,Y_polyarchy,ap_name,ap_abbr,ap_score,ap_share,ap_cand,op_name,op_abbr,op_score,op_share,op_cand,group,side,in_popucut,label,op_label
parl_1408,Eq. Guinea,GNQ,1993,parliamentary,77.5,0.999,0.172,0,1.1922219373708014,0.017999999999999988,Democratic Party of Equatorial Guinea,PDGE,0.999,85,NA,Convergence for Social Democracy,CPDS,0.172,7.5,NA,Non-OECD,won,TRUE,Democratic Party of Equatorial Guinea (PDGE),Convergence for Social Democracy
parl_1409,Eq. Guinea,GNQ,1999,parliamentary,88.75,0.999,0.188,0,1.0375289350596368,0.0040000000000000036,Democratic Party of Equatorial Guinea,PDGE,0.999,93.75,NA,Popular Union of Equatorial Guinea,UP,0.188,5,NA,Non-OECD,won,TRUE,Democratic Party of Equatorial Guinea (PDGE),Popular Union of Equatorial Guinea
parl_1410,Eq. Guinea,GNQ,2004,parliamentary,96,0.999,0.172,0,0.37953211302743206,-0.0050000000000000044,Democratic Party of Equatorial Guinea,PDGE,0.999,98,NA,Convergence for Social Democracy,CPDS,0.172,2,NA,Non-OECD,won,TRUE,Democratic Party of Equatorial Guinea (PDGE),Convergence for Social Democracy
parl_1411,Eq. Guinea,GNQ,2008,parliamentary,98,0.999,0.172,0,-0.07737062606170753,-0.0050000000000000044,Democratic Party of Equatorial Guinea,PDGE,0.999,99,NA,Convergence for Social Democracy,CPDS,0.172,1,NA,Non-OECD,won,TRUE,Democratic Party of Equatorial Guinea (PDGE),Convergence for Social Democracy
parl_1412,Eq. Guinea,GNQ,2013,parliamentary,98,0.999,0.172,0,-0.5715009835549498,0.0010000000000000009,Democratic Party of Equatorial Guinea,PDGE,0.999,99,NA,Convergence for Social Democracy,CPDS,0.172,1,NA,Non-OECD,won,TRUE,Democratic Party of Equatorial Guinea (PDGE),Convergence for Social Democracy
parl_1413,Eq. Guinea,GNQ,2017,parliamentary,98,0.999,0.561,0,-0.36200823683627803,-0.007000000000000006,Democratic Party of Equatorial Guinea,PDGE,0.999,99,NA,Citizens for Innovation,CI,0.561,1,NA,Non-OECD,won,TRUE,Democratic Party of Equatorial Guinea (PDGE),Citizens for Innovation
parl_2117,Indonesia,IDN,1987,parliamentary,47.599999999999994,0.999,0.878,0,0.3221788676459312,0.0020000000000000018,Party of the Functional Groups,Golkar,0.999,59.8,NA,United Development Party,PPP,0.878,12.2,NA,Non-OECD,won,FALSE,Party of the Functional Groups (Golkar),United Development Party
parl_2118,Indonesia,IDN,1992,parliamentary,43.99999999999999,0.999,0.834,0,0.31180746222608313,0.0050000000000000044,Party of the Functional Groups,Golkar,0.999,56.39999999999999,NA,United Development Party,PPP,0.834,12.4,NA,Non-OECD,won,FALSE,Party of the Functional Groups (Golkar),United Development Party
parl_2119,Indonesia,IDN,1997,parliamentary,47.2,0.999,0.827,0,-0.04356707495143297,0.47300000000000003,Party of the Functional Groups,Golkar,0.999,65,NA,United Development Party,PPP,0.827,17.8,NA,Non-OECD,won,FALSE,Party of the Functional Groups (Golkar),United Development Party
parl_2426,"Korea, Republic of",KOR,1973,parliamentary,9.589041095890408,0.999,0.373,0,0.5601843411260159,-0.02200000000000002,Democratic Republican Party,DRP,0.999,33.33333333333333,NA,New Democratic Party,NDP,0.373,23.74429223744292,NA,OECD,won,TRUE,Democratic Republican Party (DRP),New Democratic Party
parl_2427,"Korea, Republic of",KOR,1978,parliamentary,3.0303030303030347,0.999,0.377,0,0.37021990929892823,0.019000000000000017,Democratic Republican Party,DRP,0.999,29.43722943722944,NA,New Democratic Party,NDP,0.377,26.406926406926406,NA,OECD,won,TRUE,Democratic Republican Party (DRP),New Democratic Party
parl_2428,"Korea, Republic of",KOR,1981,parliamentary,25.36231884057971,0.999,0.535,0,0.47575722212816984,0.11299999999999999,Democratic Justice Party,DJP,0.999,54.710144927536234,NA,Democratic Korean Party,DKP,0.535,29.347826086956523,NA,OECD,won,TRUE,Democratic Justice Party (DJP),Democratic Korean Party
pres_551,Eq. Guinea,GNQ,2002,presidential,94.89,0.999,0.172,0,0.48249489306171967,-0.0040000000000000036,Democratic Party of Equatorial Guinea,PDGE,0.999,97.06,Teodoro Obiang Nguema,Convergence for Social Democracy,CPDS,0.172,2.17,Celestino Bonifacio Bacale,Non-OECD,won,TRUE,Democratic Party of Equatorial Guinea (PDGE),Convergence for Social Democracy
pres_552,Eq. Guinea,GNQ,2009,presidential,92.19999999999999,0.999,0.172,0,-0.2303518859083944,0,Democratic Party of Equatorial Guinea,PDGE,0.999,95.77,Teodoro Obiang Nguema,Convergence for Social Democracy,CPDS,0.172,3.5700000000000003,Placido Mico Abogo,Non-OECD,won,TRUE,Democratic Party of Equatorial Guinea (PDGE),Convergence for Social Democracy
pres_869,"Korea, Republic of",KOR,1981,presidential,82.56,0.999,0.535,0,0.47575722212816984,0.11299999999999999,Democratic Justice Party,DJP,0.999,90.23,Chun Doo-hwan,Democratic Korean Party,DKP,0.535,7.67,Yu Chi-song,OECD,won,TRUE,Democratic Justice Party (DJP),Democratic Korean Party
parl_2115,Indonesia,IDN,1977,parliamentary,28.9,0.998,0.835,0,0.2694520702537524,-0.024999999999999994,Party of the Functional Groups,Golkar,0.998,50.4,NA,United Development Party,PPP,0.835,21.5,NA,Non-OECD,won,FALSE,Party of the Functional Groups (Golkar),United Development Party
parl_2116,Indonesia,IDN,1982,parliamentary,32.2,0.998,0.834,0,0.1742034170065221,-0.0010000000000000009,Party of the Functional Groups,Golkar,0.998,52.6,NA,United Development Party,PPP,0.834,20.4,NA,Non-OECD,won,FALSE,Party of the Functional Groups (Golkar),United Development Party
parl_3493,Philippines,PHL,1984,parliamentary,26.000000000000007,0.998,0.326,0,-0.10225381600466932,0.37500000000000006,New Society Movement,KBL,0.998,56.00000000000001,NA,United Nationalist Democratic Organization,UNIDO,0.326,30,NA,Non-OECD,won,TRUE,New Society Movement (KBL),United Nationalist Democratic Organization
parl_39,Albania,ALB,1991,parliamentary,37.60000000000001,0.998,0.382,0,-0.02814514097702059,0.2,Party of Labour / Albanian Workers' Party,PPSH,0.998,67.60000000000001,NA,Democratic Party of Albania,PDS,0.382,30,NA,Non-OECD,won,TRUE,Party of Labour / Albanian Workers' Party (PPSH),Democratic Party of Albania
parl_4354,Thailand,THA,2019,parliamentary,-4,0.998,0.085,0,NA,0.23999999999999996,People's State Power Party,PPP,0.998,23.200000000000003,NA,Pheu Thai Party,PTP,0.085,27.200000000000003,NA,Non-OECD,lost,TRUE,People's State Power Party (PPP),Pheu Thai Party
parl_4454,Turkey,TUR,2015,parliamentary,22.909090909090914,0.998,0.309,0,0.1221213672946142,-0.134,Justice and Development Party,AKP,0.998,46.909090909090914,NA,Republican Peoples Party,CHP,0.309,24,NA,OECD,won,TRUE,Justice and Development Party (AKP),Republican Peoples Party
parl_4455,Turkey,TUR,2015,parliamentary,33.27272727272728,0.998,0.309,0,0.1221213672946142,-0.134,Justice and Development Party,AKP,0.998,57.63636363636364,NA,Republican Peoples Party,CHP,0.309,24.363636363636363,NA,OECD,won,TRUE,Justice and Development Party (AKP),Republican Peoples Party
parl_4898,Zimbabwe,ZWE,2008,parliamentary,-0.4761904761904745,0.998,0.408,0,0.8144001474354443,0.033999999999999975,Zimbabwe African National Union – Patriotic Front,ZANU-PF,0.998,47.14285714285714,NA,Movement for Democratic Change – Tsvangirai,MDC-T,0.408,47.61904761904761,NA,Non-OECD,lost,TRUE,Zimbabwe African National Union – Patriotic Front (ZANU-PF),Movement for Democratic Change – Tsvangirai
pres_1220,Philippines,PHL,1986,presidential,7.5,0.998,0.326,0,0.07437125146543089,0.38299999999999995,New Society Movement,KBL,0.998,53.6,Ferdinand Marcos,United Nationalist Democratic Organization,UNIDO,0.326,46.1,Corazon C. Aquino,Non-OECD,won,TRUE,New Society Movement (KBL),United Nationalist Democratic Organization
pres_1565,Venezuela,VEN,2018,presidential,46.957034302637,0.998,0.222,0,-0.6963982648644524,-0.027000000000000024,United Socialist Party of Venezuela,PSUV,0.998,67.90893419123523,Nicolás MADURO MOROS,Political Electoral Independent Organization Committee / Social Christian Party / Green Party,COPEI,0.222,20.951899888598234,Henri José Falcón Fuentes,Non-OECD,won,TRUE,United Socialist Party of Venezuela (PSUV),Political Electoral Independent Organization Committee / Social Christian Party / Green Party
pres_1586,Zimbabwe,ZWE,2008,presidential,80.44702465395218,0.998,0.408,0,0.8144001474354443,0.033999999999999975,Zimbabwe African National Union – Patriotic Front,ZANU-PF,0.998,90.22351232697609,Robert Gabriel Mugabe,Movement for Democratic Change – Tsvangirai,MDC-T,0.408,9.776487673023901,Morgan Tsvangirai,Non-OECD,won,TRUE,Zimbabwe African National Union – Patriotic Front (ZANU-PF),Movement for Democratic Change – Tsvangirai
parl_4896,Zimbabwe,ZWE,2000,parliamentary,3.3333333333333357,0.997,0.219,0,-0.3622216388325654,-0.05199999999999999,Zimbabwe African National Union – Patriotic Front,ZANU-PF,0.997,41.333333333333336,NA,Movement for Democratic Change,MDC,0.219,38,NA,Non-OECD,won,TRUE,Zimbabwe African National Union – Patriotic Front (ZANU-PF),Movement for Democratic Change
parl_4897,Zimbabwe,ZWE,2005,parliamentary,24.666666666666668,0.997,0.217,0,0.4094385839877308,0.006000000000000005,Zimbabwe African National Union – Patriotic Front,ZANU-PF,0.997,52,NA,Movement for Democratic Change,MDC,0.217,27.333333333333332,NA,Non-OECD,won,TRUE,Zimbabwe African National Union – Patriotic Front (ZANU-PF),Movement for Democratic Change
pres_1585,Zimbabwe,ZWE,2002,presidential,14,0.997,0.219,0,-0.35469320264406257,-0.01200000000000001,Zimbabwe African National Union – Patriotic Front,ZANU-PF,0.997,56,Robert Mugabe,Movement for Democratic Change,MDC,0.219,42,Morgan Tsvangirai,Non-OECD,won,TRUE,Zimbabwe African National Union – Patriotic Front (ZANU-PF),Movement for Democratic Change
parl_1394,El Salvador,SLV,1991,parliamentary,15.476190476190478,0.996,0.353,0,0.1670394463468039,0.279,Nationalist Republican Alliance,ARENA,0.996,46.42857142857143,NA,Christian Democratic Party,PDC,0.353,30.952380952380953,NA,Non-OECD,won,TRUE,Nationalist Republican Alliance (ARENA),Christian Democratic Party
parl_2144,Iran,IRN,2016,parliamentary,-12.068965517241377,0.996,0.581,0,0.07257570242810196,-0.027999999999999997,Principlists Grand Coalition,PGC,0.996,28.965517241379313,NA,Pervasive Coalition of Reformists: The Second Step,PCR,0.581,41.03448275862069,NA,Non-OECD,lost,TRUE,Principlists Grand Coalition (PGC),Pervasive Coalition of Reformists: The Second Step
parl_2429,"Korea, Republic of",KOR,1985,parliamentary,29.34782608695653,0.996,0.26,0,0.5034796568188558,0.402,Democratic Justice Party,DJP,0.996,53.62318840579711,NA,New Korea Democratic Party,SM,0.26,24.27536231884058,NA,OECD,won,TRUE,Democratic Justice Party (DJP),New Korea Democratic Party
