antipluralism_decile,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
D1,0.13725490196078433,0.11300639658848614,0.051923076923076926,0.04580152671755725,0.05813953488372093,0.07647058823529412,0.024299065420560748,0.026217228464419477,0.011049723756906077,0.0055147058823529415
D2,0.07939508506616257,0.09148936170212765,0.054901960784313725,0.10224948875255624,0.04271844660194175,0.022727272727272728,0.04054054054054054,0.0547945205479452,0.020793950850661626,0.024761904761904763
D3,0.07034220532319392,0.01,0.09278350515463918,0.031067961165048542,0.08401639344262295,0.043137254901960784,0.06626506024096386,0.055666003976143144,0.0410958904109589,0.027131782945736434
D4,0.021505376344086023,0.017892644135188866,0.048828125,0.06534653465346535,0.10973084886128365,0.04054054054054054,0.05283757338551859,0.04669260700389105,0.0823293172690763,0.04678362573099415
D5,0.028985507246376812,0.038696537678207736,0.026871401151631478,0.05928853754940711,0.05533596837944664,0.04678362573099415,0.040776699029126215,0.05928853754940711,0.0697211155378486,0.10309278350515463
D6,0.016042780748663103,0.013861386138613862,0.017045454545454544,0.028680688336520075,0.05304518664047151,0.13473684210526315,0.05697445972495088,0.08249496981891348,0.07157057654075547,0.06336633663366337
D7,0.04007285974499089,0.04480651731160896,0.0611439842209073,0.052734375,0.030710172744721688,0.018867924528301886,0.07157057654075547,0.078,0.07784431137724551,0.054901960784313725
D8,0.038112522686025406,0.04048582995951417,0.04054054054054054,0.04448742746615087,0.03861003861003861,0.05048543689320388,0.0546875,0.058823529411764705,0.082,0.0823293172690763
D9,0.03642987249544627,0.080338266384778,0.05928853754940711,0.03667953667953668,0.02099236641221374,0.05697445972495088,0.09146341463414634,0.03468208092485549,0.03861003861003861,0.07630522088353414
D10,0.10038610038610038,0.05567010309278351,0.07615230460921844,0.06324110671936758,0.0367504835589942,0.044573643410852716,0.03065134099616858,0.03262955854126679,0.038535645472061654,0.048828125
