antipluralism_decile,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
D1,0.208955223880597,0.08411214953271028,0.07216494845360824,0.045454545454545456,0.04838709677419355,0.10909090909090909,0.045871559633027525,0.008620689655172414,0.008620689655172414,0.017543859649122806
D2,0.11188811188811189,0.08653846153846154,0.041237113402061855,0.10655737704918032,0.040983606557377046,0.02586206896551724,0.027777777777777776,0.09615384615384616,0.03636363636363636,0.0660377358490566
D3,0.09734513274336283,0.012987012987012988,0.047619047619047616,0.05263157894736842,0.06976744186046512,0.06329113924050633,0.05555555555555555,0.025974025974025976,0.01282051282051282,0.012987012987012988
D4,0.0072992700729927005,0.022222222222222223,0.03896103896103896,0.09615384615384616,0.09278350515463918,0.020833333333333332,0.022727272727272728,0.03333333333333333,0.19230769230769232,0.06976744186046512
D5,0.04195804195804196,0.061855670103092786,0,0.07758620689655173,0.11428571428571428,0.02830188679245283,0.020202020202020204,0.04,0.10638297872340426,0.13186813186813187
D6,0.016,0.0125,0,0.03,0.07954545454545454,0.17567567567567569,0.05333333333333334,0.07894736842105263,0.025,0.05194805194805195
D7,0.06837606837606838,0.09722222222222222,0.06349206349206349,0.041237113402061855,0.02197802197802198,0,0.06944444444444445,0.05263157894736842,0.05263157894736842,0.025974025974025976
D8,0.02631578947368421,0,0.03508771929824561,0.0449438202247191,0.036585365853658534,0.02666666666666667,0.09523809523809523,0.1076923076923077,0.043478260869565216,0.028985507246376812
D9,0.057692307692307696,0.015873015873015872,0.0196078431372549,0.04878048780487805,0.012987012987012988,0.04477611940298507,0.08771929824561403,0.031746031746031744,0,0.03225806451612903
D10,0.039603960396039604,0.05357142857142857,0.06818181818181818,0.038461538461538464,0.028169014084507043,0.031746031746031744,0.017857142857142856,0.01694915254237288,0,0.017241379310344827
