v2xpa_antiplural_bin,0.0-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1.0
0.0-0.1,0.1782178217821782,0.17340425531914894,0.10492505353319058,0.09750812567713976,0.04472049689440994,0.05037783375314862,0.019801980198019802,0.026281208935611037,0.006720430107526882,0
0.1-0.2,0.041666666666666664,0.04864864864864865,0.13526570048309178,0.04732824427480916,0.06198347107438017,0.0389344262295082,0.07809110629067245,0.02252252252252252,0.024271844660194174,0.011299435028248588
0.2-0.3,0.020933977455716585,0.059379217273954114,0.07692307692307693,0.06595092024539877,0.050200803212851405,0.05737704918032787,0.04979253112033195,0.06928406466512702,0.03855421686746988,0.05763688760806916
0.3-0.4,0.03374777975133215,0.03385049365303244,0.05582137161084529,0.09540034071550256,0.028384279475982533,0.05454545454545454,0.0365296803652968,0.059278350515463915,0.09221902017291066,0
0.4-0.5,0.021052631578947368,0.03385049365303244,0.034375,0.09726962457337884,0.05605381165919283,0.06666666666666667,0.07838479809976247,0.05384615384615385,0.0326975476839237,0.022727272727272728
0.5-0.6,0.025477707006369428,0.041050903119868636,0.034926470588235295,0.03619047619047619,0.036211699164345405,0.04285714285714286,0.04411764705882353,0.05405405405405406,0.01818181818181818,0.018867924528301886
0.6-0.7,0.03225806451612903,0.04081632653061224,0.03315881326352531,0.03804347826086957,0.038860103626943004,0.05630026809651475,0.029490616621983913,0.04923076923076923,0.05460750853242321,0.04700854700854701
0.7-0.8,0.025925925925925925,0.05223880597014925,0.047933884297520664,0.031879194630872486,0.04481132075471698,0.0405727923627685,0.10077519379844961,0.058011049723756904,0.05089820359281437,0.014134275618374558
0.8-0.9,0.040697674418604654,0.08006279434850863,0.03872053872053872,0.04,0.10362694300518134,0.02696078431372549,0.009876543209876543,0.019498607242339833,0.037267080745341616,0.018867924528301886
0.9-1.0,0.11247803163444639,0.08737864077669903,0.05943536404160475,0.06441717791411043,0.025540275049115914,0.03621730382293763,0.03696098562628337,0.010940919037199124,0.028708133971291867,0.05172413793103448
