v2xpa_antiplural_bin,0.0-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1.0
0.0-0.1,0.24378109452736318,0.15789473684210525,0.11607142857142858,0.10377358490566038,0.028089887640449437,0.0670391061452514,0.0053475935828877,0.06179775280898876,0.011834319526627219,0
0.1-0.2,0.06818181818181818,0.037383177570093455,0.128,0.08695652173913043,0.04225352112676056,0.012345679012345678,0.06756756756756757,0.012658227848101266,0,0
0.2-0.3,0.012903225806451613,0.049586776859504134,0.1056338028169014,0.06818181818181818,0.011235955056179775,0.020833333333333332,0.13095238095238096,0.07865168539325842,0.02631578947368421,0.14925373134328357
0.3-0.4,0.057971014492753624,0.03571428571428571,0.10606060606060606,0.0743801652892562,0.025974025974025976,0.011627906976744186,0.07692307692307693,0.0625,0.08064516129032258,0
0.4-0.5,0.008,0.043478260869565216,0.03278688524590164,0.12244897959183673,0.05357142857142857,0.08064516129032258,0.03225806451612903,0.031746031746031744,0.021739130434782608,0
0.5-0.6,0.0660377358490566,0.024691358024691357,0.018018018018018018,0.021052631578947368,0.022222222222222223,0.018867924528301886,0.0625,0.04,0,0.03125
0.6-0.7,0.017094017094017096,0.07228915662650602,0.043859649122807015,0.03,0.04,0.05263157894736842,0.03636363636363636,0.05454545454545454,0.02564102564102564,0
0.7-0.8,0.01904761904761905,0,0.01904761904761905,0.02247191011235955,0.08108108108108109,0.11627906976744186,0,0,0,0.038461538461538464
0.8-0.9,0.05555555555555555,0.024390243902439025,0.045871559633027525,0.031578947368421054,0.09302325581395349,0.03773584905660377,0,0,0,0
0.9-1.0,0.056074766355140186,0.05063291139240506,0.02727272727272727,0.043010752688172046,0.022222222222222223,0.018867924528301886,0,0,0.0625,0
