v2xpa_antiplural_bin,0.0-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1.0
0.0-0.1,0.2255772646536412,0.2048780487804878,0.10948905109489052,0.09233176838810642,0.04482758620689655,0.06329113924050633,0.005338078291814947,0.027881040892193308,0.007722007722007722,0
0.1-0.2,0.0316622691292876,0.0498812351543943,0.1525,0.064,0.07342657342657342,0.028469750889679714,0.06827309236947791,0.01195219123505976,0.013636363636363636,0.004878048780487805
0.2-0.3,0.010638297872340425,0.04106280193236715,0.09223300970873786,0.06593406593406594,0.06474820143884892,0.025830258302583026,0.06694560669456066,0.05194805194805195,0.0392156862745098,0.0893854748603352
0.3-0.4,0.03899721448467967,0.03667481662591687,0.07785888077858881,0.09482758620689655,0.028469750889679714,0.04230769230769231,0.05531914893617021,0.05829596412556054,0.07329842931937172,0
0.4-0.5,0.01791044776119403,0.05093833780160858,0.04050632911392405,0.08385093167701864,0.044715447154471545,0.07174887892376682,0.06403940886699508,0.046153846153846156,0.01764705882352941,0.0064516129032258064
0.5-0.6,0.034482758620689655,0.038461538461538464,0.03064066852367688,0.04054054054054054,0.038461538461538464,0.020618556701030927,0.06707317073170732,0.05161290322580645,0.007633587786259542,0.017699115044247787
0.6-0.7,0.019543973941368076,0.05813953488372093,0.02406417112299465,0.03215434083601286,0.045662100456621,0.06030150753768844,0.03867403314917127,0.047619047619047616,0.03571428571428571,0.04918032786885246
0.7-0.8,0.039735099337748346,0.022408963585434174,0.04918032786885246,0.025477707006369428,0.0502283105022831,0.05472636815920398,0.05,0.06626506024096386,0.03546099290780142,0.0078125
0.8-0.9,0.030612244897959183,0.04424778761061947,0.03899721448467967,0.03666666666666667,0.08955223880597014,0.025510204081632654,0.005649717514124294,0.018404907975460124,0.038461538461538464,0.017241379310344827
0.9-1.0,0.066006600660066,0.047619047619047616,0.042440318302387266,0.06430868167202572,0.021367521367521368,0.04245283018867924,0.025906735751295335,0.005405405405405406,0.026490066225165563,0.045454545454545456
