instrument,Anti-pluralism,Populism,GAL-TAN,Economic left,Anti-elitism,stat
Anti-pluralism,100,40.1,71.7,38.3,39.9,agree_pct
Populism,40.1,100,47.2,66.6,94.1,agree_pct
GAL-TAN,71.7,47.2,100,32.1,47.2,agree_pct
Economic left,38.3,66.6,32.1,100,64.8,agree_pct
Anti-elitism,39.9,94.1,47.2,64.8,100,agree_pct
Anti-pluralism,1347,1347,53,1343,1347,n_elections
Populism,1347,1347,53,1343,1347,n_elections
GAL-TAN,53,53,53,53,53,n_elections
Economic left,1343,1343,53,1343,1343,n_elections
Anti-elitism,1347,1347,53,1343,1347,n_elections
