instrument,Anti-pluralism,Populism,GAL-TAN,Economic left,Anti-elitism,stat
Anti-pluralism,0.9999999999999999,0.11482261468431146,0.46904492583252844,-0.06953116234902111,0.05780135593367204,pearson
Populism,0.11482261468431146,1,0.24599821002187083,0.3919112157129906,0.9656450276487466,pearson
GAL-TAN,0.46904492583252844,0.24599821002187083,0.9999999999999998,-0.5153197393997705,0.2428466126041655,pearson
Economic left,-0.06953116234902111,0.3919112157129906,-0.5153197393997705,0.9999999999999999,0.36309516749518733,pearson
Anti-elitism,0.05780135593367204,0.9656450276487466,0.2428466126041655,0.36309516749518733,0.9999999999999998,pearson
Anti-pluralism,1,0.14383127698862982,0.3989452909920633,-0.07629515422770743,0.07678159857295669,spearman
Populism,0.14383127698862982,1,0.12548873854520182,0.392373846569446,0.9722433735691568,spearman
GAL-TAN,0.3989452909920633,0.12548873854520182,1,-0.47594609796059095,0.08914250317313503,spearman
Economic left,-0.07629515422770743,0.392373846569446,-0.47594609796059095,1,0.36754376474574774,spearman
Anti-elitism,0.07678159857295669,0.9722433735691568,0.08914250317313503,0.36754376474574774,0.9999999999999998,spearman
Anti-pluralism,2694,2694,108,2690,2694,n_parties
Populism,2694,2694,108,2690,2694,n_parties
GAL-TAN,108,108,108,108,108,n_parties
Economic left,2690,2690,108,2690,2690,n_parties
Anti-elitism,2694,2694,108,2690,2694,n_parties
