group,decade,cell,n_cell,n_usable,fitted,form,score,score_label,n,est,se,pval,ci_lo,ci_hi,bw
OECD,1970s,OECD 1970s,81,81,TRUE,binary,v2xpa_popul,Populism (v2xpa_popul),81,0.094192553592710615,0.5030476527838638,0.8514694854191076,-0.8917627283710723,1.0801478355564935,12.357665126162491
OECD,1970s,OECD 1970s,81,81,TRUE,binary,v2pariglef_neg,Economic left (negated v2pariglef),81,-0.6511253627579598,0.38465361626841454,0.09050160128473607,-1.4050325971671422,0.10278187165122266,9.90952750802733
OECD,1970s,OECD 1970s,81,81,TRUE,binary,v2paanteli,Anti-elitism (v2paanteli),81,0.20157198577819502,0.5577583122327204,0.717802951630615,-0.8916142182757829,1.294758189832173,11.36304288370267
OECD,1970s,OECD 1970s,81,81,TRUE,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),81,-0.9470939070293964,0.24679946552996265,1.242912702484796e-4,-1.4308119708718576,-0.4633758431869353,10.455522384839389
OECD,1970s,OECD 1970s,81,81,TRUE,continuous,v2xpa_popul,Populism (v2xpa_popul),81,-0.03326210269719143,0.11719094122572345,0.7765419848797724,-0.2629521268139596,0.1964279214195767,12.73313462083375
OECD,1970s,OECD 1970s,81,81,TRUE,continuous,v2pariglef_neg,Economic left (negated v2pariglef),81,-1.2119219942418413,1.3470529023201159,0.36828842038120685,-3.8520971680594194,1.4282531795757365,11.461642294968678
OECD,1970s,OECD 1970s,81,81,TRUE,continuous,v2paanteli,Anti-elitism (v2paanteli),81,-0.5003771686300406,0.6992980430367003,0.4742741553982,-1.8709761474413136,0.8702218101812323,9.102000391573993
OECD,1970s,OECD 1970s,81,81,TRUE,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),81,-0.15127654367970522,1.0703035458475552,0.887601469057448,-2.2490329460664276,1.946479858707017,11.027645263910957
OECD,1980s,OECD 1980s,74,74,TRUE,binary,v2xpa_popul,Populism (v2xpa_popul),74,-1.0472785126118,1.2247005018409138,0.3924790147483539,-3.4476473880681207,1.3530903628445206,5.657867740091042
OECD,1980s,OECD 1980s,74,74,TRUE,binary,v2pariglef_neg,Economic left (negated v2pariglef),74,-0.9154040286759633,0.3826019348501895,0.01673058394774846,-1.6652900413976746,-0.16551801595425197,7.861783445826451
OECD,1980s,OECD 1980s,74,74,TRUE,binary,v2paanteli,Anti-elitism (v2paanteli),74,0.15503122275642678,0.9010457556240106,0.8633927235281165,-1.6109860066893122,1.9210484522021658,5.789442489950698
OECD,1980s,OECD 1980s,74,74,TRUE,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),74,-0.9621209736153835,0.32037009251625886,0.0026719650350898066,-1.5900348166710159,-0.33420713055975126,9.453144926707107
OECD,1980s,OECD 1980s,74,74,TRUE,continuous,v2xpa_popul,Populism (v2xpa_popul),74,0.023690738235675052,0.13341420485692165,0.8590584620441457,-0.23779629830994006,0.28517777478129014,9.489310940063904
OECD,1980s,OECD 1980s,74,74,TRUE,continuous,v2pariglef_neg,Economic left (negated v2pariglef),74,-1.4268445893253379,1.284583020077082,0.26667798488153427,-3.944581043828111,1.090891865177435,7.953357027308569
OECD,1980s,OECD 1980s,74,74,TRUE,continuous,v2paanteli,Anti-elitism (v2paanteli),74,0.3246349815912586,0.6144488155123922,0.5972666550611541,-0.8796625671563256,1.5289325303388428,10.521211927487766
OECD,1980s,OECD 1980s,74,74,TRUE,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),74,-1.3232578044366965,1.2690866698971783,0.29709414521731053,-3.8106219706950375,1.1641063618216447,7.1702521067184355
OECD,1990s,OECD 1990s,93,93,TRUE,binary,v2xpa_popul,Populism (v2xpa_popul),93,0.11090768628125447,0.5554379970257807,0.8417339162940005,-0.9777307835343408,1.19954615609685,10.864201873674979
