axis,axis_label,level,cutoff,n_sample,form,score,score_label,n,est,se,pval,ci_lo,ci_hi,bw
score_gap,Top-2 illiberality gap (raw),-Inf,-Inf,1347,binary,v2xpa_popul,Populism (v2xpa_popul),1347,-0.17605800402304728,0.09061740520191881,0.052031646128088,-0.3536648545912806,0.0015488465451860833,18.030123208197338
score_gap,Top-2 illiberality gap (raw),-Inf,-Inf,1347,binary,v2pariglef_neg,Economic left (negated v2pariglef),1343,-0.43883562045154406,0.0852198205457155,2.6124461284745374e-7,-0.6058633994901129,-0.2718078414129752,17.137565580617824
score_gap,Top-2 illiberality gap (raw),-Inf,-Inf,1347,binary,v2paanteli,Anti-elitism (v2paanteli),1347,-0.12040239149838633,0.0859385845989281,0.16120560216308713,-0.2888389221946339,0.04803413919786126,20.418277727067977
score_gap,Top-2 illiberality gap (raw),-Inf,-Inf,1347,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),1347,-0.6787106092373845,0.06294389724125972,4.151164427997024e-27,-0.8020783808768436,-0.5553428375979254,19.150045964483112
score_gap,Top-2 illiberality gap (raw),-Inf,-Inf,1347,continuous,v2xpa_popul,Populism (v2xpa_popul),1347,-0.09306917144604798,0.04526406123683222,0.03976918420396718,-0.18178510126425462,-0.004353241627841328,17.63663907560823
score_gap,Top-2 illiberality gap (raw),-Inf,-Inf,1347,continuous,v2pariglef_neg,Economic left (negated v2pariglef),1346,-0.9817282567338557,0.23786009094925278,3.6699172308585676e-5,-1.4479254683538128,-0.5155310451138987,18.363813701387343
score_gap,Top-2 illiberality gap (raw),-Inf,-Inf,1347,continuous,v2paanteli,Anti-elitism (v2paanteli),1347,-0.5731366380785605,0.26127633924289223,0.028263941501105328,-1.0852288530070981,-0.061044423150022786,17.549911500726044
score_gap,Top-2 illiberality gap (raw),-Inf,-Inf,1347,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),1347,-0.9674337774747255,0.23538865413871105,3.9575806050724464e-5,-1.4287870619559542,-0.5060804929934968,15.708645823620847
score_gap,Top-2 illiberality gap (raw),q20,0.018000000000000016,1081,binary,v2xpa_popul,Populism (v2xpa_popul),1081,-0.2709863451700725,0.09694367041467648,0.005185206469576459,-0.46099244771195946,-0.08098024262818546,20.774788987193187
score_gap,Top-2 illiberality gap (raw),q20,0.018000000000000016,1081,binary,v2pariglef_neg,Economic left (negated v2pariglef),1077,-0.47143833859770184,0.09434846044284488,5.829602652271546e-7,-0.6563579230624796,-0.286518754132924,19.797567686476075
score_gap,Top-2 illiberality gap (raw),q20,0.018000000000000016,1081,binary,v2paanteli,Anti-elitism (v2paanteli),1081,-0.22218948164769775,0.09393485612631265,0.01801269176145107,-0.40629841654822213,-0.03808054674717337,22.40197239469975
score_gap,Top-2 illiberality gap (raw),q20,0.018000000000000016,1081,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),1081,-0.7067432991221658,0.06959011218681985,3.122370452377646e-24,-0.8431374126884346,-0.5703491855558971,18.88307408523164
score_gap,Top-2 illiberality gap (raw),q20,0.018000000000000016,1081,continuous,v2xpa_popul,Populism (v2xpa_popul),1081,-0.10064227901048073,0.050578837735913706,0.04661186531135218,-0.19977497935276697,-0.0015095786681944834,21.39560898068443
score_gap,Top-2 illiberality gap (raw),q20,0.018000000000000016,1081,continuous,v2pariglef_neg,Economic left (negated v2pariglef),1080,-1.0735168106011193,0.27431524986091343,9.098977611832077e-5,-1.6111648207386153,-0.5358688004636231,20.899403094012754
score_gap,Top-2 illiberality gap (raw),q20,0.018000000000000016,1081,continuous,v2paanteli,Anti-elitism (v2paanteli),1081,-0.6761862658262908,0.30172167868655236,0.025020067899856537,-1.2675498894068997,-0.08482264224568192,20.580898511773547
score_gap,Top-2 illiberality gap (raw),q20,0.018000000000000016,1081,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),1081,-1.122080133611069,0.24287923911314116,3.839072373031713e-6,-1.5981146948653175,-0.6460455723568206,16.879879397011152
score_gap,Top-2 illiberality gap (raw),q40,0.08999999999999997,810,binary,v2xpa_popul,Populism (v2xpa_popul),810,-0.2544558566010466,0.11081756820879149,0.021666224513341124,-0.4716542991445887,-0.03725741405750446,22.331029508966775
score_gap,Top-2 illiberality gap (raw),q40,0.08999999999999997,810,binary,v2pariglef_neg,Economic left (negated v2pariglef),810,-0.3469779172677643,0.1137711172764718,0.0022900208750589977,-0.5699652096105317,-0.1239906249249969,20.266962275930993
score_gap,Top-2 illiberality gap (raw),q40,0.08999999999999997,810,binary,v2paanteli,Anti-elitism (v2paanteli),810,-0.24367421683084622,0.10173972755492383,0.016616993125276844,-0.4430804186354142,-0.04426801502627825,25.245942359143992
