party_name,country_name,populist,populist_start,populist_end,partyfacts_id,vdem_id_1
Bündnis Zukunft Österreich,Austria,1,1900,2100,599,599
Freiheitliche Partei Österreichs,Austria,1,1900,2100,463,463
Liste Hans-Peter Martin,Austria,1,1900,2100,1708,NA
Team Stronach,Austria,1,1900,2100,1971,1971
JETZT - Liste Pilz,Austria,1,1900,2100,6137,NA
Kommunistische Partei Österreichs Plus,Austria,0,2100,2100,NA,NA
Front National,Belgium,1,1900,2100,191,NA
Lijst Dedecker ,Belgium,1,1900,2100,43,NA
Parti populaire,Belgium,1,1900,2100,639,NA
Partij van de Arbeid – Parti du Travail,Belgium,1,1900,2100,1753,1753
Vlaams Belang,Belgium,1,1900,2100,553,553
Nieuw-Vlaamse Alliantie,Belgium,1,2019,2025,756,36
Ataka,Bulgaria,1,1900,2100,1793,1793
Prezaredi Bulgariya,Bulgaria,1,1900,2100,3188,3188
Grazhdani za Evropeysko Razvitie na Bulgariya,Bulgaria,1,1900,2100,760,760
Natsionalen Front za Spasenie na Balgariya,Bulgaria,1,1900,2100,2057,2057
Natsionalno Dvizhenie za Stabilnost i Vazhod,Bulgaria,1,1900,2100,374,374
"Red, Zakonnost i Spravedlivost",Bulgaria,1,1900,2100,272,NA
Balgarsko Natsionalno Dvizhenie,Bulgaria,1,1900,2100,2056,2056
Volya,Bulgaria,1,1900,2100,5863,NA
Vazrazhdane,Bulgaria,1,1900,2100,5862,NA
Izpravi se.BG,Bulgaria,1,1900,2100,8991,NA
Ima Takav Narod,Bulgaria,1,1900,2100,8992,NA
Balgarska Sotsialisticheska Partiya,Bulgaria,1,2017,2022,757,757
Velichie,Bulgaria,1,1900,2100,NA,NA
Прогресивна България,Bulgaria,1,1900,2100,NA,NA
MECh,Bulgaria,1,1900,2100,NA,NA
Bulgarski Vazhod,Bulgaria,1,1900,2100,NA,NA
Левицата!,Bulgaria,1,1900,2100,NA,NA
Hrvatska Cista Stranka Prava,Croatia,0,2100,2100,NA,NA
Hrvatska Stranka Prava,Croatia,0,2100,2100,253,253
Hrvatska Stranka Prava Dr. Ante Starcevic,Croatia,0,2100,2100,3706,NA
Hrvatski demokratski savez Slavonije i Baranje,Croatia,1,1900,2100,2347,NA
Hrvatski laburisti – Stranka rada,Croatia,1,1900,2100,3143,3143
Hrvatski rast,Croatia,1,1900,2100,3138,NA
Most,Croatia,1,1900,2100,4865,4865
Živi zid,Croatia,1,1900,2100,4867,4867
Domovinski Pokret,Croatia,1,1900,2100,8981,NA
Hrvatski Suverenisti,Croatia,1,1900,2100,9086,NA
Blok za Hrvatsku,Croatia,1,1900,2100,NA,NA
Hrvatska Konzervativna Stranka,Croatia,1,1900,2100,9085,NA
Mozemo!,Croatia,1,1900,2100,8980,NA
Hrvatska Demokratska Zajednica,Croatia,1,1900,2000,1431,1431
Bandić Milan 365 – Stranka Rada i Solidarnosti,Croatia,1,1900,2100,5452,NA
Dom i Nacionalno Okupljanje,Croatia,1,1900,2100,NA,NA
Pravo i Pravda,Croatia,1,1900,2100,NA,NA
Radnička Fronta,Croatia,1,1900,2100,NA,NA
Anorthotikó Kómma Ergazómenou Laoú,Cyprus,1,1900,2100,1076,1076
Ethniko Laiko Metopo,Cyprus,1,1900,2100,1013,NA
Symmaxia,Cyprus,1,1900,2100,3117,3117
EVROKO,Cyprus,1,1900,2100,1817,1817
Movement of Hunters,Cyprus,1,1900,2100,NA,NA
New Horizons,Cyprus,1,1900,2100,1191,NA
Allilegii,Cyprus,1,1900,2100,4883,4883
Akce nespokojených obcanu,Czech Republic,1,1900,2100,2141,2141
Komunistická strana Cech a Moravy,Czech Republic,0,2100,2100,1728,1728
Komunistická strana Ceskoslovenska,Czech Republic,0,2100,2100,1041,1041
Sdruzení pro republiku – Republikánská strana Ceskoslovenska,Czech Republic,0,2100,2100,1657,1657
Svoboda a prímá demokracie,Czech Republic,1,1900,2100,6125,6125
Úsvit,Czech Republic,1,1900,2100,2049,2049
Veci verejné,Czech Republic,1,1900,2100,1202,1202
Prisaha,Czech Republic,1,1900,2100,9002,NA
Volný Blok,Czech Republic,1,1900,2100,980,NA
Motoristé Sobe,Czech Republic,1,1900,2100,NA,NA
Strana Práv Občanů,Czech Republic,1,1900,2100,NA,NA
Dansk Folkeparti,Denmark,1,1900,2100,1022,1022
Enhedslisten – De Rød-Grønne,Denmark,0,2100,2100,1527,1527
Fremskridtspartiet,Denmark,1,1900,2100,1601,1601
Nye Borgerlige,Denmark,1,1900,2100,7339,NA
Socialistisk Folkeparti,Denmark,0,2100,2100,329,329
Borgernes Parti,Denmark,1,1900,2100,NA,NA
Danmarksdemokraterne,Denmark,1,1900,2100,NA,NA
Eesti Kodanik,Estonia,1,1900,2100,1319,1319
Eesti Konservatiivne Rahvaerakond,Estonia,1,1900,2100,110,174
Erakond Res Publica,Estonia,1,1900,2100,491,491
Eesti Keskerakond,Estonia,1,1900,2100,533,533
Eesti Rahvusliku Sõltumatuse Partei,Estonia,0,2100,2100,1299,1299
Demokraattinen Liitto | Vasemmistoliitto,Finland,0,2100,2100,1096,1096
Suomen Maaseudun Puolue | Perussuomalaiset,Finland,1,1900,2100,1689,1689
Liike Nyt,Finland,1,1900,2100,8639,NA
Debout la république | Debout la France,France,1,1900,2100,3207,NA
Front National / Rassemblement National,France,1,1900,2100,433,433
La France Insoumise,France,1,1900,2100,5858,5858
Mouvement pour la France,France,0,2100,2100,364,NA
Parti Communiste Français,France,0,2100,2100,1251,1251
Rassemblement pour la France,France,0,2100,2100,NA,NA
Reconquete,France,1,1900,2100,9064,NA
Lutte ouvrière,France,0,2100,2100,617,NA
Union des droites pour la République,France,1,1900,2100,NA,NA
Les Républicains,France,0,2100,2100,NA,NA
Alternative für Deutschland,Germany,1,1900,2100,1976,1976
PDS / Die Linke,Germany,1,1900,2100,86,86
Republikaner,Germany,1,1900,2100,720,NA
Bündnis Sahra Wagenknecht,Germany,1,1900,2100,NA,NA
Anexartitoi Ellines,Greece,1,1900,2100,1651,1651
Dimokratiko Koinoniko Kinima,Greece,1,1900,2100,1682,NA
Elliniki Lisi,Greece,1,1900,2100,7347,NA
European Realistic Disobedience Front,Greece,1,1900,2100,7348,NA
Kommounistikó Kómma Elládas,Greece,0,2100,2100,48,48
Laïkós Orthódoxos Synagermós,Greece,1,1900,2100,965,965
Laikos Syndesmos – Chrysi Avgi,Greece,1,1900,2100,1660,1660
Oikologoi Enallaktikoi,Greece,0,2100,2100,8645,NA
Politiki Anixi,Greece,1,1900,2100,312,NA
Synaspismós Rizospastikís Aristerás,Greece,1,1900,2100,301,301
Laiki Enotita-Anypotakti Aristera,Greece,1,1900,2100,4512,NA
Synaspismós tis Aristerás,Greece,1,1900,2100,516,516
"Δημοκρατικό Πατριωτικό Κίνημα ""ΝΙΚΗ""",Greece,1,1900,2100,NA,NA
Πλεύση Ελευθερίας - Ζωή Κωνσταντοπούλου,Greece,1,1900,2100,NA,NA
Νέα Αριστερά,Greece,1,1900,2100,NA,NA
Σπαρτιάτες,Greece,1,1900,2100,NA,NA
