row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
all,both,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
all,presidential,397,58,-0.11296359586176255,0.14351630981123037,0.4312155458129387,397,-0.04489248181406952,0.03873323923412539,0.24644926537332176,0.36187075319917605,1.0949529575865524,0.7410299197243975
all,parliamentary,950,84,0.00804646829845565,0.05992333535979505,0.893181658219967,950,-0.06198618244142129,0.03745739120165495,0.09795591125769221,9.798085234259425,101.07882686324544,0.922777941788975
q20 (≥ 0.144),both,1077,139,-0.002641678027845068,0.07322425812263729,0.9712213268747831,1077,-0.07129685510338736,0.036759550084140835,0.052434833445990585,-15.623774867609544,51.42939480184412,0.7612873076860905
q20 (≥ 0.144),presidential,355,57,-0.1323652768537411,0.16166975214050644,0.41293553228750834,355,-0.060473030035917696,0.04260412532752662,0.15577740881713512,0.4746635833914767,1.2173563672965881,0.6966005707470757
q20 (≥ 0.144),parliamentary,722,82,0.07715775812804265,0.08859874889948065,0.3838265831062656,722,-0.06720665125996972,0.054665200514348554,0.21891327555277615,-1.350543372865019,2.4987479367251053,0.5888605073629961
q40 (≥ 0.405),both,809,120,0.0013694371647924586,0.09190131222066285,0.9881110257362551,809,-0.08259890302898712,0.04421676354194732,0.061755802012374315,-3.3357075344027267,9.524795477015843,0.7261788247474565
q40 (≥ 0.405),presidential,285,47,-0.10592711488959258,0.21279552291359063,0.6186332855743994,285,-0.0813755649335911,0.04121990020925326,0.04836110739859471,-60.834717427214414,466.9589342508782,0.8963460761991379
q40 (≥ 0.405),parliamentary,524,73,0.07119949145596985,0.11869363698160947,0.5485999557303671,524,-0.07601365498434912,0.0622309836738592,0.22190583519240567,-1.8393551634298917,3.8338687751495053,0.6313946677339322
q60 (≥ 0.705),both,542,70,0.13042141341392957,0.11018856296043109,0.23656342442017378,542,-0.1593575848962559,0.08554486963132094,0.06248283926399296,-0.9741178719713199,0.7781538245384707,0.2106310808189595
q60 (≥ 0.705),presidential,189,29,-0.0838913568500636,0.3260443167852089,0.7969468275263613,189,-0.07328690008579195,0.05482099436352604,0.18127485754008124,-1.0075698935397772,2.340863864056652,0.6668854053064073
q60 (≥ 0.705),parliamentary,353,41,0.18590210354021744,0.1710649769419367,0.2771544430787718,353,-0.1940920275338006,0.11619104251786913,0.09482917211494041,-3.175798548987651,3.9943166772347976,0.4265673689433057
q80 (≥ 0.9),both,275,21,0.18497197016560857,0.19114269983016427,0.3331859082052684,275,-0.27352539274730964,0.14318402642685213,0.05609374665103389,-1.2595762836311462,1.4954927932332356,0.399648975404744
q80 (≥ 0.9),presidential,86,9,-0.824569852302161,1.0509719275717406,0.43270081023873036,86,-0.13603664332562418,0.1760423834519329,0.4396707142565624,0.13819560004703207,0.3153692072339015,0.6612394389919527
q80 (≥ 0.9),parliamentary,189,12,-0.061366214098848765,0.12110773856820609,0.6123599824428103,189,-0.38723341184105575,0.2497237444783039,0.1209862670313641,2.0936218233752943,9.502956862172779,0.8256276513548757
