pair,row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R2 x R3,all,all,1347,496,0.01745794410575638,0.018112069639726128,0.3351038102958821,1289,-0.053125954158510985,0.026745364453216368,0.04699323192751867,-3.042176273551332,2.6733756633411248,0.2551400432612504
R2 x R3,all,q20 (≥ 0.254),1076,410,0.01800439092099189,0.023726381229210395,0.4479517090645225,1029,-0.06465046687508262,0.03536152029745219,0.06750878469875335,-2.1305451885602062,2.297683760560332,0.35379269922320167
R2 x R3,all,q40 (≥ 0.834),808,315,0.009693329528638373,0.02538135374646074,0.7025299719650777,765,-0.0612018024967203,0.051913872415059716,0.2384338683028287,-7.746609228996121,12.945873872478407,0.5495834590357901
R2 x R3,all,q60 (≥ 1.44),538,214,0.014092665341904235,0.03871157155123784,0.7158261178264851,511,-0.11021630640339064,0.08376462402825932,0.18824593237091758,-5.6634949848544895,7.551133696263194,0.4532431626233684
R2 x R3,all,q80 (≥ 2.09),269,107,-0.04724789542330016,0.043924725984942535,0.28208112868306956,253,-0.07650261590372048,0.0806707258669322,0.3429605590907487,1.5432754300217921,3.6799188178846616,0.6749402103473428
R2 x R3,q20 (≥ 0.144),all,1077,414,0.02749560514835683,0.024211238455474998,0.25610113394504824,1033,-0.07129685510338736,0.036759550084140835,0.052434833445990585,-1.369409486203997,1.1849525721145162,0.247817770353101
R2 x R3,q20 (≥ 0.144),q20 (≥ 0.254),958,374,0.027734150487591806,0.02551981457098436,0.2771387877544458,919,-0.06872270238424634,0.03925309841076828,0.07998748850328948,-1.7955639887721269,1.9763984696535077,0.3636125161422322
R2 x R3,q20 (≥ 0.144),q40 (≥ 0.834),738,291,0.005699878714628098,0.025399356151501327,0.8224380083931859,702,-0.06782811798231267,0.05254420784636356,0.19674627527761587,-17.274854102820598,39.05138377123455,0.6582271635316128
R2 x R3,q20 (≥ 0.144),q60 (≥ 1.44),485,197,0.02533726798531301,0.03714579654500047,0.49517367527143186,463,-0.09396116708732738,0.07757579419776892,0.22581202004468812,-5.558365015122737,8.362703146312429,0.5062671617351123
R2 x R3,q20 (≥ 0.144),q80 (≥ 2.09),246,98,-0.042555321441287965,0.04460690189217032,0.3400798178005,233,-0.0955609813407224,0.08020970773098945,0.23350082186032375,1.9887726202428655,4.807016912425827,0.6790771085680516
R2 x R3,q40 (≥ 0.405),all,809,323,0.007413017859567501,0.03140235056390553,0.813381689431801,779,-0.08259890302898712,0.04421676354194732,0.061755802012374315,-10.14295840021234,19.40761281276684,0.6012332759390884
R2 x R3,q40 (≥ 0.405),q20 (≥ 0.254),729,295,-0.002329332709268342,0.0318398125086996,0.9416804952555861,702,-0.07467369447131018,0.04509477216985551,0.09773640687791492,-30.306468135713946,100.80720015716598,0.7636906036110249
R2 x R3,q40 (≥ 0.405),q40 (≥ 0.834),598,238,0.02593409275761846,0.03143577479463317,0.4093792021270565,573,-0.08288605943065741,0.05305369270117725,0.11821611006571248,-9.11547924506987,15.075491355226909,0.5454079004517243
R2 x R3,q40 (≥ 0.405),q60 (≥ 1.44),429,173,0.04058318934350343,0.04284549583547438,0.34353764010461046,411,-0.07389488124064128,0.07779798454970599,0.34219849873166247,-3.4668073487342266,4.600436462263251,0.4511000943376897
