axis,axis_label,level,n,n_illiberal_won,n_illiberal_lost,n_tied,pct_illiberal_won
R1,R1: top-2 illiberality gap,all,1347,849,498,0,63
R1,R1: top-2 illiberality gap,q20 (≥ 0.018),1081,695,386,0,64.3
R1,R1: top-2 illiberality gap,q40 (≥ 0.09),810,530,280,0,65.4
R1,R1: top-2 illiberality gap,q60 (≥ 0.199),539,356,183,0,66
R1,R1: top-2 illiberality gap,q80 (≥ 0.437),271,201,70,0,74.2
R2,R2: more-illiberal party's score,all,1347,849,498,0,63
R2,R2: more-illiberal party's score,q20 (≥ 0.144),1077,687,390,0,63.8
R2,R2: more-illiberal party's score,q40 (≥ 0.405),809,528,281,0,65.3
R2,R2: more-illiberal party's score,q60 (≥ 0.705),542,387,155,0,71.4
R2,R2: more-illiberal party's score,q80 (≥ 0.9),275,212,63,0,77.1
R3,"R3: gap, within-country standardized",all,1347,849,498,0,63
R3,"R3: gap, within-country standardized",q20 (≥ 0.254),1076,705,371,0,65.5
R3,"R3: gap, within-country standardized",q40 (≥ 0.834),808,543,265,0,67.2
R3,"R3: gap, within-country standardized",q60 (≥ 1.44),538,370,168,0,68.8
R3,"R3: gap, within-country standardized",q80 (≥ 2.09),269,177,92,0,65.8
R4,R4: prior backsliding,all,1347,849,498,0,63
R4,R4: prior backsliding,no prior episode,1242,781,461,0,62.9
R5,R5: election type,both,1347,849,498,0,63
R5,R5: election type,presidential,397,241,156,0,60.7
R5,R5: election type,parliamentary,950,608,342,0,64
R6,R6: less-illiberal party's score (ceiling),all,1347,849,498,0,63
R6,R6: less-illiberal party's score (ceiling),q80 (≤ 0.546),1077,667,410,0,61.9
R6,R6: less-illiberal party's score (ceiling),q60 (≤ 0.335),808,501,307,0,62
R6,R6: less-illiberal party's score (ceiling),q40 (≤ 0.188),541,318,223,0,58.8
R6,R6: less-illiberal party's score (ceiling),q20 (≤ 0.061),274,152,122,0,55.5
