axis,axis_label,level,n,n_illiberal_won,n_illiberal_lost,n_tied,pct_illiberal_won
R1,R1: top-2 illiberality gap,all,457,244,213,0,53.4
R1,R1: top-2 illiberality gap,q20 (≥ 0.018),350,182,168,0,52
R1,R1: top-2 illiberality gap,q40 (≥ 0.09),249,123,126,0,49.4
R1,R1: top-2 illiberality gap,q60 (≥ 0.199),151,70,81,0,46.4
R1,R1: top-2 illiberality gap,q80 (≥ 0.437),63,31,32,0,49.2
R2,R2: more-illiberal party's score,all,457,244,213,0,53.4
R2,R2: more-illiberal party's score,q20 (≥ 0.144),327,166,161,0,50.8
R2,R2: more-illiberal party's score,q40 (≥ 0.405),214,108,106,0,50.5
R2,R2: more-illiberal party's score,q60 (≥ 0.705),120,62,58,0,51.7
R2,R2: more-illiberal party's score,q80 (≥ 0.9),49,24,25,0,49
R3,"R3: gap, within-country standardized",all,457,244,213,0,53.4
R3,"R3: gap, within-country standardized",q20 (≥ 0.254),343,185,158,0,53.9
R3,"R3: gap, within-country standardized",q40 (≥ 0.834),233,125,108,0,53.6
R3,"R3: gap, within-country standardized",q60 (≥ 1.44),138,75,63,0,54.3
R3,"R3: gap, within-country standardized",q80 (≥ 2.09),67,33,34,0,49.3
R4,R4: prior backsliding,all,457,244,213,0,53.4
R4,R4: prior backsliding,no prior episode,432,231,201,0,53.5
R5,R5: election type,both,457,244,213,0,53.4
R5,R5: election type,presidential,141,73,68,0,51.8
R5,R5: election type,parliamentary,316,171,145,0,54.1
