group,bin_start,bin_label,bin_end,partial,n_elections,n_both,n_one,n_neither,share_both,share_one,share_neither
OECD,1945,1945-49,1949,FALSE,46,0,0,46,0,0,1
OECD,1950,1950-54,1954,FALSE,42,0,0,42,0,0,1
OECD,1955,1955-59,1959,FALSE,44,0,0,44,0,0,1
OECD,1960,1960-64,1964,FALSE,41,0,0,41,0,0,1
OECD,1965,1965-69,1969,FALSE,45,0,0,45,0,0,1
OECD,1970,1970-74,1974,FALSE,49,43,4,2,0.8775510204081632,0.08163265306122448,0.04081632653061224
OECD,1975,1975-79,1979,FALSE,43,38,5,0,0.8837209302325582,0.11627906976744186,0
OECD,1980,1980-84,1984,FALSE,47,38,7,2,0.8085106382978723,0.14893617021276595,0.0425531914893617
OECD,1985,1985-89,1989,FALSE,46,36,8,2,0.782608695652174,0.17391304347826086,0.043478260869565216
OECD,1990,1990-94,1994,FALSE,67,50,10,7,0.746268656716418,0.14925373134328357,0.1044776119402985
OECD,1995,1995-99,1999,FALSE,58,43,12,3,0.7413793103448276,0.20689655172413793,0.05172413793103448
OECD,2000,2000-04,2004,FALSE,54,35,15,4,0.6481481481481481,0.2777777777777778,0.07407407407407407
OECD,2005,2005-09,2009,FALSE,55,41,13,1,0.7454545454545455,0.23636363636363636,0.01818181818181818
OECD,2010,2010-14,2014,FALSE,64,47,14,3,0.734375,0.21875,0.046875
OECD,2015,2015-19,2019,FALSE,68,47,13,8,0.6911764705882353,0.19117647058823528,0.11764705882352941
OECD,2020,2020-24,2024,TRUE,46,29,13,4,0.6304347826086957,0.2826086956521739,0.08695652173913043
Non-OECD,1945,1945-49,1949,FALSE,59,0,0,59,0,0,1
Non-OECD,1950,1950-54,1954,FALSE,76,0,0,76,0,0,1
Non-OECD,1955,1955-59,1959,FALSE,98,0,0,98,0,0,1
Non-OECD,1960,1960-64,1964,FALSE,91,0,0,91,0,0,1
Non-OECD,1965,1965-69,1969,FALSE,80,0,0,80,0,0,1
Non-OECD,1970,1970-74,1974,FALSE,73,32,23,18,0.4383561643835616,0.3150684931506849,0.2465753424657534
Non-OECD,1975,1975-79,1979,FALSE,81,34,28,19,0.41975308641975306,0.345679012345679,0.2345679012345679
Non-OECD,1980,1980-84,1984,FALSE,94,46,20,28,0.48936170212765956,0.2127659574468085,0.2978723404255319
Non-OECD,1985,1985-89,1989,FALSE,105,59,24,22,0.5619047619047619,0.22857142857142856,0.20952380952380953
Non-OECD,1990,1990-94,1994,FALSE,208,108,43,57,0.5192307692307693,0.20673076923076922,0.27403846153846156
Non-OECD,1995,1995-99,1999,FALSE,187,94,64,29,0.5026737967914439,0.3422459893048128,0.15508021390374332
Non-OECD,2000,2000-04,2004,FALSE,196,111,54,31,0.5663265306122449,0.2755102040816326,0.15816326530612246
Non-OECD,2005,2005-09,2009,FALSE,202,122,51,29,0.6039603960396039,0.2524752475247525,0.14356435643564355
Non-OECD,2010,2010-14,2014,FALSE,204,121,54,29,0.5931372549019608,0.2647058823529412,0.14215686274509803
Non-OECD,2015,2015-19,2019,FALSE,205,115,56,34,0.5609756097560976,0.2731707317073171,0.16585365853658537
Non-OECD,2020,2020-24,2024,TRUE,146,58,48,40,0.3972602739726027,0.3287671232876712,0.273972602739726
