vocab,pct_tagged,group,decade,decade_start,parties,tagged_parties
rile_wikipedia,86.54545454545455,OECD,1990s,1990,275,238
rile_wikipedia,91.09311740890688,OECD,2000s,2000,247,225
rile_wikipedia,90.75342465753425,OECD,2010s,2010,292,265
rile_wikipedia,88.0503144654088,OECD,1970s,1970,159,140
rile_wikipedia,88.46153846153847,OECD,1980s,1980,156,138
rile_wikipedia,66.07773851590106,Non-OECD,1990s,1990,566,374
rile_wikipedia,76.82119205298014,Non-OECD,2000s,2000,604,464
rile_wikipedia,74.05731523378583,Non-OECD,2010s,2010,663,491
rile_wikipedia,66.03053435114504,Non-OECD,1970s,1970,262,173
rile_wikipedia,74.03100775193798,Non-OECD,1980s,1980,258,191
rile_wikidata,61.45454545454545,OECD,1990s,1990,275,169
rile_wikidata,72.06477732793522,OECD,2000s,2000,247,178
rile_wikidata,82.1917808219178,OECD,2010s,2010,292,240
rile_wikidata,61.63522012578616,OECD,1970s,1970,159,98
rile_wikidata,71.15384615384616,OECD,1980s,1980,156,111
rile_wikidata,34.09893992932862,Non-OECD,1990s,1990,566,193
rile_wikidata,37.58278145695364,Non-OECD,2000s,2000,604,227
rile_wikidata,42.684766214177976,Non-OECD,2010s,2010,663,283
rile_wikidata,29.770992366412212,Non-OECD,1970s,1970,262,78
rile_wikidata,37.98449612403101,Non-OECD,1980s,1980,258,98
ideology_wikipedia,86.9090909090909,OECD,1990s,1990,275,239
ideology_wikipedia,92.3076923076923,OECD,2000s,2000,247,228
ideology_wikipedia,91.78082191780823,OECD,2010s,2010,292,268
ideology_wikipedia,91.19496855345912,OECD,1970s,1970,159,145
ideology_wikipedia,91.02564102564102,OECD,1980s,1980,156,142
ideology_wikipedia,69.96466431095406,Non-OECD,1990s,1990,566,396
ideology_wikipedia,82.78145695364239,Non-OECD,2000s,2000,604,500
ideology_wikipedia,79.78883861236802,Non-OECD,2010s,2010,663,529
ideology_wikipedia,69.8473282442748,Non-OECD,1970s,1970,262,183
ideology_wikipedia,77.90697674418605,Non-OECD,1980s,1980,258,201
ideology_wikidata,83.63636363636364,OECD,1990s,1990,275,230
ideology_wikidata,93.52226720647774,OECD,2000s,2000,247,231
ideology_wikidata,95.54794520547945,OECD,2010s,2010,292,279
ideology_wikidata,89.30817610062893,OECD,1970s,1970,159,142
ideology_wikidata,90.38461538461539,OECD,1980s,1980,156,141
ideology_wikidata,64.66431095406361,Non-OECD,1990s,1990,566,366
ideology_wikidata,75.66225165562913,Non-OECD,2000s,2000,604,457
ideology_wikidata,73.90648567119155,Non-OECD,2010s,2010,663,490
ideology_wikidata,67.55725190839695,Non-OECD,1970s,1970,262,177
ideology_wikidata,75.5813953488372,Non-OECD,1980s,1980,258,195
