vocab,is_plotted,group,decade,decade_start,tag,n_party_years,n_parties,mean_antiplural,mean_popul,tag_rank
rile_wikipedia,TRUE,OECD,1990s,1990,left_wing,77,35,0.12554545454545454,0.4404545454545455,5
rile_wikipedia,TRUE,OECD,1990s,1990,centre_left,180,82,0.09913888888888889,0.31398333333333334,1
rile_wikipedia,TRUE,OECD,2000s,2000,left_wing,87,39,0.146,0.5057126436781609,5
rile_wikipedia,TRUE,OECD,2000s,2000,centre_left,176,79,0.08918181818181818,0.32448863636363634,1
rile_wikipedia,TRUE,OECD,2010s,2010,left_wing,109,52,0.1756605504587156,0.5653577981651376,5
rile_wikipedia,TRUE,OECD,2010s,2010,centre_left,199,87,0.10891959798994974,0.36258291457286435,1
rile_wikipedia,TRUE,OECD,1970s,1970,centre_right,136,53,0.12163970588235294,0.12786764705882353,1
rile_wikipedia,TRUE,OECD,1970s,1970,right_wing,45,18,0.19104444444444446,0.2338888888888889,5
rile_wikipedia,TRUE,OECD,1980s,1980,centre_right,123,49,0.10889430894308944,0.12640650406504064,1
rile_wikipedia,TRUE,OECD,1980s,1980,right_wing,48,20,0.21547916666666667,0.21306250000000002,5
rile_wikipedia,TRUE,OECD,1990s,1990,centre_right,173,77,0.13122543352601157,0.1689479768786127,2
rile_wikipedia,TRUE,OECD,1990s,1990,right_wing,95,42,0.2324315789473684,0.3668736842105263,4
rile_wikipedia,TRUE,OECD,2000s,2000,centre_right,157,73,0.12137579617834394,0.19217197452229298,2
rile_wikipedia,TRUE,OECD,2000s,2000,right_wing,103,44,0.22902912621359225,0.4159514563106796,4
rile_wikipedia,TRUE,OECD,2010s,2010,centre_right,186,85,0.13842473118279572,0.23091397849462367,2
rile_wikipedia,TRUE,OECD,2010s,2010,right_wing,136,61,0.31882352941176473,0.4969191176470588,3
rile_wikipedia,TRUE,OECD,2000s,2000,far_left,25,11,0.29208,0.6296,7
rile_wikipedia,TRUE,OECD,2010s,2010,far_left,27,13,0.22962962962962963,0.683037037037037,7
rile_wikipedia,TRUE,OECD,2000s,2000,centre,93,46,0.11144086021505378,0.24767741935483872,3
rile_wikipedia,TRUE,OECD,2010s,2010,centre,118,58,0.11329661016949151,0.26396610169491525,4
rile_wikipedia,TRUE,OECD,1970s,1970,centre,91,36,0.14508791208791205,0.22545054945054946,3
rile_wikipedia,TRUE,OECD,1980s,1980,centre,81,36,0.1375679012345679,0.24544444444444444,3
rile_wikipedia,TRUE,OECD,1990s,1990,centre,103,49,0.12467961165048543,0.23149514563106796,3
rile_wikipedia,TRUE,OECD,1970s,1970,far_left,25,12,0.48328,0.51744,7
rile_wikipedia,TRUE,OECD,1980s,1980,left_wing,50,22,0.2592,0.44052,4
rile_wikipedia,TRUE,OECD,2010s,2010,far_right,73,35,0.4879178082191781,0.6884246575342465,6
rile_wikipedia,TRUE,OECD,1980s,1980,centre_left,113,44,0.11238938053097344,0.2943185840707965,2
rile_wikipedia,TRUE,OECD,1970s,1970,centre_left,117,46,0.12181196581196581,0.29962393162393164,2
rile_wikipedia,TRUE,OECD,1970s,1970,left_wing,48,21,0.27297916666666666,0.44308333333333333,4
rile_wikipedia,TRUE,OECD,1970s,1970,far_right,30,12,0.44306666666666666,0.4265333333333333,6
rile_wikipedia,TRUE,OECD,1980s,1980,far_right,21,10,0.43861904761904763,0.4625714285714286,7
rile_wikipedia,TRUE,OECD,1990s,1990,far_right,49,23,0.4293673469387755,0.5875102040816327,6
rile_wikipedia,TRUE,OECD,2000s,2000,far_right,45,22,0.41113333333333335,0.5834444444444444,6
rile_wikipedia,TRUE,Non-OECD,1990s,1990,centre_left,279,144,0.4197670250896057,0.4656774193548387,1
rile_wikipedia,TRUE,Non-OECD,2000s,2000,centre_left,307,173,0.41901628664495116,0.43942345276872963,1
rile_wikipedia,TRUE,Non-OECD,2010s,2010,centre_left,282,168,0.4388439716312057,0.4414645390070922,2
rile_wikipedia,TRUE,Non-OECD,1990s,1990,centre_right,238,125,0.5136050420168067,0.29353361344537815,2
rile_wikipedia,TRUE,Non-OECD,2000s,2000,centre_right,308,162,0.4990811688311688,0.33169805194805196,2
rile_wikipedia,TRUE,Non-OECD,2010s,2010,centre_right,316,179,0.49819303797468356,0.3385284810126582,1
rile_wikipedia,TRUE,Non-OECD,1970s,1970,left_wing,63,45,0.6577777777777778,0.6604126984126985,3
rile_wikipedia,TRUE,Non-OECD,2000s,2000,centre,187,105,0.3776524064171123,0.3699946524064171,3
rile_wikipedia,TRUE,Non-OECD,2010s,2010,centre,198,126,0.4042070707070707,0.4077222222222222,3
rile_wikipedia,TRUE,Non-OECD,1990s,1990,centre,155,86,0.38451612903225807,0.4032903225806452,3
rile_wikipedia,TRUE,Non-OECD,1970s,1970,centre_right,89,50,0.7341910112359551,0.2642022471910112,2
rile_wikipedia,TRUE,Non-OECD,1970s,1970,far_right,40,20,0.920125,0.182775,6
rile_wikipedia,TRUE,Non-OECD,1980s,1980,centre_right,120,63,0.6355416666666667,0.275025,2
rile_wikipedia,TRUE,Non-OECD,1980s,1980,far_right,35,16,0.8458,0.26457142857142857,7
rile_wikipedia,TRUE,Non-OECD,1990s,1990,far_right,48,21,0.7437083333333333,0.3825625,7
rile_wikipedia,TRUE,Non-OECD,1990s,1990,right_wing,151,73,0.5899271523178807,0.3129205298013245,4
