score_y,score_x,vocab,is_plotted,group,decade,decade_start,tag,n_party_years,n_parties,mean_antiplural,mean_popul,tag_rank
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1990s,1990,left_wing,77,35,-1.7986363636363636,0.12554545454545454,5
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1990s,1990,centre_left,179,81,-0.9534748603351956,0.09929608938547486,1
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2000s,2000,left_wing,87,39,-1.8332413793103448,0.146,5
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2000s,2000,centre_left,176,79,-0.8133920454545455,0.08918181818181818,1
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2010s,2010,left_wing,109,52,-1.8209449541284404,0.1756605504587156,5
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2010s,2010,centre_left,199,87,-0.9494422110552764,0.10891959798994974,1
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1970s,1970,centre_right,136,53,1.0183088235294118,0.12163970588235294,1
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1970s,1970,right_wing,45,18,1.4699777777777778,0.19104444444444446,5
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1980s,1980,centre_right,123,49,1.068211382113821,0.10889430894308944,1
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1980s,1980,right_wing,47,19,1.6655531914893618,0.21821276595744682,5
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1990s,1990,centre_right,173,77,1.087635838150289,0.13122543352601157,2
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1990s,1990,right_wing,95,42,1.3921578947368423,0.2324315789473684,4
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2000s,2000,centre_right,157,73,1.163248407643312,0.12137579617834394,2
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2000s,2000,right_wing,103,44,1.4601650485436892,0.22902912621359225,4
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2010s,2010,centre_right,186,85,1.2084623655913977,0.13842473118279572,2
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2010s,2010,right_wing,136,61,1.3418382352941176,0.31882352941176473,3
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2000s,2000,far_left,25,11,-2.8636399999999997,0.29208,7
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2010s,2010,far_left,27,13,-2.917851851851852,0.22962962962962963,7
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2000s,2000,centre,93,46,-0.03378494623655914,0.11144086021505378,3
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2010s,2010,centre,118,58,0.09466949152542374,0.11329661016949151,4
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1970s,1970,centre,90,35,-0.03922222222222217,0.1459,3
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1980s,1980,centre,81,36,0.030061728395061695,0.1375679012345679,3
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1990s,1990,centre,103,49,0.0884368932038835,0.12467961165048543,3
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1970s,1970,far_left,25,12,-2.88404,0.48328,7
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1980s,1980,left_wing,50,22,-2.00014,0.2592,4
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2010s,2010,far_right,73,35,1.5374931506849314,0.4879178082191781,6
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1980s,1980,centre_left,112,43,-1.0115446428571429,0.11278571428571428,2
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1970s,1970,centre_left,116,45,-1.182560344827586,0.1222413793103448,2
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1970s,1970,left_wing,48,21,-2.2538125,0.27297916666666666,4
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1970s,1970,far_right,30,12,1.8024333333333333,0.44306666666666666,6
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1980s,1980,far_right,21,10,1.932047619047619,0.43861904761904763,7
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1990s,1990,far_right,49,23,1.5570000000000002,0.4293673469387755,6
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,2000s,2000,far_right,45,22,1.6488666666666665,0.41113333333333335,6
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1990s,1990,centre_left,279,144,-0.6579534050179211,0.4197670250896057,1
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2000s,2000,centre_left,306,173,-0.48685620915032674,0.4177875816993464,1
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2010s,2010,centre_left,281,168,-0.4431992882562278,0.4377330960854093,2
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1990s,1990,centre_right,238,125,0.7360084033613447,0.5136050420168067,2
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2000s,2000,centre_right,308,162,0.7248993506493506,0.4990811688311688,2
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2010s,2010,centre_right,315,179,0.7791111111111111,0.49684761904761904,1
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1970s,1970,left_wing,63,45,-1.8094920634920635,0.6577777777777778,3
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2000s,2000,centre,187,105,0.21048128342245986,0.3776524064171123,3
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2010s,2010,centre,197,126,0.1909137055837563,0.4024467005076142,3
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1990s,1990,centre,155,86,0.11872903225806448,0.38451612903225807,3
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1970s,1970,centre_right,89,50,0.8135730337078652,0.7341910112359551,2
