vocab,group,decade,decade_start,tag,v2paid,v2paenname,v2pashname,country_name,n_obs,first_year,last_year,v2xpa_antiplural,v2xpa_popul,v2pariglef
rile_wikipedia,OECD,1970s,1970,centre,1474,Institutional Revolutionary Party,PRI,Mexico,4,1970,1979,0.93875,0.164,-0.60075
rile_wikipedia,OECD,1970s,1970,centre,362,Colombian Liberal Party,PLC,Colombia,3,1970,1978,0.8563333333333334,0.4786666666666667,-0.31433333333333335
rile_wikipedia,OECD,1970s,1970,centre,390,Christian Democratic Party,PDC,Chile,1,1973,1973,0.63,0.384,0.116
rile_wikipedia,OECD,1970s,1970,centre,1367,National Liberation Party,PLN,Costa Rica,3,1970,1978,0.38866666666666666,0.3943333333333333,-0.685
rile_wikipedia,OECD,1970s,1970,centre,934,Christian Democrats,DC,Italy,3,1972,1979,0.3293333333333333,0.072,0.454
rile_wikipedia,OECD,1970s,1970,centre,432,Democratic Party,Dem,United States of America,5,1970,1978,0.135,0.30219999999999997,-0.9378
rile_wikipedia,OECD,1970s,1970,centre,1808,Catholic Conservative / Christian Democratic Peoples Party,KK/CVP,Switzerland,3,1971,1979,0.108,0.059,0.349
rile_wikipedia,OECD,1970s,1970,centre,82,Union of the Democratic Centre,EDIK,Greece,2,1974,1977,0.076,0.423,0.043
rile_wikipedia,OECD,1970s,1970,centre,964,Progressive Party,F,Iceland,4,1971,1979,0.076,0.154,0.074
rile_wikipedia,OECD,1970s,1970,centre,1517,Union of Liberals and Leftist,Sfvm,Iceland,1,1971,1971,0.072,0.064,NA
rile_wikipedia,OECD,1970s,1970,centre,540,Liberal Party,Lib,United Kingdom,3,1970,1979,0.071,0.324,0.102
rile_wikipedia,OECD,1970s,1970,centre,281,Walloon Rally,RW,Belgium,2,1971,1974,0.067,0.295,-0.446
rile_wikipedia,OECD,1970s,1970,centre,800,Centre Democrats,CD,Denmark,2,1973,1977,0.058,0.3245,0.556
rile_wikipedia,OECD,1970s,1970,centre,867,Democratic Socialist Party,DSP,Japan,3,1972,1979,0.056,0.392,-0.653
rile_wikipedia,OECD,1970s,1970,centre,911,Social Credit / Democratic Party,SC/DP,New Zealand,3,1972,1978,0.05566666666666667,0.615,-0.143
rile_wikipedia,OECD,1970s,1970,centre,698,Front Démocratique des Francophones / DéFI,FDF,Belgium,1,1974,1974,0.053,0.416,1.198
rile_wikipedia,OECD,1970s,1970,centre,53,Christian People's Party / Christian Democrats,KrF/KD,Denmark,1,1975,1975,0.051,0.21,0.419
rile_wikipedia,OECD,1970s,1970,centre,1515,Clean Government Party / New Komeito,K,Japan,3,1972,1979,0.049,0.447,-0.951
