group,decade,decade_start,row_i,col_i,row_lab,col_lab,jaccard,n_pairs
OECD,1970s,1970,1,1,0.0-0.1,0.0-0.1,0.33955223880597013,381
OECD,1970s,1970,2,1,0.1-0.2,0.0-0.1,0.08029197080291971,381
OECD,1970s,1970,3,1,0.2-0.3,0.0-0.1,0.015873015873015872,381
OECD,1970s,1970,4,1,0.3-0.4,0.0-0.1,0.02459016393442623,381
OECD,1970s,1970,5,1,0.4-0.5,0.0-0.1,0,381
OECD,1970s,1970,6,1,0.5-0.6,0.0-0.1,0,381
OECD,1970s,1970,7,1,0.6-0.7,0.0-0.1,0,381
OECD,1970s,1970,8,1,0.7-0.8,0.0-0.1,0,381
OECD,1970s,1970,9,1,0.8-0.9,0.0-0.1,0.008403361344537815,381
OECD,1970s,1970,10,1,0.9-1.0,0.0-0.1,0.007462686567164179,381
OECD,1970s,1970,1,2,0.0-0.1,0.1-0.2,0.16666666666666666,381
OECD,1970s,1970,2,2,0.1-0.2,0.1-0.2,0.037383177570093455,381
OECD,1970s,1970,3,2,0.2-0.3,0.1-0.2,0,381
OECD,1970s,1970,4,2,0.3-0.4,0.1-0.2,0,381
OECD,1970s,1970,5,2,0.4-0.5,0.1-0.2,0.013157894736842105,381
OECD,1970s,1970,6,2,0.5-0.6,0.1-0.2,0.02631578947368421,381
OECD,1970s,1970,7,2,0.6-0.7,0.1-0.2,0,381
OECD,1970s,1970,8,2,0.7-0.8,0.1-0.2,0,381
OECD,1970s,1970,9,2,0.8-0.9,0.1-0.2,0.012195121951219513,381
OECD,1970s,1970,10,2,0.9-1.0,0.1-0.2,0.225,381
OECD,1970s,1970,1,3,0.0-0.1,0.2-0.3,0.1386861313868613,381
OECD,1970s,1970,2,3,0.1-0.2,0.2-0.3,0.10989010989010989,381
OECD,1970s,1970,3,3,0.2-0.3,0.2-0.3,0.08,381
OECD,1970s,1970,4,3,0.3-0.4,0.2-0.3,0.012987012987012988,381
OECD,1970s,1970,5,3,0.4-0.5,0.2-0.3,0,381
OECD,1970s,1970,6,3,0.5-0.6,0.2-0.3,0.014925373134328358,381
OECD,1970s,1970,7,3,0.6-0.7,0.2-0.3,0,381
OECD,1970s,1970,8,3,0.7-0.8,0.2-0.3,0,381
OECD,1970s,1970,9,3,0.8-0.9,0.2-0.3,0,381
OECD,1970s,1970,10,3,0.9-1.0,0.2-0.3,0.07317073170731707,381
OECD,1970s,1970,1,4,0.0-0.1,0.3-0.4,0.12260536398467432,381
OECD,1970s,1970,2,4,0.1-0.2,0.3-0.4,0.05128205128205128,381
OECD,1970s,1970,3,4,0.2-0.3,0.3-0.4,0.01639344262295082,381
OECD,1970s,1970,4,4,0.3-0.4,0.3-0.4,0.09259259259259259,381
OECD,1970s,1970,5,4,0.4-0.5,0.3-0.4,0,381
OECD,1970s,1970,6,4,0.5-0.6,0.3-0.4,0,381
OECD,1970s,1970,7,4,0.6-0.7,0.3-0.4,0.02127659574468085,381
OECD,1970s,1970,8,4,0.7-0.8,0.3-0.4,0,381
OECD,1970s,1970,9,4,0.8-0.9,0.3-0.4,0,381
OECD,1970s,1970,10,4,0.9-1.0,0.3-0.4,0,381
OECD,1970s,1970,1,5,0.0-0.1,0.4-0.5,0.05970149253731343,381
OECD,1970s,1970,2,5,0.1-0.2,0.4-0.5,0.15873015873015872,381
OECD,1970s,1970,3,5,0.2-0.3,0.4-0.5,0,381
OECD,1970s,1970,4,5,0.3-0.4,0.4-0.5,0.041666666666666664,381
OECD,1970s,1970,5,5,0.4-0.5,0.4-0.5,0.05405405405405406,381
OECD,1970s,1970,6,5,0.5-0.6,0.4-0.5,0.02564102564102564,381
OECD,1970s,1970,7,5,0.6-0.7,0.4-0.5,0,381
OECD,1970s,1970,8,5,0.7-0.8,0.4-0.5,0,381
OECD,1970s,1970,9,5,0.8-0.9,0.4-0.5,0.046511627906976744,381
OECD,1970s,1970,10,5,0.9-1.0,0.4-0.5,0.01694915254237288,381
OECD,1970s,1970,1,6,0.0-0.1,0.5-0.6,0.05019305019305019,381
OECD,1970s,1970,2,6,0.1-0.2,0.5-0.6,0,381
OECD,1970s,1970,3,6,0.2-0.3,0.5-0.6,0.025,381
OECD,1970s,1970,4,6,0.3-0.4,0.5-0.6,0.08571428571428572,381
OECD,1970s,1970,5,6,0.4-0.5,0.5-0.6,0,381
OECD,1970s,1970,6,6,0.5-0.6,0.5-0.6,0,381
OECD,1970s,1970,7,6,0.6-0.7,0.5-0.6,0,381
OECD,1970s,1970,8,6,0.7-0.8,0.5-0.6,0,381
OECD,1970s,1970,9,6,0.8-0.9,0.5-0.6,0.17857142857142858,381
OECD,1970s,1970,10,6,0.9-1.0,0.5-0.6,0,381
OECD,1970s,1970,1,7,0.0-0.1,0.6-0.7,0.03529411764705882,381
OECD,1970s,1970,2,7,0.1-0.2,0.6-0.7,0,381
OECD,1970s,1970,3,7,0.2-0.3,0.6-0.7,0.06451612903225806,381
OECD,1970s,1970,4,7,0.3-0.4,0.6-0.7,0,381
OECD,1970s,1970,5,7,0.4-0.5,0.6-0.7,0,381
OECD,1970s,1970,6,7,0.5-0.6,0.6-0.7,0.05263157894736842,381
