group,decade,decade_start,row_i,col_i,row_lab,col_lab,jaccard,n_pairs
OECD,1970s,1970,1,1,-4.3--2.0,0.0-0.0,0.021897810218978103,380
OECD,1970s,1970,2,1,-2.0--1.2,0.0-0.0,0.1553398058252427,380
OECD,1970s,1970,3,1,-1.2--0.8,0.0-0.0,0.09433962264150944,380
OECD,1970s,1970,4,1,-0.8--0.4,0.0-0.0,0.009708737864077669,380
OECD,1970s,1970,5,1,-0.4-0.1,0.0-0.0,0.035398230088495575,380
OECD,1970s,1970,6,1,0.1-0.5,0.0-0.0,0.11504424778761062,380
OECD,1970s,1970,7,1,0.5-1.0,0.0-0.0,0.09615384615384616,380
OECD,1970s,1970,8,1,1.0-1.4,0.0-0.0,0.0660377358490566,380
OECD,1970s,1970,9,1,1.4-1.8,0.0-0.0,0.08181818181818182,380
OECD,1970s,1970,10,1,1.8-4.2,0.0-0.0,0.07317073170731707,380
OECD,1970s,1970,1,2,-4.3--2.0,0.0-0.1,0.08275862068965517,380
OECD,1970s,1970,2,2,-2.0--1.2,0.0-0.1,0.05426356589147287,380
OECD,1970s,1970,3,2,-1.2--0.8,0.0-0.1,0.05555555555555555,380
OECD,1970s,1970,4,2,-0.8--0.4,0.0-0.1,0.05217391304347826,380
OECD,1970s,1970,5,2,-0.4-0.1,0.0-0.1,0.15517241379310345,380
OECD,1970s,1970,6,2,0.1-0.5,0.0-0.1,0.12598425196850394,380
OECD,1970s,1970,7,2,0.5-1.0,0.0-0.1,0.06504065040650407,380
OECD,1970s,1970,8,2,1.0-1.4,0.0-0.1,0.031746031746031744,380
OECD,1970s,1970,9,2,1.4-1.8,0.0-0.1,0.13333333333333333,380
OECD,1970s,1970,10,2,1.8-4.2,0.0-0.1,0.034722222222222224,380
OECD,1970s,1970,1,3,-4.3--2.0,0.1-0.1,0.11764705882352941,380
OECD,1970s,1970,2,3,-2.0--1.2,0.1-0.1,0.01818181818181818,380
OECD,1970s,1970,3,3,-1.2--0.8,0.1-0.1,0.11224489795918367,380
OECD,1970s,1970,4,3,-0.8--0.4,0.1-0.1,0.06593406593406594,380
OECD,1970s,1970,5,3,-0.4-0.1,0.1-0.1,0.1,380
OECD,1970s,1970,6,3,0.1-0.5,0.1-0.1,0.10185185185185185,380
OECD,1970s,1970,7,3,0.5-1.0,0.1-0.1,0.08080808080808081,380
OECD,1970s,1970,8,3,1.0-1.4,0.1-0.1,0.009523809523809525,380
OECD,1970s,1970,9,3,1.4-1.8,0.1-0.1,0.027522935779816515,380
OECD,1970s,1970,10,3,1.8-4.2,0.1-0.1,0.07758620689655173,380
OECD,1970s,1970,1,4,-4.3--2.0,0.1-0.2,0.06521739130434782,380
OECD,1970s,1970,2,4,-2.0--1.2,0.1-0.2,0.02666666666666667,380
OECD,1970s,1970,3,4,-1.2--0.8,0.1-0.2,0.07246376811594203,380
OECD,1970s,1970,4,4,-0.8--0.4,0.1-0.2,0,380
OECD,1970s,1970,5,4,-0.4-0.1,0.1-0.2,0,380
OECD,1970s,1970,6,4,0.1-0.5,0.1-0.2,0,380
OECD,1970s,1970,7,4,0.5-1.0,0.1-0.2,0.02857142857142857,380
OECD,1970s,1970,8,4,1.0-1.4,0.1-0.2,0.24561403508771928,380
OECD,1970s,1970,9,4,1.4-1.8,0.1-0.2,0,380
OECD,1970s,1970,10,4,1.8-4.2,0.1-0.2,0.13924050632911392,380
OECD,1970s,1970,1,5,-4.3--2.0,0.2-0.3,0.09230769230769231,380
OECD,1970s,1970,2,5,-2.0--1.2,0.2-0.3,0.02040816326530612,380
OECD,1970s,1970,3,5,-1.2--0.8,0.2-0.3,0.021739130434782608,380
OECD,1970s,1970,4,5,-0.8--0.4,0.2-0.3,0,380
OECD,1970s,1970,5,5,-0.4-0.1,0.2-0.3,0,380
OECD,1970s,1970,6,5,0.1-0.5,0.2-0.3,0.017857142857142856,380
OECD,1970s,1970,7,5,0.5-1.0,0.2-0.3,0,380
OECD,1970s,1970,8,5,1.0-1.4,0.2-0.3,0,380
