group,decade,decade_start,row_i,col_i,row_lab,col_lab,jaccard,n_pairs
OECD,1970s,1970,1,1,-4.3--2.0,0.0-0.0,0,213
OECD,1970s,1970,2,1,-2.0--1.2,0.0-0.0,0.21212121212121213,213
OECD,1970s,1970,3,1,-1.2--0.8,0.0-0.0,0.1111111111111111,213
OECD,1970s,1970,4,1,-0.8--0.4,0.0-0.0,0.014492753623188406,213
OECD,1970s,1970,5,1,-0.4-0.1,0.0-0.0,0.06153846153846154,213
OECD,1970s,1970,6,1,0.1-0.5,0.0-0.0,0.07317073170731707,213
OECD,1970s,1970,7,1,0.5-1.0,0.0-0.0,0.0273972602739726,213
OECD,1970s,1970,8,1,1.0-1.4,0.0-0.0,0.09090909090909091,213
OECD,1970s,1970,9,1,1.4-1.8,0.0-0.0,0.12698412698412698,213
OECD,1970s,1970,10,1,1.8-4.2,0.0-0.0,0.09195402298850575,213
OECD,1970s,1970,1,2,-4.3--2.0,0.0-0.1,0.12280701754385964,213
OECD,1970s,1970,2,2,-2.0--1.2,0.0-0.1,0.06779661016949153,213
OECD,1970s,1970,3,2,-1.2--0.8,0.0-0.1,0.03278688524590164,213
OECD,1970s,1970,4,2,-0.8--0.4,0.0-0.1,0,213
OECD,1970s,1970,5,2,-0.4-0.1,0.0-0.1,0.10638297872340426,213
OECD,1970s,1970,6,2,0.1-0.5,0.0-0.1,0.22413793103448276,213
OECD,1970s,1970,7,2,0.5-1.0,0.0-0.1,0.13725490196078433,213
OECD,1970s,1970,8,2,1.0-1.4,0.0-0.1,0,213
OECD,1970s,1970,9,2,1.4-1.8,0.0-0.1,0,213
OECD,1970s,1970,10,2,1.8-4.2,0.0-0.1,0.04,213
OECD,1970s,1970,1,3,-4.3--2.0,0.1-0.1,0.23076923076923078,213
OECD,1970s,1970,2,3,-2.0--1.2,0.1-0.1,0,213
OECD,1970s,1970,3,3,-1.2--0.8,0.1-0.1,0.125,213
OECD,1970s,1970,4,3,-0.8--0.4,0.1-0.1,0.06,213
OECD,1970s,1970,5,3,-0.4-0.1,0.1-0.1,0,213
OECD,1970s,1970,6,3,0.1-0.5,0.1-0.1,0.109375,213
OECD,1970s,1970,7,3,0.5-1.0,0.1-0.1,0.05454545454545454,213
OECD,1970s,1970,8,3,1.0-1.4,0.1-0.1,0,213
OECD,1970s,1970,9,3,1.4-1.8,0.1-0.1,0.038461538461538464,213
OECD,1970s,1970,10,3,1.8-4.2,0.1-0.1,0.09859154929577464,213
OECD,1970s,1970,1,4,-4.3--2.0,0.1-0.2,0,213
OECD,1970s,1970,2,4,-2.0--1.2,0.1-0.2,0,213
OECD,1970s,1970,3,4,-1.2--0.8,0.1-0.2,0.10204081632653061,213
OECD,1970s,1970,4,4,-0.8--0.4,0.1-0.2,0,213
OECD,1970s,1970,5,4,-0.4-0.1,0.1-0.2,0,213
OECD,1970s,1970,6,4,0.1-0.5,0.1-0.2,0,213
OECD,1970s,1970,7,4,0.5-1.0,0.1-0.2,0.0425531914893617,213
OECD,1970s,1970,8,4,1.0-1.4,0.1-0.2,0.3181818181818182,213
OECD,1970s,1970,9,4,1.4-1.8,0.1-0.2,0,213
OECD,1970s,1970,10,4,1.8-4.2,0.1-0.2,0.1896551724137931,213
OECD,1970s,1970,1,5,-4.3--2.0,0.2-0.3,0.10344827586206896,213
OECD,1970s,1970,2,5,-2.0--1.2,0.2-0.3,0.03333333333333333,213
OECD,1970s,1970,3,5,-1.2--0.8,0.2-0.3,0,213
OECD,1970s,1970,4,5,-0.8--0.4,0.2-0.3,0,213
OECD,1970s,1970,5,5,-0.4-0.1,0.2-0.3,0,213
OECD,1970s,1970,6,5,0.1-0.5,0.2-0.3,0.02631578947368421,213
OECD,1970s,1970,7,5,0.5-1.0,0.2-0.3,0,213
OECD,1970s,1970,8,5,1.0-1.4,0.2-0.3,0,213
OECD,1970s,1970,9,5,1.4-1.8,0.2-0.3,0,213
OECD,1970s,1970,10,5,1.8-4.2,0.2-0.3,0.09523809523809523,213
OECD,1970s,1970,1,6,-4.3--2.0,0.3-0.4,0,213
OECD,1970s,1970,2,6,-2.0--1.2,0.3-0.4,0.09375,213
OECD,1970s,1970,3,6,-1.2--0.8,0.3-0.4,0,213
OECD,1970s,1970,4,6,-0.8--0.4,0.3-0.4,0.13636363636363635,213
OECD,1970s,1970,5,6,-0.4-0.1,0.3-0.4,0,213
OECD,1970s,1970,6,6,0.1-0.5,0.3-0.4,0.04878048780487805,213
OECD,1970s,1970,7,6,0.5-1.0,0.3-0.4,0.07142857142857142,213
OECD,1970s,1970,8,6,1.0-1.4,0.3-0.4,0.08333333333333333,213
OECD,1970s,1970,9,6,1.4-1.8,0.3-0.4,0,213
OECD,1970s,1970,10,6,1.8-4.2,0.3-0.4,0,213
OECD,1970s,1970,1,7,-4.3--2.0,0.4-0.6,0,213
OECD,1970s,1970,2,7,-2.0--1.2,0.4-0.6,0,213
OECD,1970s,1970,3,7,-1.2--0.8,0.4-0.6,0,213
OECD,1970s,1970,4,7,-0.8--0.4,0.4-0.6,0,213
OECD,1970s,1970,5,7,-0.4-0.1,0.4-0.6,0,213
OECD,1970s,1970,6,7,0.1-0.5,0.4-0.6,0,213
OECD,1970s,1970,7,7,0.5-1.0,0.4-0.6,0.058823529411764705,213
OECD,1970s,1970,8,7,1.0-1.4,0.4-0.6,0,213
OECD,1970s,1970,9,7,1.4-1.8,0.4-0.6,0,213
OECD,1970s,1970,10,7,1.8-4.2,0.4-0.6,0,213
OECD,1970s,1970,1,8,-4.3--2.0,0.6-0.8,0.04,213
OECD,1970s,1970,2,8,-2.0--1.2,0.6-0.8,0,213
OECD,1970s,1970,3,8,-1.2--0.8,0.6-0.8,0,213
OECD,1970s,1970,4,8,-0.8--0.4,0.6-0.8,0,213
OECD,1970s,1970,5,8,-0.4-0.1,0.6-0.8,0,213
OECD,1970s,1970,6,8,0.1-0.5,0.6-0.8,0.03125,213
OECD,1970s,1970,7,8,0.5-1.0,0.6-0.8,0,213
OECD,1970s,1970,8,8,1.0-1.4,0.6-0.8,0.03571428571428571,213
OECD,1970s,1970,9,8,1.4-1.8,0.6-0.8,0,213
OECD,1970s,1970,10,8,1.8-4.2,0.6-0.8,0,213
OECD,1970s,1970,1,9,-4.3--2.0,0.8-0.9,0,213
OECD,1970s,1970,2,9,-2.0--1.2,0.8-0.9,0,213
OECD,1970s,1970,3,9,-1.2--0.8,0.8-0.9,0,213
OECD,1970s,1970,4,9,-0.8--0.4,0.8-0.9,0.125,213
OECD,1970s,1970,5,9,-0.4-0.1,0.8-0.9,0.13333333333333333,213
OECD,1970s,1970,6,9,0.1-0.5,0.8-0.9,0,213
OECD,1970s,1970,7,9,0.5-1.0,0.8-0.9,0,213
OECD,1970s,1970,8,9,1.0-1.4,0.8-0.9,0.03225806451612903,213
OECD,1970s,1970,9,9,1.4-1.8,0.8-0.9,0,213
OECD,1970s,1970,10,9,1.8-4.2,0.8-0.9,0.023809523809523808,213
OECD,1970s,1970,1,10,-4.3--2.0,0.9-1.0,0,213
OECD,1970s,1970,2,10,-2.0--1.2,0.9-1.0,0,213
OECD,1970s,1970,3,10,-1.2--0.8,0.9-1.0,0,213
OECD,1970s,1970,4,10,-0.8--0.4,0.9-1.0,0.16666666666666666,213
OECD,1970s,1970,5,10,-0.4-0.1,0.9-1.0,0,213
OECD,1970s,1970,6,10,0.1-0.5,0.9-1.0,0,213
OECD,1970s,1970,7,10,0.5-1.0,0.9-1.0,0,213
OECD,1970s,1970,8,10,1.0-1.4,0.9-1.0,0,213
