group,decade,decade_start,row_i,col_i,row_lab,col_lab,jaccard,n_pairs
OECD,1970s,1970,1,1,0.0-0.1,0.0-0.1,0.2972972972972973,213
OECD,1970s,1970,2,1,0.1-0.2,0.0-0.1,0.13580246913580246,213
OECD,1970s,1970,3,1,0.2-0.3,0.0-0.1,0,213
OECD,1970s,1970,4,1,0.3-0.4,0.0-0.1,0.046153846153846156,213
OECD,1970s,1970,5,1,0.4-0.5,0.0-0.1,0,213
OECD,1970s,1970,6,1,0.5-0.6,0.0-0.1,0,213
OECD,1970s,1970,7,1,0.6-0.7,0.0-0.1,0,213
OECD,1970s,1970,8,1,0.7-0.8,0.0-0.1,0,213
OECD,1970s,1970,9,1,0.8-0.9,0.0-0.1,0,213
OECD,1970s,1970,10,1,0.9-1.0,0.0-0.1,0,213
OECD,1970s,1970,1,2,0.0-0.1,0.1-0.2,0.22758620689655173,213
OECD,1970s,1970,2,2,0.1-0.2,0.1-0.2,0.04,213
OECD,1970s,1970,3,2,0.2-0.3,0.1-0.2,0,213
OECD,1970s,1970,4,2,0.3-0.4,0.1-0.2,0,213
OECD,1970s,1970,5,2,0.4-0.5,0.1-0.2,0.02127659574468085,213
OECD,1970s,1970,6,2,0.5-0.6,0.1-0.2,0,213
OECD,1970s,1970,7,2,0.6-0.7,0.1-0.2,0,213
OECD,1970s,1970,8,2,0.7-0.8,0.1-0.2,0,213
OECD,1970s,1970,9,2,0.8-0.9,0.1-0.2,0.02127659574468085,213
OECD,1970s,1970,10,2,0.9-1.0,0.1-0.2,0.12244897959183673,213
OECD,1970s,1970,1,3,0.0-0.1,0.2-0.3,0.11258278145695365,213
OECD,1970s,1970,2,3,0.1-0.2,0.2-0.3,0.0967741935483871,213
OECD,1970s,1970,3,3,0.2-0.3,0.2-0.3,0.15,213
OECD,1970s,1970,4,3,0.3-0.4,0.2-0.3,0.023255813953488372,213
OECD,1970s,1970,5,3,0.4-0.5,0.2-0.3,0,213
OECD,1970s,1970,6,3,0.5-0.6,0.2-0.3,0,213
OECD,1970s,1970,7,3,0.6-0.7,0.2-0.3,0,213
OECD,1970s,1970,8,3,0.7-0.8,0.2-0.3,0,213
OECD,1970s,1970,9,3,0.8-0.9,0.2-0.3,0,213
OECD,1970s,1970,10,3,0.9-1.0,0.2-0.3,0.0975609756097561,213
OECD,1970s,1970,1,4,0.0-0.1,0.3-0.4,0.13793103448275862,213
OECD,1970s,1970,2,4,0.1-0.2,0.3-0.4,0.06557377049180328,213
OECD,1970s,1970,3,4,0.2-0.3,0.3-0.4,0.023809523809523808,213
OECD,1970s,1970,4,4,0.3-0.4,0.3-0.4,0.1388888888888889,213
OECD,1970s,1970,5,4,0.4-0.5,0.3-0.4,0,213
OECD,1970s,1970,6,4,0.5-0.6,0.3-0.4,0,213
OECD,1970s,1970,7,4,0.6-0.7,0.3-0.4,0.03125,213
OECD,1970s,1970,8,4,0.7-0.8,0.3-0.4,0,213
OECD,1970s,1970,9,4,0.8-0.9,0.3-0.4,0,213
OECD,1970s,1970,10,4,0.9-1.0,0.3-0.4,0,213
OECD,1970s,1970,1,5,0.0-0.1,0.4-0.5,0.04666666666666667,213
OECD,1970s,1970,2,5,0.1-0.2,0.4-0.5,0.2127659574468085,213
OECD,1970s,1970,3,5,0.2-0.3,0.4-0.5,0,213
OECD,1970s,1970,4,5,0.3-0.4,0.4-0.5,0.03125,213
OECD,1970s,1970,5,5,0.4-0.5,0.4-0.5,0.08,213
OECD,1970s,1970,6,5,0.5-0.6,0.4-0.5,0.043478260869565216,213
OECD,1970s,1970,7,5,0.6-0.7,0.4-0.5,0,213
OECD,1970s,1970,8,5,0.7-0.8,0.4-0.5,0,213
OECD,1970s,1970,9,5,0.8-0.9,0.4-0.5,0.038461538461538464,213
OECD,1970s,1970,10,5,0.9-1.0,0.4-0.5,0.030303030303030304,213
OECD,1970s,1970,1,6,0.0-0.1,0.5-0.6,0.058823529411764705,213
OECD,1970s,1970,2,6,0.1-0.2,0.5-0.6,0,213
OECD,1970s,1970,3,6,0.2-0.3,0.5-0.6,0,213
OECD,1970s,1970,4,6,0.3-0.4,0.5-0.6,0,213
OECD,1970s,1970,5,6,0.4-0.5,0.5-0.6,0,213
OECD,1970s,1970,6,6,0.5-0.6,0.5-0.6,0,213
OECD,1970s,1970,7,6,0.6-0.7,0.5-0.6,0,213
OECD,1970s,1970,8,6,0.7-0.8,0.5-0.6,0,213
OECD,1970s,1970,9,6,0.8-0.9,0.5-0.6,0.16666666666666666,213
OECD,1970s,1970,10,6,0.9-1.0,0.5-0.6,0,213
OECD,1970s,1970,1,7,0.0-0.1,0.6-0.7,0.02962962962962963,213
OECD,1970s,1970,2,7,0.1-0.2,0.6-0.7,0,213
OECD,1970s,1970,3,7,0.2-0.3,0.6-0.7,0,213
OECD,1970s,1970,4,7,0.3-0.4,0.6-0.7,0,213
OECD,1970s,1970,5,7,0.4-0.5,0.6-0.7,0,213
OECD,1970s,1970,6,7,0.5-0.6,0.6-0.7,0,213
OECD,1970s,1970,7,7,0.6-0.7,0.6-0.7,0,213
OECD,1970s,1970,8,7,0.7-0.8,0.6-0.7,0.2,213
OECD,1970s,1970,9,7,0.8-0.9,0.6-0.7,0,213
OECD,1970s,1970,10,7,0.9-1.0,0.6-0.7,0,213
OECD,1970s,1970,1,8,0.0-0.1,0.7-0.8,0,213
OECD,1970s,1970,2,8,0.1-0.2,0.7-0.8,0,213
OECD,1970s,1970,3,8,0.2-0.3,0.7-0.8,0.3076923076923077,213
OECD,1970s,1970,4,8,0.3-0.4,0.7-0.8,0,213
OECD,1970s,1970,5,8,0.4-0.5,0.7-0.8,0,213
OECD,1970s,1970,6,8,0.5-0.6,0.7-0.8,0,213
OECD,1970s,1970,7,8,0.6-0.7,0.7-0.8,0.16666666666666666,213
OECD,1970s,1970,8,8,0.7-0.8,0.7-0.8,0,213
OECD,1970s,1970,9,8,0.8-0.9,0.7-0.8,0,213
OECD,1970s,1970,10,8,0.9-1.0,0.7-0.8,0,213
OECD,1970s,1970,1,9,0.0-0.1,0.8-0.9,0.007462686567164179,213
OECD,1970s,1970,2,9,0.1-0.2,0.8-0.9,0,213
OECD,1970s,1970,3,9,0.2-0.3,0.8-0.9,0,213
OECD,1970s,1970,4,9,0.3-0.4,0.8-0.9,0,213
OECD,1970s,1970,5,9,0.4-0.5,0.8-0.9,0,213
OECD,1970s,1970,6,9,0.5-0.6,0.8-0.9,0,213
OECD,1970s,1970,7,9,0.6-0.7,0.8-0.9,0,213
OECD,1970s,1970,8,9,0.7-0.8,0.8-0.9,0,213
OECD,1970s,1970,9,9,0.8-0.9,0.8-0.9,0,213
OECD,1970s,1970,10,9,0.9-1.0,0.8-0.9,0,213
OECD,1970s,1970,1,10,0.0-0.1,0.9-1.0,0,213
OECD,1970s,1970,2,10,0.1-0.2,0.9-1.0,0,213
OECD,1970s,1970,3,10,0.2-0.3,0.9-1.0,0.07692307692307693,213
OECD,1970s,1970,4,10,0.3-0.4,0.9-1.0,0,213
OECD,1970s,1970,5,10,0.4-0.5,0.9-1.0,0.2,213
OECD,1970s,1970,6,10,0.5-0.6,0.9-1.0,0,213
OECD,1970s,1970,7,10,0.6-0.7,0.9-1.0,0,213
OECD,1970s,1970,8,10,0.7-0.8,0.9-1.0,0,213
OECD,1970s,1970,9,10,0.8-0.9,0.9-1.0,0,213
OECD,1970s,1970,10,10,0.9-1.0,0.9-1.0,0,213
OECD,1980s,1980,1,1,0.0-0.1,0.0-0.1,0.2785714285714286,200
OECD,1980s,1980,2,1,0.1-0.2,0.0-0.1,0.0958904109589041,200
OECD,1980s,1980,3,1,0.2-0.3,0.0-0.1,0,200
OECD,1980s,1980,4,1,0.3-0.4,0.0-0.1,0.037037037037037035,200
OECD,1980s,1980,5,1,0.4-0.5,0.0-0.1,0,200
OECD,1980s,1980,6,1,0.5-0.6,0.0-0.1,0,200
OECD,1980s,1980,7,1,0.6-0.7,0.0-0.1,0.018867924528301886,200
OECD,1980s,1980,8,1,0.7-0.8,0.0-0.1,0.019230769230769232,200
OECD,1980s,1980,9,1,0.8-0.9,0.0-0.1,0,200
OECD,1980s,1980,10,1,0.9-1.0,0.0-0.1,0,200
OECD,1980s,1980,1,2,0.0-0.1,0.1-0.2,0.2536231884057971,200
OECD,1980s,1980,2,2,0.1-0.2,0.1-0.2,0.027777777777777776,200
OECD,1980s,1980,3,2,0.2-0.3,0.1-0.2,0,200
OECD,1980s,1980,4,2,0.3-0.4,0.1-0.2,0,200
OECD,1980s,1980,5,2,0.4-0.5,0.1-0.2,0,200
OECD,1980s,1980,6,2,0.5-0.6,0.1-0.2,0,200
OECD,1980s,1980,7,2,0.6-0.7,0.1-0.2,0.02127659574468085,200
OECD,1980s,1980,8,2,0.7-0.8,0.1-0.2,0,200
OECD,1980s,1980,9,2,0.8-0.9,0.1-0.2,0.044444444444444446,200
OECD,1980s,1980,10,2,0.9-1.0,0.1-0.2,0.09090909090909091,200
OECD,1980s,1980,1,3,0.0-0.1,0.2-0.3,0.1118421052631579,200
OECD,1980s,1980,2,3,0.1-0.2,0.2-0.3,0.20689655172413793,200
OECD,1980s,1980,3,3,0.2-0.3,0.2-0.3,0.10869565217391304,200
OECD,1980s,1980,4,3,0.3-0.4,0.2-0.3,0.022222222222222223,200
OECD,1980s,1980,5,3,0.4-0.5,0.2-0.3,0.023255813953488372,200
OECD,1980s,1980,6,3,0.5-0.6,0.2-0.3,0.045454545454545456,200
OECD,1980s,1980,7,3,0.6-0.7,0.2-0.3,0.023255813953488372,200
OECD,1980s,1980,8,3,0.7-0.8,0.2-0.3,0.023809523809523808,200
OECD,1980s,1980,9,3,0.8-0.9,0.2-0.3,0,200
OECD,1980s,1980,10,3,0.9-1.0,0.2-0.3,0,200
OECD,1980s,1980,1,4,0.0-0.1,0.3-0.4,0.16666666666666666,200
OECD,1980s,1980,2,4,0.1-0.2,0.3-0.4,0.05084745762711865,200
OECD,1980s,1980,3,4,0.2-0.3,0.3-0.4,0.023809523809523808,200
OECD,1980s,1980,4,4,0.3-0.4,0.3-0.4,0.05555555555555555,200
OECD,1980s,1980,5,4,0.4-0.5,0.3-0.4,0.02857142857142857,200
OECD,1980s,1980,6,4,0.5-0.6,0.3-0.4,0.02702702702702703,200
OECD,1980s,1980,7,4,0.6-0.7,0.3-0.4,0,200
OECD,1980s,1980,8,4,0.7-0.8,0.3-0.4,0,200
OECD,1980s,1980,9,4,0.8-0.9,0.3-0.4,0.029411764705882353,200
OECD,1980s,1980,10,4,0.9-1.0,0.3-0.4,0,200
OECD,1980s,1980,1,5,0.0-0.1,0.4-0.5,0.03676470588235294,200
OECD,1980s,1980,2,5,0.1-0.2,0.4-0.5,0.16666666666666666,200
OECD,1980s,1980,3,5,0.2-0.3,0.4-0.5,0,200
OECD,1980s,1980,4,5,0.3-0.4,0.4-0.5,0,200
OECD,1980s,1980,5,5,0.4-0.5,0.4-0.5,0.06666666666666667,200
OECD,1980s,1980,6,5,0.5-0.6,0.4-0.5,0,200
OECD,1980s,1980,7,5,0.6-0.7,0.4-0.5,0,200
OECD,1980s,1980,8,5,0.7-0.8,0.4-0.5,0,200
OECD,1980s,1980,9,5,0.8-0.9,0.4-0.5,0,200
OECD,1980s,1980,10,5,0.9-1.0,0.4-0.5,0,200
OECD,1980s,1980,1,6,0.0-0.1,0.5-0.6,0.04580152671755725,200
OECD,1980s,1980,2,6,0.1-0.2,0.5-0.6,0,200
OECD,1980s,1980,3,6,0.2-0.3,0.5-0.6,0,200
OECD,1980s,1980,4,6,0.3-0.4,0.5-0.6,0,200
OECD,1980s,1980,5,6,0.4-0.5,0.5-0.6,0,200
OECD,1980s,1980,6,6,0.5-0.6,0.5-0.6,0.07692307692307693,200
OECD,1980s,1980,7,6,0.6-0.7,0.5-0.6,0.09090909090909091,200
OECD,1980s,1980,8,6,0.7-0.8,0.5-0.6,0,200
OECD,1980s,1980,9,6,0.8-0.9,0.5-0.6,0,200
OECD,1980s,1980,10,6,0.9-1.0,0.5-0.6,0,200
OECD,1980s,1980,1,7,0.0-0.1,0.6-0.7,0.022900763358778626,200
OECD,1980s,1980,2,7,0.1-0.2,0.6-0.7,0,200
OECD,1980s,1980,3,7,0.2-0.3,0.6-0.7,0.06666666666666667,200
OECD,1980s,1980,4,7,0.3-0.4,0.6-0.7,0.1,200
OECD,1980s,1980,5,7,0.4-0.5,0.6-0.7,0,200
OECD,1980s,1980,6,7,0.5-0.6,0.6-0.7,0,200
OECD,1980s,1980,7,7,0.6-0.7,0.6-0.7,0,200
OECD,1980s,1980,8,7,0.7-0.8,0.6-0.7,0,200
OECD,1980s,1980,9,7,0.8-0.9,0.6-0.7,0,200
OECD,1980s,1980,10,7,0.9-1.0,0.6-0.7,0,200
OECD,1980s,1980,1,8,0.0-0.1,0.7-0.8,0,200
OECD,1980s,1980,2,8,0.1-0.2,0.7-0.8,0,200
OECD,1980s,1980,3,8,0.2-0.3,0.7-0.8,0.06666666666666667,200
OECD,1980s,1980,4,8,0.3-0.4,0.7-0.8,0,200
OECD,1980s,1980,5,8,0.4-0.5,0.7-0.8,0.125,200
OECD,1980s,1980,6,8,0.5-0.6,0.7-0.8,0.2222222222222222,200
OECD,1980s,1980,7,8,0.6-0.7,0.7-0.8,0,200
OECD,1980s,1980,8,8,0.7-0.8,0.7-0.8,0.14285714285714285,200
OECD,1980s,1980,9,8,0.8-0.9,0.7-0.8,0,200
OECD,1980s,1980,10,8,0.9-1.0,0.7-0.8,0,200
OECD,1980s,1980,1,9,0.0-0.1,0.8-0.9,0.007633587786259542,200
OECD,1980s,1980,2,9,0.1-0.2,0.8-0.9,0,200
OECD,1980s,1980,3,9,0.2-0.3,0.8-0.9,0.16666666666666666,200
OECD,1980s,1980,4,9,0.3-0.4,0.8-0.9,0,200
OECD,1980s,1980,5,9,0.4-0.5,0.8-0.9,0,200
OECD,1980s,1980,6,9,0.5-0.6,0.8-0.9,0,200
OECD,1980s,1980,7,9,0.6-0.7,0.8-0.9,0,200
OECD,1980s,1980,8,9,0.7-0.8,0.8-0.9,0,200
OECD,1980s,1980,9,9,0.8-0.9,0.8-0.9,0,200
OECD,1980s,1980,10,9,0.9-1.0,0.8-0.9,0,200
OECD,1980s,1980,1,10,0.0-0.1,0.9-1.0,0,200
OECD,1980s,1980,2,10,0.1-0.2,0.9-1.0,0,200
OECD,1980s,1980,3,10,0.2-0.3,0.9-1.0,0.09090909090909091,200
OECD,1980s,1980,4,10,0.3-0.4,0.9-1.0,0,200
OECD,1980s,1980,5,10,0.4-0.5,0.9-1.0,0,200
OECD,1980s,1980,6,10,0.5-0.6,0.9-1.0,0,200
OECD,1980s,1980,7,10,0.6-0.7,0.9-1.0,0,200
OECD,1980s,1980,8,10,0.7-0.8,0.9-1.0,0,200
OECD,1980s,1980,9,10,0.8-0.9,0.9-1.0,0,200
OECD,1980s,1980,10,10,0.9-1.0,0.9-1.0,0,200
OECD,1990s,1990,1,1,0.0-0.1,0.0-0.1,0.2512820512820513,299
OECD,1990s,1990,2,1,0.1-0.2,0.0-0.1,0.10679611650485436,299
OECD,1990s,1990,3,1,0.2-0.3,0.0-0.1,0.012048192771084338,299
OECD,1990s,1990,4,1,0.3-0.4,0.0-0.1,0.014492753623188406,299
OECD,1990s,1990,5,1,0.4-0.5,0.0-0.1,0,299
OECD,1990s,1990,6,1,0.5-0.6,0.0-0.1,0,299
OECD,1990s,1990,7,1,0.6-0.7,0.0-0.1,0.028169014084507043,299
OECD,1990s,1990,8,1,0.7-0.8,0.0-0.1,0,299
OECD,1990s,1990,9,1,0.8-0.9,0.0-0.1,0,299
OECD,1990s,1990,10,1,0.9-1.0,0.0-0.1,0,299
OECD,1990s,1990,1,2,0.0-0.1,0.1-0.2,0.23958333333333334,299
OECD,1990s,1990,2,2,0.1-0.2,0.1-0.2,0.02857142857142857,299
OECD,1990s,1990,3,2,0.2-0.3,0.1-0.2,0,299
OECD,1990s,1990,4,2,0.3-0.4,0.1-0.2,0,299
OECD,1990s,1990,5,2,0.4-0.5,0.1-0.2,0,299
OECD,1990s,1990,6,2,0.5-0.6,0.1-0.2,0.046153846153846156,299
OECD,1990s,1990,7,2,0.6-0.7,0.1-0.2,0.08064516129032258,299
OECD,1990s,1990,8,2,0.7-0.8,0.1-0.2,0.015873015873015872,299
OECD,1990s,1990,9,2,0.8-0.9,0.1-0.2,0,299
OECD,1990s,1990,10,2,0.9-1.0,0.1-0.2,0,299
