window,treatment_def,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_se,first_stage_pval,first_stage_bandwidth
1,backsliding_Nyr,instr-antiplural_w1_trt-ert_gapany_illib0p6535_opp0p6535_exclyr,backsliding_Nyr,411,8,0.10466268913530978,0.08399856351196992,0.21276230166357335,19.70134272258157
1,backsliding_union_Nyr,instr-antiplural_w1_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,11,0.19838245155103076,0.10712830995597449,0.064051534441115,16.285278960946616
1,polyarchy_decline,instr-antiplural_w1_trt-polyarchy_gapany_illib0p6535_opp0p6535_exclyr,polyarchy_decline,411,165,-0.01322131656568396,0.0349491586797904,0.7052066862173691,24.47490842549715
2,backsliding_Nyr,instr-antiplural_w2_trt-ert_gapany_illib0p6535_opp0p6535_exclyr,backsliding_Nyr,411,19,0.09455636062415942,0.10179119331082714,0.35292807615244737,24.21437109632619
2,backsliding_union_Nyr,instr-antiplural_w2_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,25,0.21228377296521775,0.13591435300534954,0.11831303068019564,16.499689843993405
2,polyarchy_decline,instr-antiplural_w2_trt-polyarchy_gapany_illib0p6535_opp0p6535_exclyr,polyarchy_decline,411,164,-0.02675005006648318,0.03751816255951688,0.4758523518171646,24.293473037447768
3,backsliding_Nyr,instr-antiplural_w3_trt-ert_gapany_illib0p6535_opp0p6535_exclyr,backsliding_Nyr,411,29,0.19477702371579247,0.1288604939273434,0.13065244119310054,17.22603463009407
3,backsliding_union_Nyr,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,36,0.2749461733294192,0.1470573351235328,0.06153203387347997,15.317262020716903
3,polyarchy_decline,instr-antiplural_w3_trt-polyarchy_gapany_illib0p6535_opp0p6535_exclyr,polyarchy_decline,408,170,-0.02085158370333104,0.04027182512857652,0.6046180448732421,25.23682523774348
4,backsliding_Nyr,instr-antiplural_w4_trt-ert_gapany_illib0p6535_opp0p6535_exclyr,backsliding_Nyr,411,37,0.05896428169387818,0.12466663095172018,0.6362305464899884,22.306224128627548
