window,treatment_def,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_se,first_stage_pval,first_stage_bandwidth
1,backsliding_Nyr,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.02411701828176231,0.818043455571702,21.549205739817655
1,backsliding_union_Nyr,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.02896223166553094,0.22476252016136705,23.31416401303321
1,polyarchy_decline,instr-antiplural_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1345,512,0.00161869786072989,0.01271347877018684,0.8986860268262793,18.019067250786843
2,backsliding_Nyr,instr-antiplural_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,55,0.02864820936200531,0.0328730513221749,0.38349207837443,16.682439395316038
2,backsliding_union_Nyr,instr-antiplural_w2_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,68,0.04876789427802609,0.03473249472121904,0.1602890870013493,22.440315065931497
2,polyarchy_decline,instr-antiplural_w2_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1345,513,0.01269211058549025,0.01667962829501378,0.4466959769998855,17.833245651104107
3,backsliding_Nyr,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,86,0.0200562447726809,0.04253770105045807,0.6372884405124029,20.237818285183447
3,backsliding_union_Nyr,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.04351252801610526,0.42191145431880867,23.62908203438811
3,polyarchy_decline,instr-antiplural_w3_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1324,520,0.01538851495698445,0.01775955974012649,0.3862204573246898,19.4833308405294
4,backsliding_Nyr,instr-antiplural_w4_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,109,-0.03605616021198836,0.05422467349522013,0.5060888015350986,19.299450035143295
4,backsliding_union_Nyr,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.00333398945557966,0.0573448694528938,0.953637685906834,20.1782333694835
4,polyarchy_decline,instr-antiplural_w4_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1312,516,0.01428862305015261,0.01803690395341721,0.4282509293854387,20.439993032074547
5,backsliding_Nyr,instr-antiplural_w5_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,21.07844457946703
5,backsliding_union_Nyr,instr-antiplural_w5_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,165,-0.00261451800376313,0.05926284912982699,0.96481088787662,22.632203518603777
5,polyarchy_decline,instr-antiplural_w5_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1289,496,0.01745794410575638,0.01811206963972612,0.3351038102958821,23.202699767878123
6,backsliding_Nyr,instr-antiplural_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,-0.01624640810176091,0.05759858347884709,0.7778954850487703,22.18024289573912
6,backsliding_union_Nyr,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.00696367858523727,0.06004882110571252,0.9076787357618036,22.869635196476
6,polyarchy_decline,instr-antiplural_w6_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1258,458,0.02518257227965461,0.0193487904299578,0.1930852158938366,23.93160237863443
