window,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
1,backsliding_Nyr,Y_gdp_growth,PWT,growth,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1309,31,-0.00902477008541974,0.01113827704376143,0.41779748033839015,-13.498750172505694,277.25037593387106,0.9611679855150534,19.29404208166276
1,backsliding_Nyr,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1325,31,0.00502093933850035,0.01028145571395084,0.6253026097100192,-0.4511758688522871,89.15756982834499,0.995962376226236,19.02709320291271
1,backsliding_Nyr,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1025,25,0.00419518160627826,0.01153671738298206,0.7161288147600475,4.256718954554892,23.269637061740752,0.8548528002596189,22.05364997176916
1,backsliding_Nyr,Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1221,29,0.00621326112270648,0.13081711395980855,0.9621180920432324,-26.3616264053336,873.3726711040979,0.9759205410820594,20.52616209134474
1,backsliding_Nyr,Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,939,28,0.08025154420907284,0.3329900720370499,0.809552935975638,33.99754087908188,456.0281656845566,0.9405716389442634,18.18575159422336
1,backsliding_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1193,27,-0.3066512423328622,1.879676429092092,0.8704078586757436,49.3101170713977,306.47093409254256,0.8721748767763343,16.090221360814283
1,backsliding_Nyr,Y_top10_share,Top-10% income share,top10,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1239,29,-0.3957128881757156,0.36023307143523453,0.2719900227604715,-637.7015576243841,7278.608865827371,0.930184182150949,19.158064715223276
1,backsliding_Nyr,Y_gini_disp,Disposable,gini,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1083,27,0.08306427990633879,0.15194626043932993,0.5846062926352427,28.02180018827164,500.6371469363812,0.9553638936718162,21.29079404448509
1,backsliding_Nyr,Y_gini_mkt,Market,gini,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1083,27,0.04822128475809771,0.15311642011087231,0.7528131637700839,-55.21880274928873,625.6950776525968,0.9296764383319428,27.983904400612992
1,backsliding_Nyr,Y_debt,Debt / GDP,fiscal,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1289,31,-3.007159470266342,3.748425517995502,0.4224106579686762,929.627918047784,19287.022620459396,0.9615571217612366,21.818685840182795
1,backsliding_Nyr,Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1141,27,1.1001962823067295,0.8354505729117829,0.18787558828704684,332.049337927115,9038.154281108218,0.970693413142679,21.794830588375007
1,backsliding_Nyr,Y_checks_balances,Checks & balances,institutions,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1321,31,-0.00428665666136311,0.01199052902984612,0.7207148711192755,-3.165676606430355,110.0758099631504,0.9770567543212224,17.927926427220736
1,backsliding_Nyr,Y_jucon,Judicial constraints,institutions,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1345,31,0.00438789137082169,0.01060308555958594,0.6789974737146658,1.8277091710555204,5.938220481116581,0.7582441446108152,15.59351659753085
1,backsliding_Nyr,Y_legcon,Legislative constraints,institutions,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1321,31,-0.01830775577499237,0.01670779107991342,0.27318312014438667,-11.576564480952255,267.328786533825,0.9654587294288264,17.43563213595069
1,backsliding_Nyr,Y_hos_power,HOS,exec_power,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1345,31,-7.314305497977307e-4,0.01082449743109133,0.9461265210149457,-36.63171928719421,266.8253204540284,0.890803733783356,23.19417718606755
1,backsliding_Nyr,Y_hog_power,HOG,exec_power,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,705,18,0.01346159241729264,0.01358762870486739,0.3218202767264445,1.716516772270549,4.28167607717133,0.6884949823672231,11.350255326619765
1,backsliding_Nyr,Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1345,31,-0.00816810204075653,0.01831310834195766,0.6555792704731069,-2.3035514228339964,13.121007599931575,0.8606379931282806,16.19036137180911
1,backsliding_Nyr,Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.00554841371021789,0.818043455571702,1345,31,0.01455274303574197,0.01548870885963782,0.34743761223335384,2.523816619036629,10.926393435618818,0.8173276190562654,13.039993718913529
1,backsliding_union_Nyr,Y_gdp_growth,PWT,growth,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.22476252016136705,1309,41,-0.00902477008541974,0.01113827704376143,0.41779748033839015,-0.46151353757512736,0.4824350215802829,0.33875223795456494,19.194604218409282
1,backsliding_union_Nyr,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.22476252016136705,1325,41,0.00502093933850035,0.01028145571395084,0.6253026097100192,0.23320070119260897,0.598497512171323,0.6968001368392639,26.72840220217001
1,backsliding_union_Nyr,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.22476252016136705,1025,31,0.00419518160627826,0.01153671738298206,0.7161288147600475,0.2847544033161713,1.4165224994589158,0.8406801476479095,20.608413189033296
1,backsliding_union_Nyr,Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.22476252016136705,1221,37,0.00621326112270648,0.13081711395980855,0.9621180920432324,0.2970022925739536,3.4269164642621317,0.9309358081271952,17.679909986932675
1,backsliding_union_Nyr,Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.22476252016136705,939,33,0.08025154420907284,0.3329900720370499,0.809552935975638,-0.5498853808231061,29.086034148110443,0.9849165094524024,17.21681947770631
1,backsliding_union_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.22476252016136705,1193,35,-0.3066512423328622,1.879676429092092,0.8704078586757436,-8.258968450146494,64.73276434636158,0.8984769290984563,17.814861573334298
1,backsliding_union_Nyr,Y_top10_share,Top-10% income share,top10,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.22476252016136705,1239,37,-0.3957128881757156,0.36023307143523453,0.2719900227604715,-49.28071417809177,139.3073941819257,0.7235223552726054,20.107159230825783
1,backsliding_union_Nyr,Y_gini_disp,Disposable,gini,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.22476252016136705,1083,32,0.08306427990633879,0.15194626043932993,0.5846062926352427,6.547618602845556,24.689130680342284,0.7908534871015106,21.18324966327225
1,backsliding_union_Nyr,Y_gini_mkt,Market,gini,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.22476252016136705,1083,32,0.04822128475809771,0.15311642011087231,0.7528131637700839,4.297354827618668,22.37094166384827,0.8476674836726519,22.87450567563655
1,backsliding_union_Nyr,Y_debt,Debt / GDP,fiscal,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.22476252016136705,1289,41,-3.007159470266342,3.748425517995502,0.4224106579686762,-60.168972042472085,114.87032188498272,0.6004182744632436,17.05997754337219
1,backsliding_union_Nyr,Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.03515902707629998,0.22476252016136705,1141,30,1.1001962823067295,0.8354505729117829,0.18787558828704684,42.53750227399078,122.85947870119249,0.7291706965639557,18.702038348772135
