window,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
1,backsliding_Nyr,Y_gdp_growth,PWT,growth,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1328,0,-0.00317421236215147,0.00691717873517408,0.6463143840259695,NA,NA,NA,NA
1,backsliding_Nyr,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1321,0,-0.00350984655925788,0.00692019259708836,0.6120221114579827,NA,NA,NA,NA
1,backsliding_Nyr,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1007,0,-0.00254272109918184,0.00780000051327138,0.7444320246836091,NA,NA,NA,NA
1,backsliding_Nyr,Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1216,0,0.00590447410112023,0.0470701516406023,0.9001753189766664,NA,NA,NA,NA
1,backsliding_Nyr,Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,907,0,0.05825943959463542,0.22170204714308897,0.7927181502359255,NA,NA,NA,NA
1,backsliding_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1186,0,-2.1799843074399656,2.1200490190720265,0.3038225054705288,NA,NA,NA,NA
1,backsliding_Nyr,Y_top10_share,Top-10% income share,top10,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1228,0,-0.2824841107888447,0.18907444618149388,0.13516609744939576,NA,NA,NA,NA
1,backsliding_Nyr,Y_gini_disp,Disposable,gini,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1090,0,-0.07165594941882136,0.07063167156778136,0.31034342850965413,NA,NA,NA,NA
1,backsliding_Nyr,Y_gini_mkt,Market,gini,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1090,0,0.062648389336247,0.07870869336552645,0.4260595849383292,NA,NA,NA,NA
1,backsliding_Nyr,Y_debt,Debt / GDP,fiscal,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1281,0,0.18345124683282732,2.6880084796741497,0.9455882044775678,NA,NA,NA,NA
