window,treatment_def,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_se,first_stage_pval,first_stage_bandwidth
1,backsliding_Nyr,instr-econleft_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,32,0.03306264832469638,0.02358248492285427,0.1609151901836016,20.515369531470025
1,backsliding_union_Nyr,instr-econleft_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1343,42,0.02226144538186177,0.03389496136141943,0.5113240430609545,21.249487653059894
1,polyarchy_decline,instr-econleft_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,511,-0.00543316961993609,0.01252829988740489,0.6645268305232358,19.61847592574998
2,backsliding_Nyr,instr-econleft_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,55,0.00887923714717958,0.03416548124402049,0.7949492973736851,17.397435896775146
2,backsliding_union_Nyr,instr-econleft_w2_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1343,68,-0.01091238060164488,0.04249010606934971,0.7973164298284645,18.87535419767095
2,polyarchy_decline,instr-econleft_w2_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1341,512,-0.00730318998811624,0.01615398255321613,0.6511980819132479,21.899548804304832
3,backsliding_Nyr,instr-econleft_w3_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,86,0.0228220900618713,0.04418463730581245,0.6054937834886701,15.804781902387036
3,backsliding_union_Nyr,instr-econleft_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1343,100,-8.807944383749378e-4,0.05050477829342104,0.9860857391203188,17.636473765710498
3,polyarchy_decline,instr-econleft_w3_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1320,518,-0.00999532634835378,0.01807067945688637,0.5801785094965055,22.31939406325496
4,backsliding_Nyr,instr-econleft_w4_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,109,0.05528859640401322,0.05321810008077002,0.29884851752444697,15.59301704016247
4,backsliding_union_Nyr,instr-econleft_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1343,129,0.02560981349096544,0.05880346504441982,0.6631883769782467,17.467856533755977
4,polyarchy_decline,instr-econleft_w4_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1308,514,-0.01028405456602096,0.01757031477780531,0.5583403013014985,24.352661551715496
5,backsliding_Nyr,instr-econleft_w5_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,142,0.08538085094379595,0.0589706230981232,0.14765789434167237,14.978250874661152
5,backsliding_union_Nyr,instr-econleft_w5_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1343,165,0.05580372076840124,0.06555689503489426,0.39464393064937775,15.59964588959031
5,polyarchy_decline,instr-econleft_w5_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1285,494,-0.0140523141998678,0.01774783431655469,0.4284911365249324,26.119562138498868
6,backsliding_Nyr,instr-econleft_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,164,0.0557433086698141,0.05355386024941018,0.2979298009251384,21.892271205977067
6,backsliding_union_Nyr,instr-econleft_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1343,186,0.06154339113360546,0.06566153359919812,0.3486133816075362,17.14250759049023
6,polyarchy_decline,instr-econleft_w6_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1254,455,-0.01495825424531768,0.01890362550708103,0.42877464618933664,26.24985761715864
7,backsliding_Nyr,instr-econleft_w7_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,177,0.06417043517372709,0.05695024795366599,0.25983525022731035,20.740695056707423
7,backsliding_union_Nyr,instr-econleft_w7_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1343,201,0.0715634274755834,0.06917056930996979,0.30085874980026317,16.256920649089167
7,polyarchy_decline,instr-econleft_w7_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1218,424,-0.0109392785368349,0.02194532212694342,0.6181465856473625,23.05990234760693
8,backsliding_Nyr,instr-econleft_w8_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,202,0.01857343825907145,0.05509277898349282,0.7360187706688008,24.50429891237552
8,backsliding_union_Nyr,instr-econleft_w8_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1343,226,0.05082477342156857,0.07072281092993737,0.4723581197867271,16.69329902359778
8,polyarchy_decline,instr-econleft_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1190,416,-0.00783725727713676,0.02405927728555117,0.7446151559453706,21.2461168524157
9,backsliding_Nyr,instr-econleft_w9_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,221,0.04344909786291354,0.0591783413622498,0.4628231502289462,23.605026037150985
9,backsliding_union_Nyr,instr-econleft_w9_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1343,246,0.07017757633745778,0.07434743738297812,0.34521367057852853,16.495913594851924
9,polyarchy_decline,instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1165,397,-0.01078801088099362,0.02394043245369927,0.652264256222153,23.403857751175327
10,backsliding_Nyr,instr-econleft_w10_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1343,248,0.10868772005993747,0.06915623387414856,0.11603736387837718,17.026006643782054
10,backsliding_union_Nyr,instr-econleft_w10_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1343,273,0.06953399736892271,0.06590943204096639,0.2914284711759077,21.974023209041857
10,polyarchy_decline,instr-econleft_w10_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1129,385,-0.00695631235395059,0.02419892616629632,0.7737573084447267,27.131928994405794
