window,treatment_def,spec,treatment,n_first_stage,first_stage_coef,first_stage_se,first_stage_pval,first_stage_bandwidth
1,backsliding_Nyr,instr-antiplural_w1_trt-ert_gapany_illib0p6,backsliding_Nyr,649,0.01965370722402688,0.07248563162244373,0.7862838558679854,30.40926437379459
1,backsliding_union_Nyr,instr-antiplural_w1_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.04372311525010188,0.08001261422656358,0.5847547399323667,27.899710708308064
1,polyarchy_decline,instr-antiplural_w1_trt-polyarchy_gapany_illib0p6,polyarchy_decline,648,0.00918205192348275,0.03196621470828512,0.7739267304402538,20.80590815841003
2,backsliding_Nyr,instr-antiplural_w2_trt-ert_gapany_illib0p6,backsliding_Nyr,649,0.06315861937232038,0.10520300834474348,0.5482730451285005,23.790983414449713
2,backsliding_union_Nyr,instr-antiplural_w2_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.05732689433121882,0.09278305161720768,0.5366679262946941,31.124977148211094
2,polyarchy_decline,instr-antiplural_w2_trt-polyarchy_gapany_illib0p6,polyarchy_decline,648,0.01804243733974649,0.03500783035361275,0.6062854752104857,20.605722605530485
3,backsliding_Nyr,instr-antiplural_w3_trt-ert_gapany_illib0p6,backsliding_Nyr,649,0.08680264313562237,0.1012714904055029,0.3913740767525128,29.260258394432153
3,backsliding_union_Nyr,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.11812913034754452,0.11753153319528224,0.314856129932727,23.22792943561738
3,polyarchy_decline,instr-antiplural_w3_trt-polyarchy_gapany_illib0p6,polyarchy_decline,638,0.02003255262818032,0.03679565519889294,0.5861475868366584,20.19166340240956
4,backsliding_Nyr,instr-antiplural_w4_trt-ert_gapany_illib0p6,backsliding_Nyr,649,0.03485304968441338,0.0996449293156252,0.7265094866667436,32.60171272419324
4,backsliding_union_Nyr,instr-antiplural_w4_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.06795674702278873,0.1132092622901979,0.5483226409957789,27.420000926036742
4,polyarchy_decline,instr-antiplural_w4_trt-polyarchy_gapany_illib0p6,polyarchy_decline,635,0.02543386420562638,0.03862973357676257,0.51028034350969,19.60663462085524
5,backsliding_Nyr,instr-antiplural_w5_trt-ert_gapany_illib0p6,backsliding_Nyr,649,0.10473390899041644,0.11465195345515967,0.3609826161953141,25.59612726980459
5,backsliding_union_Nyr,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1281595279258432,0.12062941259440647,0.2880434505148893,25.338549814561222
5,polyarchy_decline,instr-antiplural_w5_trt-polyarchy_gapany_illib0p6,polyarchy_decline,624,0.02903379504709226,0.04175145434771731,0.48680715611935865,18.844671881919503
6,backsliding_Nyr,instr-antiplural_w6_trt-ert_gapany_illib0p6,backsliding_Nyr,649,0.1431382223120274,0.14360064282877957,0.31887139758793975,18.891800563615153
6,backsliding_union_Nyr,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.1483351434344355,0.21464449222825524,18.88146993844412
6,polyarchy_decline,instr-antiplural_w6_trt-polyarchy_gapany_illib0p6,polyarchy_decline,608,0.04265119252343674,0.04720908745236253,0.3662855125667133,18.439825881744735
7,backsliding_Nyr,instr-antiplural_w7_trt-ert_gapany_illib0p6,backsliding_Nyr,649,0.1465626922196675,0.14535783501459767,0.31331578806914084,18.168777939377037
7,backsliding_union_Nyr,instr-antiplural_w7_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.18915995379377976,0.15026758971982132,0.20809509863580497,18.110930263749793
7,polyarchy_decline,instr-antiplural_w7_trt-polyarchy_gapany_illib0p6,polyarchy_decline,590,0.04004502930301948,0.05039493451772486,0.426832197212497,17.27238087102376
8,backsliding_Nyr,instr-antiplural_w8_trt-ert_gapany_illib0p6,backsliding_Nyr,649,0.06373623974708564,0.13445426541477468,0.6354738242452185,20.73255957574564
8,backsliding_union_Nyr,instr-antiplural_w8_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.0741471319405761,0.1319047036929933,0.5740298213298705,22.99258087251582
8,polyarchy_decline,instr-antiplural_w8_trt-polyarchy_gapany_illib0p6,polyarchy_decline,572,0.04911922534333515,0.05435408545196429,0.3661599801299712,16.883169043993348
9,backsliding_Nyr,instr-antiplural_w9_trt-ert_gapany_illib0p6,backsliding_Nyr,649,0.09473013040043238,0.1312437553470703,0.4704250030298771,22.831340456118813
9,backsliding_union_Nyr,instr-antiplural_w9_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.07905099253828018,0.11780886497422366,0.5022138019066582,31.05500245059076
9,polyarchy_decline,instr-antiplural_w9_trt-polyarchy_gapany_illib0p6,polyarchy_decline,561,0.04924658090667862,0.05943823394647872,0.4073683082255519,16.70785552078477
10,backsliding_Nyr,instr-antiplural_w10_trt-ert_gapany_illib0p6,backsliding_Nyr,649,0.11342546228960088,0.1342882111626525,0.3983107556694064,21.873930861158883
10,backsliding_union_Nyr,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.10575677048955416,0.1231879462880496,0.39061679519509207,27.59628943203536
10,polyarchy_decline,instr-antiplural_w10_trt-polyarchy_gapany_illib0p6,polyarchy_decline,541,0.06537288186133287,0.06533433982395404,0.31702510530358985,16.19389891565058
