window,treatment_def,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_se,first_stage_pval,first_stage_bandwidth
1,backsliding_Nyr,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.02581389739361134,0.1801274640644511,20.069988346387017
1,backsliding_union_Nyr,instr-popul_w1_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,42,0.05861788251472439,0.03640618249716578,0.1073742999426611,21.150156351347743
1,polyarchy_decline,instr-popul_w1_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1345,512,-0.00912388661824142,0.01284360417831165,0.4774662495348427,17.07459092498358
2,backsliding_Nyr,instr-popul_w2_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,55,0.02413067645471939,0.03454983467954231,0.4849076794332208,17.19458213779166
2,backsliding_union_Nyr,instr-popul_w2_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,68,0.04155016534244436,0.04412161872042006,0.346336540098184,18.387513615986823
2,polyarchy_decline,instr-popul_w2_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1345,513,0.00635131907725877,0.01556748547703413,0.6832838142206241,21.97320902719465
3,backsliding_Nyr,instr-popul_w3_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,86,0.01085375297508466,0.04554706420478951,0.8116503356538518,18.355941952658153
3,backsliding_union_Nyr,instr-popul_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.02801466027683734,0.05233940457048283,0.5924770753910618,19.434777669186097
3,polyarchy_decline,instr-popul_w3_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1324,520,0.00607044202952704,0.01713501817169089,0.7231357111067493,21.969527583432495
4,backsliding_Nyr,instr-popul_w4_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,109,-0.0172922441010008,0.05185510346382738,0.7387777447328973,18.033674293324808
4,backsliding_union_Nyr,instr-popul_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.00564098073047905,0.05889603951543117,0.9236964069201906,18.52774446213851
4,polyarchy_decline,instr-popul_w4_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1312,516,-4.2824536728073345e-4,0.01754247538230695,0.9805240466657386,22.96276114609995
5,backsliding_Nyr,instr-popul_w5_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,142,0.0186867467355085,0.05697491439472962,0.7429252676296731,18.402442567680932
5,backsliding_union_Nyr,instr-popul_w5_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,165,0.03649263570489569,0.06449265656577877,0.5715013828564717,17.311653225050396
5,polyarchy_decline,instr-popul_w5_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1289,496,-0.00954912129200897,0.01777413880913975,0.5910962894823764,26.00273663105049
6,backsliding_Nyr,instr-popul_w6_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,164,0.01707439604525368,0.05568608046191525,0.7591335848654681,21.2711872030425
6,backsliding_union_Nyr,instr-popul_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.0524208525112981,0.06654538904290337,0.4308453942642352,17.053852138150848
6,polyarchy_decline,instr-popul_w6_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1258,458,-0.00371493052945164,0.01930379046149698,0.8473931360036411,25.41854957635621
