outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1207,0.03868986334844356,0.02450044597948431,0.11430180439132813,-2.883595399962506,5.083627242497203,0.5705566563050863,23.999188090769657
Y_gdp_growth_wb,World Bank,growth,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1240,0.0332109627260498,0.023224545870250777,0.15271872285947483,-355.3148820774863,1316.0207949591324,0.7871665276996226,20.98089202671321
Y_gdp_growth_imf,IMF WEO,growth,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,950,0.014404002837346525,0.020532364383719984,0.48297434731102057,0.1340062334801249,0.7776337784993158,0.8631815332030695,20.902660565222288
Y_inflation,"CPI, cumulative log",inflation,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1135,0.42750152659458807,0.19699609249187455,0.029999153442777263,-141.90891194250952,641.3560110583063,0.8248869816900775,18.17585204898016
Y_unemployment,Unemployment rate,unemployment,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,883,0.012325944043832138,0.5340711466727533,0.9815870834687304,-1.5439922456459307,126.41825789063027,0.9902553874018373,20.397452922606824
Y_trade_pct_gdp,Trade / GDP,trade,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1115,-3.7502871598058736,3.224734802089106,0.24483949432795374,711.0433852618917,2394.7248110667097,0.7665270463924744,19.45507511326601
Y_top10_share,Top-10% income share,top10,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1152,0.1250533821896842,0.6016908703578128,0.8353565572034789,-429.23254325257085,2162.5495895340796,0.8426660218408358,19.924738176752584
Y_gini_disp,Disposable,gini,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,975,0.3344493163566059,0.3496020615394142,0.3387403262664697,-24.25650872015407,51.87001392090922,0.6400418424998567,16.44776153058142
Y_gini_mkt,Market,gini,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,975,0.5652190403493325,0.3305524343443552,0.08728020771796353,-25.259287220208762,48.930647403793444,0.6056963613833029,17.290466620560313
Y_debt,Debt / GDP,fiscal,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1201,-2.454296433929047,13.168927718802486,0.8521544158224335,48723.53119657251,135120.16233775893,0.718402912321051,20.872489127416205
Y_deficit,Deficit / GDP,fiscal,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1053,2.0404140834298228,1.9675649956427992,0.2997242076791358,-75.27740434403734,117.48433405663964,0.5216888991127744,23.43328376564982
Y_checks_balances,Checks & balances,institutions,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1259,0.03199740020400432,0.01677603325507094,0.056478109195920924,-1.5328869035235575,2.8143862393231966,0.5859865751359041,18.097264739701476
Y_jucon,Judicial constraints,institutions,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1289,0.004660123148131718,0.020048829184860253,0.8161973185793402,-53.05691614249639,306.5623120871868,0.8625959523226168,17.930605632931503
Y_legcon,Legislative constraints,institutions,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1259,0.03703328565677132,0.022464321936547394,0.09924234419698622,-1.7547818408612195,2.859817913969807,0.5394802454432408,18.452073815889413
Y_hos_power,HOS,exec_power,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1289,0.005450641631529787,0.013865417115608562,0.6942378385440126,-1.7622147517781244,6.81609698480393,0.7959923292017288,19.26841882525535
Y_hog_power,HOG,exec_power,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,659,-0.017175459803715758,0.011118330241864764,0.12239762337737642,0.21523137042881332,0.19163634420233897,0.26138485000399125,19.37887193215169
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1289,-0.004692479830735985,0.02022292016421895,0.8165087343819862,0.05907522036576888,1.4352536623792471,0.9671682422363072,21.65126212124914
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-anteli_w5_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,0.016545983996042846,0.8112337235186857,1289,0.011276491471572886,0.02021834171244271,0.5770248589272521,-0.5764969822446477,2.2484610411623547,0.7976448821363707,21.667273356587668
