outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,595,0.10667511981553002,0.053246339258861436,0.04513154410741954,-0.6703729169495884,0.5749441663939049,0.24362287089136747,24.111700683917263
Y_gdp_growth_wb,World Bank,growth,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,619,0.10925256600189262,0.04547894943216679,0.016293823994375855,-0.7087923198898468,0.651212187987503,0.2764097695770697,23.82359908856102
Y_gdp_growth_imf,IMF WEO,growth,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,484,0.1027487651815985,0.037535320015343134,0.006192905015339766,-3.3056205556825273,7.315935740125164,0.6513854180956917,19.995108506683525
Y_inflation,"CPI, cumulative log",inflation,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,561,0.1739862303964373,0.24277156998930952,0.4735799544356036,-1.1047586440618435,2.2457865009093436,0.6227723266343419,25.601154232779045
Y_unemployment,Unemployment rate,unemployment,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,488,-0.7268907703523085,0.650288155560871,0.26365329519166847,6.19037800016042,7.522764705442309,0.4105728064376082,23.73482249911535
Y_trade_pct_gdp,Trade / GDP,trade,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,544,-6.850456612359203,5.525901380650319,0.2150866000818509,83.75029223935161,100.3622494689767,0.40401054003873504,18.274056111647127
Y_top10_share,Top-10% income share,top10,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,584,0.36287800892104594,1.003668760475358,0.7176871664171025,-3.3140933740082485,8.702059287336002,0.7033218811302421,27.399109348142296
Y_gini_disp,Disposable,gini,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,482,-0.024133901534879487,0.554840881350533,0.9653053735620011,-0.5985957118720409,3.9874390642254087,0.8806696720752258,24.208913519472837
Y_gini_mkt,Market,gini,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,482,0.15113324422842633,0.4737971461381939,0.7497393893094995,-0.6413746518111576,3.5022585182646258,0.8546946619524062,26.029300848042023
Y_debt,Debt / GDP,fiscal,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,594,-15.7232227902565,24.15832555099947,0.5151492901505907,98.3857236844906,191.10984995444338,0.6066841079154524,28.774676764980967
Y_deficit,Deficit / GDP,fiscal,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,516,1.6175752568746702,2.0177930586197337,0.4227521623658956,-14.621925587886105,28.77590345697832,0.6113615497129767,26.404546505769797
Y_checks_balances,Checks & balances,institutions,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,627,0.06655657203498086,0.030327264007246987,0.02819145499365161,-0.5363520492959432,0.4593474290195499,0.24295234450756717,22.780746488463883
Y_jucon,Judicial constraints,institutions,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,640,0.04935522183581009,0.024255989301563072,0.04187459172489722,-0.3325117552537558,0.33788876439157656,0.32507300775506864,22.986384740692312
Y_legcon,Legislative constraints,institutions,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,627,0.08632103592785896,0.04247531458177538,0.04212697686186381,-0.7057542490707125,0.5987658956827472,0.23852504824164364,22.360272516294934
Y_hos_power,HOS,exec_power,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,640,0.011195020638185182,0.023520318258910745,0.6340940922467235,-0.08043058401550252,0.21630260213680452,0.7100098304052869,21.86777200934814
Y_hog_power,HOG,exec_power,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,290,-0.04738814645139708,0.025859331842772247,0.06687166140115193,0.1373396719333896,0.10031451375824031,0.17097091232525483,14.242910588641417
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,640,-0.012253752926162606,0.03288934229993888,0.7094646416179836,0.07535419862371717,0.3341500491698256,0.8215824978712242,21.733152126157172
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-anteli_w5_trt-ert_gapany_illib0p33,backsliding_Nyr,673,-0.13436217779642817,0.13213343620811385,640,0.009008713376292226,0.03878098594610839,0.8163072085152963,-0.03689176431213895,0.3333062689944384,0.9118667123361149,22.65086198717034
