outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1207,0.03868986334844356,0.02450044597948431,0.11430180439132813,-0.8254765099445331,0.8526552524262004,0.332982154371349,28.426753544424763
Y_gdp_growth_wb,World Bank,growth,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1240,0.0332109627260498,0.023224545870250777,0.15271872285947483,-3.4619327621250546,6.682175666497803,0.6043991969665654,19.566627800290654
Y_gdp_growth_imf,IMF WEO,growth,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,950,0.014404002837346525,0.020532364383719984,0.48297434731102057,0.13116799199821008,0.6302513187567783,0.8351351628675412,21.587410661591864
Y_inflation,"CPI, cumulative log",inflation,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1135,0.42750152659458807,0.19699609249187455,0.029999153442777263,-37.10503525173026,65.44832549189887,0.5707574215893567,19.087169077025457
Y_unemployment,Unemployment rate,unemployment,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,883,0.012325944043832138,0.5340711466727533,0.9815870834687304,-2.493189330944373,21.485403808698063,0.9076199894016226,26.45753465567062
Y_trade_pct_gdp,Trade / GDP,trade,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1115,-3.7502871598058736,3.224734802089106,0.24483949432795374,332.5619530890478,859.0063409641889,0.6986471902693708,15.9576172667223
Y_top10_share,Top-10% income share,top10,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1152,0.1250533821896842,0.6016908703578128,0.8353565572034789,-102.09968499470253,476.5878923053392,0.8303672757343941,23.375919293781656
Y_gini_disp,Disposable,gini,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,975,0.3344493163566059,0.3496020615394142,0.3387403262664697,-66.87830221645586,185.19838802356415,0.718011921078711,16.453489037680207
Y_gini_mkt,Market,gini,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,975,0.5652190403493325,0.3305524343443552,0.08728020771796353,-44.89096505125154,106.94471202172306,0.674661794677607,18.180466286307674
Y_debt,Debt / GDP,fiscal,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1201,-2.454296433929047,13.168927718802486,0.8521544158224335,162.87709047126873,554.548828627545,0.7689787488216264,21.989271231760753
Y_deficit,Deficit / GDP,fiscal,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1053,2.0404140834298228,1.9675649956427992,0.2997242076791358,-85.1992151582024,143.1313491806005,0.5516750672330348,26.382190101273608
Y_checks_balances,Checks & balances,institutions,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1259,0.03199740020400432,0.01677603325507094,0.056478109195920924,-2.067417506116785,4.19469593359428,0.6221081989708873,20.273902231879795
Y_jucon,Judicial constraints,institutions,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1289,0.004660123148131718,0.020048829184860253,0.8161973185793402,-0.3875931445743731,0.8664969251900254,0.6546509103304545,20.94678229700979
Y_legcon,Legislative constraints,institutions,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1259,0.03703328565677132,0.022464321936547394,0.09924234419698622,-2.7291711642151752,5.714010729065942,0.6329150421924975,19.566897738913276
Y_hos_power,HOS,exec_power,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1289,0.005450641631529787,0.013865417115608562,0.6942378385440126,-0.0795571712416155,0.39534353843401765,0.8405144013866068,23.72216011452754
Y_hog_power,HOG,exec_power,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,659,-0.017175459803715758,0.011118330241864764,0.12239762337737642,0.38999534154096666,0.39236822323250903,0.32024603639507515,16.815003135266117
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1289,-0.004692479830735985,0.02022292016421895,0.8165087343819862,0.06487992261486468,0.4714814529729533,0.8905497249437356,23.76005252674107
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-anteli_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.020136351956414944,0.7403779365248088,1289,0.011276491471572886,0.02021834171244271,0.5770248589272521,-0.18119548201910918,0.4993983247960583,0.716733693352221,23.665501117554587
