outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,595,0.10667511981553002,0.053246339258861436,0.04513154410741954,-3.3720520987112788,3.308782546997673,0.30814519267583373,18.388853508849383
Y_gdp_growth_wb,World Bank,growth,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,619,0.10925256600189262,0.04547894943216679,0.016293823994375855,-2.683870539514303,2.1392523441167186,0.20963002243520104,18.90458183696257
Y_gdp_growth_imf,IMF WEO,growth,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,484,0.1027487651815985,0.037535320015343134,0.006192905015339766,-1.5037152831054281,1.0030309665230441,0.13382918679234135,19.41638379484785
Y_inflation,"CPI, cumulative log",inflation,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,561,0.1739862303964373,0.24277156998930952,0.4735799544356036,-4.576914986472994,6.570062350158895,0.48603318993963207,23.19958768515604
Y_unemployment,Unemployment rate,unemployment,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,488,-0.7268907703523085,0.650288155560871,0.26365329519166847,14.509029191019039,12.18356384526134,0.23370499350294227,25.536817987116887
Y_trade_pct_gdp,Trade / GDP,trade,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,544,-6.850456612359203,5.525901380650319,0.2150866000818509,91.56302170281263,140.70227032982518,0.515203204078217,23.303237680294252
Y_top10_share,Top-10% income share,top10,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,584,0.36287800892104594,1.003668760475358,0.7176871664171025,-7.751193853116904,23.830575936505298,0.7449823733154857,20.151636302456325
Y_gini_disp,Disposable,gini,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,482,-0.024133901534879487,0.554840881350533,0.9653053735620011,0.24770873334899202,11.331706407508399,0.9825597992654136,16.820158716377076
Y_gini_mkt,Market,gini,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,482,0.15113324422842633,0.4737971461381939,0.7497393893094995,2.3505134388298834,10.94406221486662,0.8299425687170521,16.785056082384557
Y_debt,Debt / GDP,fiscal,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,594,-15.7232227902565,24.15832555099947,0.5151492901505907,329.0769429585097,584.177940716551,0.5732195359944375,25.779626829072242
Y_deficit,Deficit / GDP,fiscal,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,516,1.6175752568746702,2.0177930586197337,0.4227521623658956,-39.07344578123502,65.72850887897613,0.5521996419404396,26.775833570789846
Y_checks_balances,Checks & balances,institutions,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,627,0.06655657203498086,0.030327264007246987,0.02819145499365161,-1.653890279915926,0.664713941181316,0.012841918286486068,22.582093667811776
Y_jucon,Judicial constraints,institutions,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,640,0.04935522183581009,0.024255989301563072,0.04187459172489722,-1.0102003775562038,0.6594750908382336,0.1255656450994251,20.3801658219662
Y_legcon,Legislative constraints,institutions,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,627,0.08632103592785896,0.04247531458177538,0.04212697686186381,-2.1662390772544335,0.8805759532383869,0.013892724214753474,22.642849068847603
Y_hos_power,HOS,exec_power,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,640,0.011195020638185182,0.023520318258910745,0.6340940922467235,-0.2712465968975446,0.6829702018202346,0.691251472643415,18.155193782671972
Y_hog_power,HOG,exec_power,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,290,-0.04738814645139708,0.025859331842772247,0.06687166140115193,1.029843271932526,0.8129605313120588,0.20523346815129262,20.136641283705437
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,640,-0.012253752926162606,0.03288934229993888,0.7094646416179836,0.21628340807164217,0.8683056318358257,0.8032936960910633,21.944434628599584
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-anteli_w5_trt-polyarchy_gapany_illib0p33,polyarchy_decline,640,-0.04359658151332703,0.08437006311443432,640,0.009008713376292226,0.03878098594610839,0.8163072085152963,-0.43489798352075243,0.9894758857545429,0.6602822001585831,18.012715190053832
