outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,323,90,-0.1718670780454911,0.09218320536146661,0.06226447214735012,-0.6323792906278362,0.6071661211414934,0.29763150105991315,17.377615877095238
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,331,92,-0.08711757905948594,0.08056766348144327,0.27956498704755955,-0.418263087820387,0.4368841734347661,0.33837673921294165,18.23241443724514
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,249,71,-0.1885316592139324,0.09648638445634121,0.0507045707864312,-0.43039212938842963,0.4859712575255545,0.37581538213102184,17.459211020812322
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,286,82,1.0101844201107144,0.9251708504126043,0.27488163407447547,0.39767170268613317,5.183299000591548,0.9388449118850021,20.917989172126735
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,227,77,-3.253354119509342,1.9026099365913394,0.08727645504787201,-3.247185034737473,6.484951387214526,0.6165638339565509,23.719431514113506
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,303,84,7.649795614220121,7.579695440665791,0.3128555124500235,7.987293732329359,43.954598934532434,0.8558048976288852,18.6103523019299
Y_top10_share,Top-10% income share,top10,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,298,85,-0.7113360978374653,1.6579008516931648,0.667880808161108,-2.1967939727546524,6.059904943763441,0.7169687535740524,19.570395963407478
Y_gini_disp,Disposable,gini,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,232,68,2.527023700299357,1.1798303396958416,0.032205275584992754,4.684236306464381,9.37956524850147,0.6174915050174254,19.48778272472076
Y_gini_mkt,Market,gini,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,232,68,1.8068114459173183,1.024837702142659,0.07789677419903751,3.5070518963228867,7.577183405594474,0.643476377296238,20.535750251661053
Y_debt,Debt / GDP,fiscal,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,316,88,-6.7673883313803636,52.98957385275682,0.8983771340573002,69.68399483596136,232.42719528347868,0.7643220955955821,18.56151714782861
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,249,73,1.686082820718722,3.5495402374301603,0.6347766905172088,9.806205710428092,34.844668989508236,0.7783834607097899,21.83170040725463
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,337,93,0.07257190149989895,0.06438630946103721,0.2596864671037881,0.2584483650725373,0.651433985014888,0.6915609595155721,21.262982637106724
Y_jucon,Judicial constraints,institutions,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,0.0736208422690587,0.0572450212561476,0.1984202314136429,0.3085036567408666,0.5684149268067202,0.5873062376237621,21.132117705889826
Y_legcon,Legislative constraints,institutions,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,337,93,0.059734386689955433,0.08732842874707221,0.4939625738430634,0.14808535093763012,0.7011910280248498,0.8327381036544543,20.791979343823257
Y_hos_power,HOS,exec_power,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,-0.0777318507294743,0.057665004503270154,0.17766159165794992,-0.24573846734739718,0.393010273841219,0.5317923075882621,18.842901167473364
Y_hog_power,HOG,exec_power,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,120,61,0.05590598737567511,0.06158215725276689,0.3639692679214995,-1.9106097498064942,8.194411575167514,0.8156370944751387,25.004384556393084
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,0.05861242253306009,0.06158619171284473,0.34124219822651064,0.13349334731029022,0.34855019212572097,0.7017226917787187,20.52534996148909
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,-0.03735518873224834,0.07045672796154966,0.5959828000228677,-0.07965204725640682,0.3155019784660781,0.8006845049050778,18.916343394993735
Y_polyarchy,Electoral (polyarchy),vdem_high,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,-0.006856872949984091,0.07563547376046145,0.9277652670193345,-0.03477913114437055,0.38193850589720263,0.9274453095391795,20.972861139683804
Y_libdem,Liberal,vdem_high,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,0.0028130520390779457,0.06200972969936442,0.9638166269115362,-0.006794077413095685,0.33443847605200183,0.9837921859406084,20.79029315981514
Y_partipdem,Participatory,vdem_high,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,-0.010395767334868203,0.048336532894718065,0.8297122720604151,-0.041204942126348856,0.2290232219147775,0.8572185135322175,20.87150190180164
Y_delibdem,Deliberative,vdem_high,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,0.0010970272499858519,0.07818350987117821,0.9888048977834953,-0.011483233272949943,0.40862574178450195,0.9775807351546715,20.91994225892164
Y_egaldem,Egalitarian,vdem_high,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,-0.024413870825787554,0.04783843137169546,0.6098131996399405,-0.05648894066076465,0.19822231339868285,0.775661220101247,19.831286088663347
Y_elecoff,Elected officials,vdem_electoral,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,0.04762286437437796,0.13263276940050234,0.7195516584299162,0.12230918895151491,0.8240336361038809,0.882005459452687,21.449049892414806
Y_frefair,Clean elections,vdem_electoral,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,-0.03540240881912135,0.13033933833873554,0.7859163569518165,-0.1379926535725528,0.6069699828038778,0.8201541226308594,20.95101421040951
Y_frassoc,Association,vdem_electoral,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,0.008977156101777635,0.07366511523716399,0.9030063990204282,0.035139457751775544,0.3785913096646158,0.9260494737334772,19.65662943899162
Y_suffr,Suffrage,vdem_electoral,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,0.015189523657261901,0.011219923073877912,0.1758004269156157,-0.0013214609168067278,0.038133327178688864,0.9723558800107904,18.42135669438985
Y_freexp,Expression & alt. info,vdem_electoral,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,-0.001658097872505454,0.07401714143021364,0.9821276528016557,-0.020050119748833313,0.36552781127651146,0.956255962429148,20.045089618198173
Y_cl_rol,Rule of law,vdem_liberal,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,-0.023648392253888262,0.056805505689177103,0.6771871407382386,-0.15586609345612237,0.30155788007266626,0.6052472073409305,19.522242812115426
Y_cspart,Civil society,vdem_particip,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,0.060749210005700584,0.07003096325484136,0.3856888412745938,0.22346005873557345,0.5464584903934673,0.6825953456689345,21.145864713644524
Y_dd,Direct democracy,vdem_particip,instr-antiplural_w10_trt-ertOrDdcg_gapany_illib0p6535_opp0p6535_exclyr,backsliding_union_Nyr,411,109,0.17391449798615846,0.2849663864280984,348,95,0.0036187512535021914,0.029421602610621028,0.9021099473558203,0.017094057976881915,0.14515669323683633,0.9062556092786647,20.47558732659012
