outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w10_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1316,354,0.01648743826514308,0.577635288676461,1288,349,0.021031331336499176,0.039494361447109806,0.5943695055186768,2.455841132780175,6.112796281752884,0.6878649855152903,18.79328277178935
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w10_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1316,354,0.01648743826514308,0.577635288676461,1255,345,0.01231775833045659,0.041081092020416696,0.7642991339659098,1.5438491368210487,5.712044989872587,0.7869451715938496,20.785954658389997
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w10_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1316,354,0.01648743826514308,0.577635288676461,806,232,0.01308601282462743,0.0429665050043124,0.7606989121604598,-0.06512506924052897,1.8172110522695724,0.9714115945270951,21.089627197326084
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w10_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1316,354,0.01648743826514308,0.577635288676461,1110,299,-0.20663731355397996,0.35799431655695546,0.5637987080181478,-40.27550318898395,653.791052617649,0.950878972023752,27.721311836514566
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w10_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1316,354,0.01648743826514308,0.577635288676461,653,246,-0.025568562604425193,0.8237816339993864,0.9752392072964156,-8.849787042303937,128.852671511498,0.9452431919543177,24.169399863857823
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w10_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1316,354,0.01648743826514308,0.577635288676461,1049,311,2.380097500101103,4.1355679094684055,0.5649404111679768,95.82162404368967,234.56495402698602,0.6829008717100322,24.580113218682254
Y_top10_share,Top-10% income share,top10,instr-antiplural_w10_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1316,354,0.01648743826514308,0.577635288676461,1077,300,-1.3933510084286589,0.8014561454178283,0.082118466822931,83.50766845282513,127.51950272491169,0.512556649204686,18.957605850620055
Y_gini_disp,Disposable,gini,instr-antiplural_w10_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1316,354,0.01648743826514308,0.577635288676461,863,261,-0.3420722683840018,0.608399660778455,0.5739461930691632,102.43672637154566,325.50775595619075,0.7529907609385466,25.543582821629293
Y_gini_mkt,Market,gini,instr-antiplural_w10_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1316,354,0.01648743826514308,0.577635288676461,863,261,0.08778293995033348,0.5759335994581194,0.8788568603301989,-10.042672561925928,119.77864309103538,0.9331807827684281,22.753356995414727
Y_debt,Debt / GDP,fiscal,instr-antiplural_w10_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1316,354,0.01648743826514308,0.577635288676461,1171,325,-9.42511775917279,11.322025161971268,0.4051501099990045,244.17338359549908,1360.7614144860083,0.8575931745194683,17.78589505654988
