outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1328,14,-0.003174212362151478,0.0069171787351740895,0.6463143840259695,0.1208179925554221,0.7140482121334524,0.8656381896393326,14.53770359100369
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1321,14,-0.0035098465592578836,0.006920192597088362,0.6120221114579827,0.12803729704122752,1.3160218192277142,0.9224951713712798,15.441584477441342
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1007,12,-0.0025427210991818446,0.007800000513271385,0.7444320246836091,-0.01031950584811242,0.5237012539096443,0.9842787438084398,13.254828845774549
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1216,12,0.00590447410112023,0.047070151640602305,0.9001753189766664,-0.33682230005362224,7.935186010286592,0.9661426167273778,16.339891184363765
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,907,12,0.05825943959463542,0.22170204714308894,0.7927181502359255,11.331994623037591,26.34512407672627,0.6670964839070816,15.417942268186218
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1186,12,-2.1799843074399656,2.1200490190720265,0.3038225054705288,75.57349478602157,268.78649888861963,0.7785834520637687,13.198349265153151
Y_top10_share,Top-10% income share,top10,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1228,13,-0.2824841107888447,0.18907444618149388,0.13516609744939576,21.909510873754325,56.66598316403699,0.6990204523961585,14.524347354947604
Y_gini_disp,Disposable,gini,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1090,12,-0.07165594941882136,0.07063167156778136,0.31034342850965413,-19.29920979032607,207.76555081515923,0.9259914558408048,18.222173755389846
Y_gini_mkt,Market,gini,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1090,12,0.062648389336247,0.07870869336552645,0.4260595849383292,7.7515068458035845,12.723679483726178,0.5423793113103426,29.060172281283943
Y_debt,Debt / GDP,fiscal,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1281,14,0.18345124683282732,2.6880084796741497,0.9455882044775678,-22.16201611728187,317.76140515736273,0.9443972580853258,15.471687231672885
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1126,12,-0.6029896510334993,1.2678029347853277,0.6343466871534862,-277.7437329430427,813.5667938775881,0.7328098494417885,22.748119529497774
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1315,14,-0.004620165610416225,0.008646246700523413,0.5930959101047736,0.12170351632484652,1.1910993528056,0.9186158118561966,14.412386488742166
Y_jucon,Judicial constraints,institutions,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,-0.007107600495018961,0.007012435915228797,0.31078758221064995,0.17999454020296757,2.017515761637444,0.928910307427716,15.297639791496938
Y_legcon,Legislative constraints,institutions,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1315,14,-0.0017326732236107867,0.010979732468789173,0.8746092714295597,-0.06285866899622654,1.0592941628090313,0.9526811865151824,13.910722082020273
Y_hos_power,HOS,exec_power,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.0026099515354416816,0.007139061131424504,0.7146729014039575,-0.027756609537807068,0.44485989495019773,0.9502490349153738,11.988199256280275
Y_hog_power,HOG,exec_power,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,705,14,-0.01075648281627627,0.007002371942125999,0.12450897896070341,-0.9726030382695989,13.797138878019735,0.9438011953130497,18.137737463523735
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.0032678339258757462,0.015986920987757443,0.8380356868789534,-0.3308576549409652,1.3788520773325297,0.8103678383703131,14.470810511345999
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.0012697330591570424,0.01808382716216465,0.9440235418732497,0.35673532529185953,2.643102033206144,0.8926368370382992,15.674924876364413
Y_polyarchy,Electoral (polyarchy),vdem_high,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.003733604631357298,0.006921138510784867,0.5895767412119834,-0.1295388256948783,0.42996358492204073,0.7632020601580547,12.171672449096462
Y_libdem,Liberal,vdem_high,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,-9.112998130073539e-4,0.005736899891883696,0.8737879795277744,0.008438055616466447,0.5401830187621381,0.9875369638153284,13.530146034918285
Y_partipdem,Participatory,vdem_high,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1342,14,0.0032834190703132,0.004272235774460292,0.44216157258341104,-0.08059741287054849,0.3166991834579267,0.7991154733443473,13.372825807586842
Y_delibdem,Deliberative,vdem_high,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,7.695833385586359e-4,0.006913075031371178,0.911360322141835,-0.10224550404246417,0.6030945116951943,0.8653760064812203,14.189433503155145
Y_egaldem,Egalitarian,vdem_high,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.002856949129259817,0.004120153045403262,0.4880532315891576,-0.14848602798915544,0.3141554918274132,0.6364619165822059,14.176003155001903
Y_elecoff,Elected officials,vdem_electoral,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.03449763302755156,0.019141059691557404,0.07150067372690913,-2.2549175905676817,3.2124129322557,0.4827172700700047,12.033401134354158
Y_frefair,Clean elections,vdem_electoral,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.007417472558195091,0.007496948067546421,0.3224679872877379,3.0051436256561024,8.600598760786932,0.7267807927212258,21.851284743332045
Y_frassoc,Association,vdem_electoral,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,-0.0014896003311628532,0.009345623876804097,0.8733615039584929,0.04103288943778757,1.018736289022812,0.9678713136429147,13.968732971718353
Y_suffr,Suffrage,vdem_electoral,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,2.1898968607084876e-4,2.0060025287280237e-4,0.2749772816390147,0.03534412439893905,0.2740676927051546,0.8973882756294879,15.493174864167859
Y_freexp,Expression & alt. info,vdem_electoral,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,-0.0021625817619048268,0.01152567103907885,0.8511653397893827,0.22069378357015607,1.508395174420737,0.8836764178214788,14.142503154250527
