outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1309,-0.009024770085419742,0.011138277043761434,0.41779748033839015,-14.070644581717508,22.646165852658516,0.5343853552469097,13.515067210717909
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1325,0.005020939338500355,0.010281455713950848,0.6253026097100192,0.6931698862140685,1.188767826673656,0.559826342470221,20.69948150940859
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1025,0.004195181606278263,0.011536717382982065,0.7161288147600475,-8.21330861304452,18.25416378195955,0.6527525129806703,13.592632716185689
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1221,0.0062132611227064816,0.13081711395980855,0.9621180920432323,-0.42894756887205865,19.26945500957289,0.982240163064118,16.422160534667906
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,939,0.08025154420907284,0.3329900720370499,0.809552935975638,5.571540428906927,48.139496400150435,0.9078606599191353,16.912295082580904
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1193,-0.3066512423328622,1.8796764290920918,0.8704078586757436,-34.4616458877768,286.7703484877536,0.9043472304377649,16.48749975134398
Y_top10_share,Top-10% income share,top10,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1239,-0.3957128881757156,0.36023307143523453,0.2719900227604715,-71.78130953284848,69.9206630345928,0.304603754920805,20.548984805116962
Y_gini_disp,Disposable,gini,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1083,0.08306427990633879,0.15194626043932993,0.5846062926352427,103.13982996015636,187.6926157580991,0.5826523578130589,16.68061755764831
Y_gini_mkt,Market,gini,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1083,0.04822128475809771,0.15311642011087231,0.7528131637700839,8.278602422745129,17.688374228870124,0.6397666683520791,20.660249401649885
Y_debt,Debt / GDP,fiscal,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1289,-3.007159470266342,3.748425517995502,0.4224106579686762,-3217.3080929583048,5348.818809045685,0.54750781106481194,14.75347566536571
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1141,1.1001962823067295,0.8354505729117829,0.18787558828704684,3742.6506702862343,7262.402195340942,0.6063111879186776,18.414154137666735
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1321,-0.004286656661363116,0.01199052902984612,0.7207148711192755,-4.413711298165406,10.369760048610557,0.6703753449898943,20.472868463497054
Y_jucon,Judicial constraints,institutions,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1345,0.004387891370821699,0.01060308555958594,0.6789974737146658,2.503282887776316,3.6389031731433557,0.4915016699132598,16.45617992465723
Y_legcon,Legislative constraints,institutions,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1321,-0.018307755774992378,0.016707791079913423,0.27318312014438667,-29.653528885187633,102.54208537364143,0.7724405866096836,15.72106888202928
Y_hos_power,HOS,exec_power,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1345,-7.314305497977307e-4,0.010824497431091337,0.9461265210149455,0.5732478370017908,2.5927595243817407,0.8250179618555255,17.73879887559571
Y_hog_power,HOG,exec_power,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,705,0.013461592417292641,0.013587628704867391,0.3218202767264445,0.6495989445450797,1.028141194143478,0.5275052817342349,19.540419599010214
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1345,-0.00816810204075653,0.01831310834195766,0.6555792704731069,-2.2541438081810212,4.354030733499878,0.60465764597832,15.052203381566544
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w1_trt-polyarchy_gapany_illibany,polyarchy_decline,1345,0.0016186978607298959,0.8986860268262793,1345,0.014552743035741972,0.01548870885963782,0.34743761223335384,3.905620290393055,4.582485478653541,0.39405149091449687,13.42083638938009
