outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1320,37,-0.0014539750514212246,0.017743032896499276,0.9346894540258034,-0.2170879114937377,1.5727917329097214,0.8902189849076338,21.594033158729438
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1314,37,-0.004570533512438024,0.014610661998073558,0.7544160558159639,-0.16625644113501659,1.6164729395188409,0.9180809415399566,19.86326808644357
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,965,27,0.01011086456895826,0.01770693704927017,0.5679918518971524,0.5933281292167121,33.15076578079171,0.9857203274455751,21.59061165693195
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1196,32,0.02824615813822473,0.09595845981487722,0.7684842151250472,2.162558114490405,5.762305732451242,0.7074419121934152,20.103669161876667
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,837,32,0.6698423781232388,0.6229419074833795,0.2822455050864298,13.914464456502252,21.134739349787484,0.5103008299138846,18.60838212012906
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1157,33,-0.15633225545921636,2.687751562679248,0.9536174407458037,-17.94169512119126,204.25833011132121,0.9300052328079909,18.800465358440523
Y_top10_share,Top-10% income share,top10,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1198,34,-0.7837753303780881,0.3998366296674526,0.04996786929139085,-42.363370684163996,120.73714151900954,0.7256838293268955,19.098015414686785
Y_gini_disp,Disposable,gini,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1048,30,-0.07983291942516822,0.19145146958151807,0.6766873606940618,-7.828203026154929,30.043823942054,0.7944322437571101,23.669346921165584
Y_gini_mkt,Market,gini,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1048,30,0.13422427041594465,0.2146113611075099,0.5316892235691233,6.587914887619965,30.50806378166664,0.829034425239876,18.754638705602797
Y_debt,Debt / GDP,fiscal,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1253,35,0.8364266320348802,5.536754079220178,0.879922037047321,26.998668641810962,420.87650639016204,0.94885184757482,17.307685210978683
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1085,31,-0.2527140758515828,1.127742075645835,0.822688409074779,-15.466265909024983,190.20332424702116,0.9351919360836022,23.44590662148588
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1303,36,0.015966301450927037,0.014041848355937676,0.25551685497468185,0.7647914628369121,1.7503549859598804,0.6621584438602275,18.44024881392076
Y_jucon,Judicial constraints,institutions,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1338,37,-0.005614684838265191,0.01414740757995218,0.6914631614653279,-0.46072828299588253,2.1112612570036124,0.8272544363875983,21.01882096956755
Y_legcon,Legislative constraints,institutions,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1303,36,0.032610783959217335,0.020109125905893636,0.10486957519227096,1.6087786658154055,3.492781749841125,0.6450849147603328,20.639665925753544
Y_hos_power,HOS,exec_power,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1339,37,3.440492856567126e-4,0.01044578948378693,0.9737251081939016,-0.28563592371726776,1.288109111626171,0.824509877590927,17.14090673920879
Y_hog_power,HOG,exec_power,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,686,26,-0.005766470476925225,0.01041411022801437,0.5797724993380473,-1.1132056060727127,7.994092726705833,0.8892498121962923,22.84598805382144
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1339,37,-0.015992492945023577,0.022206882170826708,0.47142691351494515,-1.285588296807323,2.9895306817797387,0.6671737168749123,23.82877576242215
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1339,37,0.01103553923159181,0.022091359641694175,0.6173983313878808,0.9288960861370597,2.9731267588245327,0.7547132190244168,22.192917080609018
Y_polyarchy,Electoral (polyarchy),vdem_high,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1339,37,0.015567506385071478,0.014308340263618102,0.27659411472433376,0.7109494080783054,1.7343306796110698,0.6818593142286693,19.52928957384772
Y_libdem,Liberal,vdem_high,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1338,37,0.015220728862900202,0.012951132392941414,0.2398974751921516,0.6667496891950343,1.3685579702142836,0.626122691130506,15.907464753468878
Y_partipdem,Participatory,vdem_high,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1338,37,0.011619376395367784,0.00903119127412675,0.19823970180792397,0.4166393129159861,0.9018435926468241,0.6440912019693863,22.123182681880518
Y_delibdem,Deliberative,vdem_high,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1339,37,0.012753647993739787,0.01490248056030783,0.3921045124841721,0.8311081409138408,2.113021532600277,0.6940780764957901,17.822489391531104
Y_egaldem,Egalitarian,vdem_high,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1339,37,0.014543077824654282,0.009593530547811925,0.12953818541841003,0.6743996736538312,1.6378103592530415,0.6805086825950759,18.076854239420367
Y_elecoff,Elected officials,vdem_electoral,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1339,37,0.02973023701082248,0.036949426415104236,0.42103916084749327,2.5401072417935846,6.7233941443255745,0.7055781865159442,19.648877838722377
Y_frefair,Clean elections,vdem_electoral,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1339,37,0.023453212471442178,0.019142878263314744,0.2205125072476927,1.362370081365479,2.734884155934912,0.6183815322625681,15.785362199467631
Y_frassoc,Association,vdem_electoral,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1339,37,0.01972916599781907,0.018876874850930595,0.29595364210852887,1.2908902150780213,2.6720466631053768,0.6290182314578809,21.50261630981092
Y_suffr,Suffrage,vdem_electoral,instr-antiplural_w3_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,1347,39,0.008403042598072303,0.7979982169686967,1339,37,-0.002997747118037074,0.0033187177912917987,0.36637479646656745,-0.21848693992743132,0.929319947828344,0.8141279282036643,19.473147086253302
