outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1207,439,-0.053125954158510985,0.026745364453216368,0.04699323192751867,-5.138353220513398,32.90895994188737,0.8759239098863014,18.745149752862662
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1240,471,-0.041444873549625116,0.02516643432026698,0.09959271118145413,-6.694480355309681,35.13805872632285,0.8489021762680702,19.021439043481315
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,950,368,-0.04695577948368963,0.022022819564556866,0.032995171320203895,0.8470837644646649,3.7774135479635023,0.8225630316728625,24.55075231281504
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1135,432,0.005166308579058421,0.19132709077498933,0.9784577450071451,-4.543655673274094,32.4293705181761,0.8885736505108995,20.009074946731126
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,883,407,0.20468888343285188,0.5774732542058002,0.7229971424633412,-7.9110831015713305,53.35091260686307,0.8821186955117496,16.132809801188202
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1115,432,-1.6257413711850437,2.833930403617654,0.5661910095826326,-88.87115770218304,197.07211822074254,0.6520201511929387,16.48903334726277
Y_top10_share,Top-10% income share,top10,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1152,436,-0.6468223258562389,0.5650823746041492,0.2523535950368164,-82.61310036711053,1574.528093466143,0.9581554077228869,21.63578181157142
Y_gini_disp,Disposable,gini,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,975,362,0.6633816331578543,0.31353680745612755,0.03436169738288882,-13.142528889619982,27.20620203105286,0.629045280802625,20.75236386804425
Y_gini_mkt,Market,gini,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,975,362,0.6576071037766402,0.3417892045925868,0.05435286932396127,-12.049773292162975,24.860451968012118,0.6278916714266802,19.766255266964617
Y_debt,Debt / GDP,fiscal,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1201,461,10.745348121487837,13.64463511572342,0.4309807384704637,1690.1751708568615,13044.994239211825,0.8969105658708912,18.92826689992238
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1053,412,2.696721282910352,2.4180696363131027,0.264748775988846,-34.126145776791574,146.3389369220439,0.8156066062811198,22.90569642084284
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1259,488,0.012635155037042958,0.015252072349121138,0.40743144923928776,-0.4997520269998481,3.606350433579836,0.8897855580907964,18.528260851047776
Y_jucon,Judicial constraints,institutions,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1289,496,3.389212446082714e-4,0.018387343081098826,0.9852939755652057,0.05112766331437099,1.1732283368646952,0.9652403000825535,19.009043626230273
Y_legcon,Legislative constraints,institutions,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1259,488,0.00474922657670326,0.020349125319795085,0.8154607060579837,-0.1540446243846001,2.462966726691564,0.9501293541058887,19.44947119611189
Y_hos_power,HOS,exec_power,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1289,496,0.0065080072819672635,0.013437765941554875,0.6281678413040811,0.3285640564617008,2.8555791222003792,0.9083972530351372,16.197085359736192
Y_hog_power,HOG,exec_power,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,659,243,0.0034299337395784987,0.012062271935178878,0.7761404752061902,0.4978092829855869,5.081945622116419,0.9219668856763367,20.219135750277285
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1289,496,0.014490738697754869,0.020729752932095512,0.48453269465972437,1.5460331435587673,6.198699584426874,0.8030417190761789,19.95802093182062
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w5_trt-polyarchyBin_gapany_illibany_exclyr,polyarchy_declined,1289,496,0.014561563650575426,0.8617448491676788,1289,496,-0.010771052837087864,0.019682808072791626,0.584219688929221,-1.1426933089478544,5.344828177306139,0.8307075416049816,19.529820457394088
