outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,569,-0.1613414470059431,0.07530286992137715,0.032147880252005594,-0.9242182546364683,0.7757320487774609,0.23349098249176028,22.306106409041362
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,579,-0.09911323815572336,0.054893211851088676,0.07098638191518988,-0.5840349386304595,0.4712281908733577,0.21520154981263387,23.113465653456178
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,436,-0.11990187421979571,0.049680818622049996,0.01580255552793144,-0.47992426993005255,0.46121814600229855,0.29808069380509267,16.310515771912822
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,508,0.11163587124131658,0.39614224205918963,0.7780910880788269,0.4448756439518992,2.436971930520755,0.8551490525770753,21.334014614272956
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,433,0.3025383794307462,0.7864724205271018,0.7004762401272109,3.4307115919402493,8.406218215639813,0.6831885629609749,22.59385605716131
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,517,-1.1796393954048972,6.250992728070156,0.8503182881781728,-1.7005052870160178,34.974835053970764,0.9612214747240233,17.906075441191742
Y_top10_share,Top-10% income share,top10,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,524,-1.0949099501565371,0.7440915824463731,0.14116350669083513,-6.193657399333952,8.310663678843476,0.45611076194092887,21.097058371588258
Y_gini_disp,Disposable,gini,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,432,0.5885725803036762,0.540378822393976,0.2760722530217524,-0.6149526167923751,11.516856373227007,0.9574164922493525,24.080803955077236
Y_gini_mkt,Market,gini,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,432,0.10307109506329509,0.562842105513841,0.8546990557891964,-2.114172801211479,8.02984896429742,0.792327655314067,24.132590015712015
Y_debt,Debt / GDP,fiscal,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,554,8.782566073473804,30.01624722239156,0.7698326982632295,60.84478741498128,192.2358537785372,0.7516145781311535,23.548249307938935
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,456,1.0241565915652624,2.1133875715946564,0.627957100903523,4.876099480201131,20.147595598629778,0.8087654970409797,23.405439335136744
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,588,7.168244969507631e-5,0.04738463033797319,0.9987929778565446,0.052878865343859605,0.5037509403770328,0.9163994103002449,28.444501763926834
Y_jucon,Judicial constraints,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,608,0.021335440092812723,0.03916555467756316,0.5859253978470628,0.21972980248790053,0.4638075889463725,0.635676721642525,28.65580713232356
Y_legcon,Legislative constraints,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,588,-0.039684236483523164,0.06937961772919093,0.5673308103925618,-0.29924369631067893,0.6014787010865912,0.618827076093005,29.480381014831604
Y_hos_power,HOS,exec_power,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,608,-0.03014931275205271,0.03809554765615473,0.42870300955843677,-0.15223783947791716,0.23732360894949012,0.5212122645388502,18.604345030135175
Y_hog_power,HOG,exec_power,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,245,-0.004586496701557246,0.040782476870962696,0.9104567523489635,0.0078252759632343,0.15185934754481523,0.958903387085259,28.6007668870374
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,608,0.0697602131162825,0.08075733568473752,0.3876839803330652,0.44897376871239963,0.5685577954058505,0.429719761374618,22.1965198016219
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p6,backsliding_union_Nyr,649,0.1840683570260723,0.21464449222825524,608,-0.05403563391091375,0.08452147309264196,0.5226196610459919,-0.7114712536009143,0.8173183158176248,0.38403012004942944,28.590037580967845
